3f549578e6f1126cc2f0e312c5e95918381661d83a941873f4f4380bf881a993,2a5d4e28a9286c8a9d248e14a323239573bf0106ebcdaa0f5e64f89657d1260c,d2175203f032681f02e6a5b764e51d96fa9d4ab0ad20f6ced89a6792471d5c7c,37b38bc303b005d6f843a99fc69972c7b9a4cf1def71cdab7a454108b2dd3cc7
"1061001","1061002","2","1061101"
"1061001","1061003","2","1061102"
"1061001","1061012","2","1061111"
"1061001","1061022","2","1061121"
"1067001","1067001","2","1067101"
"1068001","1068001","2","1068103"
"1068001","1068002","2","1068101"
"1068001","1068003","2","1068102"
"1068001","1068012","2","1068111"
"1069001","1069001","2","1069101"
"1144003","1144003","2","1144101"
"1144003","1144013","2","1144111"
"1158001","1158001","1","1158100"
"1158001","1158002","2","1158101"
"1158001","1158003","2","1158102"
"1158001","1158012","2","1158111"
"1158001","1158203","2","1158102"
"1164001","1164001","2","1164101"
"1182001","1182001","2","1182101"
"1185001","1185001","2","1185101"
"1186001","1186001","2","1186101"
"1208001","1208002","2","1208101"
"1208001","1208012","2","1208111"
"1220001","1220001","2","1220101"
"1223001","1223002","2","1223101"
"1223001","1223003","2","1223102"
"1223001","1223011","1","1223110"
"1223001","1223012","2","1223111"
"1227001","1227001","2","1227101"
"1230001","1230001","2","1230101"
"1250001","1250002","2","1250101"
"1250001","1250003","2","1250102"
"1250001","1250012","2","1250111"
"1258001","1258001","2","1258101"
"1260001","1260001","2","1260101"
"1261001","1261001","2","1261101"
"1262001","1262001","2","1262101"
"1264001","1264001","2","1264103"
"1264001","1264002","2","1264101"
"1264001","1264003","2","1264102"
"1264001","1264012","2","1264111"
"1265001","1265001","2","1265101"
"1290001","1290001","2","1290101"
"1293001","1293001","2","1293101"
"1294001","1294001","2","1294101"
"1295001","1295001","2","1295101"
"1296001","1296001","2","1296101"
"1297001","1297001","2","1297101"
"1300001","1300001","2","1300101"
"1301001","1301001","2","1301101"
"1312001","1312001","2","1312101"
"1318001","1318001","2","1318101"
"1320001","1320001","2","1320101"
"1321001","1321001","1","1321100"
"1321001","1321002","2","1321101"
"1321001","1321003","2","1321102"
"1321001","1321012","2","1321111"
"1324003","1324003","2","1324101"
"1329001","1329001","2","1329101"
"1331001","1331001","2","1331101"
"1338003","1338001","2","1338101"
"1338003","1338003","2","1338102"
"1345001","1345001","2","1345101"
"1349001","1349001","2","1349101"
"1350001","1350001","2","1350101"
"1350001","1350003","2","1350102"
"1351001","1351001","2","1351101"
"1352001","1352001","2","1352101"
"1356001","1356001","2","1356101"
"1359001","1359001","2","1359101"
"1360001","1360001","2","1360101"
"1361001","1361001","2","1361101"
"1364002","1364001","2","1364101"
"1365001","1365001","2","1365101"
"1374002","1374002","2","1374101"
"1374003","1374003","2","1374102"
"1381002","1381001","2","1381101"
"1381003","1381002","2","1381102"
"1383001","1383001","2","1383101"
"1395001","1395001","2","1395101"
"1396001","1396001","2","1396101"
"1397001","1397001","2","1397101"
"1398001","1398001","2","1398101"
"1812001","1812001","2","1812101"
"4319012","4319012","2","4319101"
