f4778d672af375b01c492eedc4bcb93bae0ea2645bc8318113cf6b2c879c3b2f,35131e55d0d70da4f403a87db5cfcb27bfecd44df1c9ad67146a24b5cb101644,a1de9df93f93e5b9c466b5d48e6e6b2135f388c2b62d417f65a9a0d7beeada4f,74c30114cc38a3ea440b09eff5c7177b1150856ce5e5ce6549ced9867029878c,d5291af6876de614e0637c302900d19eac921ab543470d30eedd5be7c5b98222,afced2632158c2fcbedc1c2d5497a9198da04f4c77f4d7e4390b1b6bbc25f07c,338a2250c6eaaa56f5f0217df8a6d14be32664b9cc4b674385b238eb71fbeb0b,679c061f94092d680aab3f13bd833ad2fe0ced6bba603c77470e3a0d9d9e1ed5,ed4a45ab3d205006a6300eb9e57ecb9c23d364841ac57e72f4223f5bd81e2d7c,0781bbbec11790d40e0146732ec34223f0d9d80fa05d50863bdcb6733510ed04,42228f0ca1417b8f2c7650ae0bc6bdb1da6fdd504feea832501f06dc164a122d
"111001","0","wac_215_karin_idle_normal","1","1","111","2","-345","-273","118511","202"
"111002","1","wac_215_idle_joy1","1","1","111","2","-355","170","105811","205"
"111003","1","wac_215_idle_normal_joy","1","1","111","2","-325","50","105911","202"
"111004","1","wac_215_idle_arm_crossed","1","1","111","2","-330","300","106011","203"
"111005","1","wac_215_idle_normal2","1","1","111","2","-360","450","106431","204"
"111006","","","1","131","111","","","","",""
"112001","","","1","93","112","","","","0",""
"112002","","","118511","3","112","0.2","","","wac_215_karin_talk_normal","1"
"112003","","","vo_wac_220215","21","112","","","0","vo_wac_220215_000","0"
"112004","0","0.5","118511","11","112","0","1","1","【美食殿】のみなさん、\n来ていただいてありがとうございます！","10"
"112005","","","112004","91","112","","","","",""
"112006","","","118511","3","112","0.2","","","wac_215_karin_idle_normal","1"
"112007","0.2","","105811","3","112","0.2","1","wac_215_talk_normal","wac_215_peko_oissu","0"
"112008","","","vo_wac_220215","21","112","","","0","vo_wac_220215_001","0"
"112009","0","0.5","105811","11","112","0","1","1","カリンさん、オイッスー！\nどうしたんですか？\nランドソルの端っこに\n呼び出したりなんかして。","10"
"112010","","","112009","91","112","","","","",""
"112011","","","105811","3","112","0.2","","","wac_215_idle_normal","1"
"112012","","","118511","3","112","0.2","","","wac_215_karin_talk_normal","1"
"112013","","","vo_wac_220215","21","112","","","0","vo_wac_220215_002","0"
