69a19d0b4091f7b5ac9a7b0bae560b2657b5b02c42a65595e3ac988a36218dea,dd74c59a456c6eac8fa034a71eb48fe49d39f3db7270581fc4b8728df9688477,f0ae76163712ec06132e222c01df5970ba026195f4bb9711619cd8ba0d39fb21,c4671843d9ba84cd52186f3c8d56b7e158f78fd65e057d574f1333aa6d83e65f,be0509bc2ad96216cd4609cfa38925304e49a831ad3a6d80a6aabbd74ac9a645,d264b78bc15da52b806a600723c7ee977acdf8bdf8f127e3577c9983142ea248,be1b898e79287b168f5acf0781219293be302d7dd7e5393a3295dbd7da93ceb7
"1","1","2","3","105","105","105"
"2","1","2","3","105","120","120"
"3","1","2","3","100","120","100"
"4","1","2","3","105","120","120"
"5","1","2","3","105","120","105"
"6","1","2","3","100","105","100"
"7","1","2","3","120","105","100"
"8","1","2","3","100","105","100"
"9","1","2","3","105","120","120"
"10","1","2","3","120","105","100"
"11","1","2","3","100","100","105"
"12","1","2","3","105","120","120"
"13","1","2","3","105","105","105"
"14","1","2","3","105","105","120"
"15","1","2","3","120","120","120"
"16","1","2","3","100","100","100"
"17","1","2","3","120","120","105"
"18","1","2","3","120","105","120"
"19","1","2","3","105","100","105"
"20","1","2","3","100","105","105"
"21","1","2","3","100","100","105"
"22","1","2","3","120","120","120"
"23","1","2","3","105","100","100"
"24","1","2","3","120","120","120"
"25","1","2","3","105","120","105"
"26","1","2","3","100","100","100"
"27","1","2","3","100","100","100"
"28","1","2","3","100","100","100"
"29","1","2","3","120","120","120"
"30","1","2","3","105","105","120"
