194f3a7603571213eec30cca5ca02f2b76942bdf26ccec3dd158110317f8aa8b,e8e14cec8bba6afdb33e6c2b3c057f1a2d421494988968bd3fd63b311ba6d948,eabefdea5e5922b167925d3106702099c65eb277c709a5ec3f724afbd9f33e56,1522b94c7c0471951236bb02adf4f5968325c599d7b461bf5f899c29a685dc1b,c6cd9360ab446083a8ad6a27cba91fd62c0e58b87eb280dc86a66928ba412dea,447dc29be4b7ec46c46ab954872cc96b8948c04246602f53b175ca75cd5f2e69,2eeab87f8613452cc9caae81d4930e27954bac26cfdf5f11c859cb39e20fb5b3,f4e64ad141eca4af61d687e872274de6374c0317be3232186b19a7d6927eea1d
"ガーゴイル（EASY）をクリアしよう","0","110001","111","90110001","110001","70000","1"
"ガーゴイル（NORMAL）をクリアしよう","0","110001","112","90110002","110002","70000","1"
"ガーゴイル（HARD）をクリアしよう","0","110001","113","90110003","110003","70000","1"
"ガーゴイル（VERY HARD）をクリアしよう","0","110001","114","90110004","110004","70000","1"
"ガーゴイル（EXTREME）をクリアしよう","0","110001","115","90110005","110005","70000","1"
"マグスガーゴイル（EASY）をクリアしよう","0","110001","121","90120001","120001","70000","1"
"マグスガーゴイル（NORMAL）をクリアしよう","0","110001","122","90120002","120002","70000","1"
"マグスガーゴイル（HARD）をクリアしよう","0","110001","123","90120003","120003","70000","1"
"マグスガーゴイル（VERY HARD）をクリアしよう","0","110001","124","90120004","120004","70000","1"
"マグスガーゴイル（EXTREME）をクリアしよう","0","110001","125","90120005","120005","70000","1"
"ガードガーゴイル（EASY）をクリアしよう","0","110001","131","90130001","130001","70000","1"
"ガードガーゴイル（NORMAL）をクリアしよう","0","110001","132","90130002","130002","70000","1"
"ガードガーゴイル（HARD）をクリアしよう","0","110001","133","90130003","130003","70000","1"
"ガードガーゴイル（VERY HARD）をクリアしよう","0","110001","134","90130004","130004","70000","1"
"ガードガーゴイル（EXTREME）をクリアしよう","0","110001","135","90130005","130005","70000","1"
"ガーゴイル・バースト（EASY）をクリアしよう","0","110001","141","90140001","140001","70000","1"
"ガーゴイル・バースト（NORMAL）をクリアしよう","0","110001","142","90140002","140002","70000","1"
"ガーゴイル・バースト（HARD）をクリアしよう","0","110001","143","90140003","140003","70000","1"
"ガーゴイル・バースト（VERY HARD）をクリアしよう","0","110001","144","90140004","140004","70000","1"
"ガーゴイル・バースト（EXTREME）をクリアしよう","0","110001","145","90140005","140005","70000","1"
"ガーゴイル・マギ（EASY）をクリアしよう","0","110001","151","90150001","150001","70000","1"
"ガーゴイル・マギ（NORMAL）をクリアしよう","0","110001","152","90150002","150002","70000","1"
"ガーゴイル・マギ（HARD）をクリアしよう","0","110001","153","90150003","150003","70000","1"
"ガーゴイル・マギ（VERY HARD）をクリアしよう","0","110001","154","90150004","150004","70000","1"
"ガーゴイル・マギ（EXTREME）をクリアしよう","0","110001","155","90150005","150005","70000","1"
