06b918f0f5d00cb6ec1106ddb8fe9c31fa23208b2557d7157eb679e743e64e8c,5e47b425df3f51720c1e3afd2349e0141b0ca3478c05662219798478f7609d35,c4c9c75e2c24c337deb0816f0f7a818a6f560a90f124e791c21ad7a2bdf1076a
"0","1","1"
"1","1","1"
"2","1","1"
"5","1","1"
"0","2","1"
"1","2","1"
"2","2","1"
"5","2","1"
"0","3","1"
"1","3","1"
"2","3","1"
"5","3","1"
"0","4","1"
"1","4","1"
"2","4","1"
"5","4","1"
"0","5","1"
"1","5","1"
"2","5","1"
"5","5","1"
"0","6","1"
"1","6","1"
"2","6","1"
"5","6","1"
"0","7","1"
"1","7","1"
"2","7","1"
"5","7","1"
"0","8","1"
"1","8","1"
"2","8","1"
"5","8","1"
"0","9","1"
"1","9","1"
"2","9","1"
"5","9","1"
"0","10","1"
"1","10","1"
"2","10","1"
"5","10","1"
