015246c8c89e93ede7cc660bd2fc75117d22eeea9750bded65d70f08d4d81ae6,d45b8de90e3e652bb446bd62f4da66943f72c4763f82b05d75a85022cf02b45c,cc6d565ad2207e88f842c278f63df2065cdf70f511a8d91788cb596a40596b09,1b62d541d29bdcfd71d0c8fa1427a118f1f7e73b67113bf1bce6f4c517181087,4cbb8e7d0404663dd52111e57e023d1381fd35345221401749c8f13ee9e1c38f,8a755fd864e56a344ca425df7d208be28162c86e7b685e90be0f21241ecb2fb0
"123001","3002","10201501","10201001","2025/01/31 12:00:00","バトル開始後90秒間味方全体の物理\n防御力特大アップ"
"123001","3004","10201501","10201002","2025/01/31 12:00:00","バトル開始後90秒間味方全体の魔法\n防御力特大アップ"
"106901","3011","10201501","10201003","2025/01/31 12:00:00","バトル開始後90秒間敵全体の物理防\n御力特大ダウン"
"106901","3011","10201501","10201004","2025/01/31 12:00:00","バトル開始後90秒間敵全体の魔法防\n御力特大ダウン"
"107101","3001","10201501","10201005","2025/01/31 12:00:00","バトル開始後90秒間物理攻撃力極大\nアップ"
"107101","3010","10201501","10201006","2025/01/31 12:00:00","バトル開始後90秒間ＴＰ上昇特大アッ\nプ"
"107001","3003","10201501","10201007","2025/01/31 12:00:00","バトル開始後90秒間魔法攻撃力極大\nアップ"
"107001","3010","10201501","10201008","2025/01/31 12:00:00","バトル開始後90秒間ＴＰ上昇特大アッ\nプ"
"106801","3001","10201501","10201009","2025/01/31 12:00:00","バトル開始後90秒間味方全体の物理\n攻撃力特大アップ"
"106801","3014","10201501","10201010","2025/01/31 12:00:00","バトル開始後味方全体のＴＰ大回復"
"111501","3001","10201501","10201011","2025/01/31 12:00:00","バトル開始後90秒間物理攻撃力極大\nアップ"
"111501","3010","10201501","10201012","2025/01/31 12:00:00","バトル開始後90秒間ＴＰ上昇特大アッ\nプ"
"123801","3001","10201501","10201013","2025/01/31 12:00:00","バトル開始後90秒間物理攻撃力極大\nアップ"
"123801","3010","10201501","10201014","2025/01/31 12:00:00","バトル開始後90秒間ＴＰ上昇特大アッ\nプ"
"133901","3001","10201501","10201015","2025/02/10 12:00:00","バトル開始後90秒間物理攻撃力極大\nアップ"
"133901","3010","10201501","10201016","2025/02/10 12:00:00","バトル開始後90秒間ＴＰ上昇特大アッ\nプ"
"115001","3005","10201501","10201017","2025/01/31 12:00:00","バトル開始後90秒間味方全体に継続\nＨＰ回復状態付与"
