68d3128be9b1ace9909951cc9809bd276cba1f95e93e9e97d0466eb5c22c5e3b,e3bfa3ace1fed0e8f3ff915d6242550906f03b91dd78f5778d08a901fab19efc,6c668a0427e54c3056fc62d55f03f8b9ddd06b93aa33b543b0d8fe24772e286b,af3b14ad3e21af827e4270bc100b260065f244474de746a80f189e7c76815e3e,99f547c45a0f06e492c3f69206422875c9471583f88fef6ad99bafe724ca17f5,0219016d6cd5fb955645e3a2c06641e350ce3974c3252db96fcde4c86dbeda08,0056f761bd91e7f1ef93d2552659dc6e4b61cbcd80ba5b4f460ab6e29ec151e0,63d71c4f7d355f5178b47b81c31220426eb190b7855b192ea637bac3b0bb1ace,0a1d320d0980296698ab6d21cc035384932b1a428ea5cc72fee1475464d8d543,5507fd44ff87c4aab5d1b41eb02a9ef0df4763c57369d2426097c6266323243f,d98742d1dcdeb776c7ad23ec0bee33f98f17b99e6a5ebca330fe2c4495284bf3
"0","100","1","1.7","100211","mhp_sit_idle","0","0","1002011","1","1002011001"
"","1","3","0.2","mhp_sit_talk_memory","","","","1002011","100211","1002011002"
"","0","21","","vo_mhp_0401","","","0","1002011","vo_mhp","1002011003"
"0","6","11","0","ミツキさんと会うの\n久しぶりだな\nちょっと楽しみ♪","0","0","0","1002011","100211","1002011004"
"","","91","","","","","","1002011","0","1002011005"
"","1","3","0.2","mhp_sit_idle_memory","","","","1002011","100211","1002011006"
"0","100","1","1.7","100211","mhp_sit_idle","0","0","1002012","1","1002012001"
"","1","3","0.2","mhp_sit_talk_sad","","","","1002012","100211","1002012002"
"","0","21","","vo_mhp_0402","","","0","1002012","vo_mhp","1002012003"
"0","5","11","0","はぁ…なにか悪い\n病気だったら\nどうしよう…","0","0","0","1002012","100211","1002012004"
"","","91","","","","","","1002012","0","1002012005"
"","1","3","0.2","mhp_sit_idle_sad","","","","1002012","100211","1002012006"
"0","100","1","1.7","100211","mhp_sit_idle","0","0","1002013","1","1002013001"
"","1","3","0.2","mhp_yui_sit_talk_wish","","","","1002013","100211","1002013002"
"","0","21","","vo_mhp_0403","","","0","1002013","vo_mhp","1002013003"
"0","4","11","0","ついに診察結果が…\nド、ドキドキ\nしてきちゃった…！","0","0","0","1002013","100211","1002013004"
"","","91","","","","","","1002013","0","1002013005"
"","1","3","0.2","mhp_sit_idle_sad","","","","1002013","100211","1002013006"
"-240","100","1","1.7","100211","mhp_idle_normal","0","-1000","1007401","1","1007401001"
"-220","100","1","1.7","117531","mhp_sit_idle","1","185","1007401","1","1007401002"
"-200","100","1","1.7","117631","mhp_sit_idle","1","365","1007401","1","1007401003"
"0.85","-240","31","1","1","","","-154","1007401","1","1007401004"
"0.85","-230","31","0","123","","","-18","1007401","23","1007401005"
"-220","110","5","1.7","11","NoItem","0","-200","1007401","1","1007401006"
"-220","105","5","1.7","12","NoItem","0","-200","1007401","1","1007401007"
"-220","110","5","1.7","21","NoItem","1","185","1007401","1","1007401008"
"-220","105","5","1.7","22","NoItem","1","185","1007401","1","1007401009"
"0","1","6","0","1","","0","1","1007401","11","1007401010"
"0","1","6","0","1","","0","1","1007401","12","1007401011"
"0","1","6","0","1","","0","1","1007401","21","1007401012"
"0","1","6","0","1","","0","1","1007401","22","1007401013"
"-220","110","5","1.7","31","NoItem","0","-1000","1007401","1","1007401014"
"","","91","","","","","","1007401","0","1007401015"
"","1","3","0.2","mhp_sit_talk_normal","","","","1007401","117531","1007401016"
"","0","21","","vo_mhp_4001","","","0","1007401","vo_mhp_1007401","1007401017"
"0","8","11","0","次の方どうぞー","0.5","0","0","1007401","117531","1007401018"
"","","91","","","","","","1007401","0","1007401019"
"","1","3","0.2","mhp_sit_idle","","","","1007401","117531","1007401020"
"","1","3","0.2","mhp_anna_walk_sad","","","","1007401","100211","1007401021"
"0","-220","2","","-200","","","4","1007401","100211","1007401022"
"","1","3","0.2","NoItem","","","","1007401","31","1007401023"
"0","-220","2","","-200","","","4","1007401","31","1007401024"
"","","91","","","","","","1007401","0","1007401025"
"1","0","3","0.2","mhp_sit_in_sad","","0.2","mhp_sit_idle_sad","1007401","100211","1007401026"
"","","93","","","","","","1007401","1","1007401027"
"","1","3","0.2","mhp_sit_talk_sad","","","","1007401","100211","1007401028"
"","0","21","","vo_mhp_4002","","","0","1007401","vo_mhp_1007401","1007401029"
"0","7","11","0","え、ええっと……ご無沙汰してます。","0.5","0","1","1007401","100211","1007401030"
"","","91","","","","","","1007401","0","1007401031"
"","1","3","0.2","mhp_sit_idle_sad","","","","1007401","100211","1007401032"
"","1","3","0.2","mhp_sit_talk_normal","","","","1007401","117531","1007401033"
"","0","21","","vo_mhp_4003","","","0","1007401","vo_mhp_1007401","1007401034"
"0","6","11","0","久しぶりねユイちゃん。\n前にみんなでオーエド町に\n来た時以来ね。","0.5","0","1","1007401","117531","1007401035"
"","","91","","","","","","1007401","0","1007401036"
"","1","3","0.2","mhp_sit_idle","","","","1007401","117531","1007401037"
"","1","3","0.2","mhp_sit_talk_memory","","","","1007401","100211","1007401038"
"","1","3","0","mhp_yui_sit_talk_memory","","","","1007401","31","1007401039"
"","0","21","","vo_mhp_4004","","","0","1007401","vo_mhp_1007401","1007401040"
"0","4","11","0","そうですね。あの時は大変でしたけど\n楽しかったなぁ\n温泉とかまた行きたい――\nおん、せん……あ、ああ……","1.5","0","1","1007401","100211","1007401041"
"","","93","","1","","","","1007401","14","1007401042"
"","1","3","0.2","mhp_yui_hot","","","","1007401","100211","1007401043"
"","1","3","0.2","mhp_yui_hot","","","","1007401","31","1007401044"
"","","32","","1","","","","1007401","123","1007401045"
"","","23","","se_10031400_love","","","","1007401","se_10031400","1007401046"
