a42f622b2144ac16231d0ebd9676406f5fe3b7ccd2de799df5fd286b0d4d9d9b,cdc9b275ccd3d9a083aabd3b1d89427954c2846803849e5b85a73665e0ebaeb2,41747ac3b9327c744f425e9d92b264e610c415a7b0a4f3ec38b461ebae9404cf,7c49604cb72d70e3c873ae1ea0da6147af00232df84664deabc9e3d557fe4dad,6268968c063bd013909ff548b5a19fd3b416e873d67722b6ec91e75b0fff40a9,a7a3c8a560bae74cf4379cbf4eb4d813fa538f1b31345814cf28c7dec690fb52,b7f12eaf92ca9745cdf56ed4eed8ae825206851f382b22f5e252e32b29b70689,940075e488150a49d7ed8a7822b1732c0b02d9ade11bd0745097fe92d2be4ea8,b77d07abd821ba64f1b253cad1d27c6b7e6f431b54aa509031f8f32e15b66c67,9b7f6f2f2f6e36737ca4f13565b93f6219662f22cc67d0588a48c1563757fa7d,2033dbcbbf047626202bfe97863fd3b36217f393be0fc1f054a3b9d456f01965
"101001","101","111831","-150","1.5","1","1","-100","nop_idle_joy1","0","115"
"101002","101","120731","-150","1.5","1","1","100","nop_idle_normal_joy","1","114"
"101003","101","120831","-127","1.5","1","1","-215","nop_idle_arm_crossed","0","111"
"101004","101","111931","-127","1.5","1","1","215","nop_idle_normal","1","110"
"101005","101","120931","-150","1.5","1","1","-330","nop_idle_thinking","0","113"
"101006","101","112031","-150","1.5","1","1","330","nop_idle_normal","1","112"
"102001","102","108731","-150","1.5","1","1","-100","nop_idle_joy1","0","115"
"102002","102","108831","-150","1.5","1","1","100","nop_idle_joy_normal","1","114"
"102003","102","108931","-127","1.5","1","1","-215","nop_idle_normal","0","111"
"103001","103","102011","-135","1.5","1","1","-100","nop_idle_joy1","0","113"
"103002","103","100411","-150","1.5","1","1","-215","nop_idle_normal","0","115"
"103003","103","103631","-143","1.5","1","1","100","nop_idle_wish","1","114"
"104001","104","101231","-150","1.5","1","1","-100","nop_idle_normal","0","115"
"104002","104","104011","-150","1.5","1","1","100","nop_idle_normal","1","114"
"104003","104","101511","-127","1.5","1","1","-215","nop_idle_normal","0","111"
"105001","105","103111","-135","1.5","1","1","-100","nop_idle_normal","0","113"
"105002","105","102211","-135","1.5","1","1","100","nop_idle_sad","1","111"
"105003","105","100711","-150","1.5","1","1","-215","nop_05_miyako_idle_normal","0","115"
"105004","105","100611","-150","1.5","1","1","215","nop_idle_joy1","1","112"
"105005","105","2051","-135","1.5","1","5","-25","nop_skull_idle","1","114"
"106001","106","104731","-150","1.5","1","1","-215","nop_idle_arm_crossed","0","115"
"106002","106","107131","-150","1.5","1","1","215","nop_idle_arm_crossed","1","114"
"106003","106","103731","-135","1.5","1","1","-100","nop_idle_normal","0","111"
"106004","106","100511","-135","1.5","1","1","100","nop_idle_joy1","1","110"
"107001","107","102831","-150","1.5","1","1","-100","nop_idle_normal","0","115"
"107002","107","102111","-150","1.5","1","1","100","nop_idle_normal","1","114"
"107003","107","102511","-127","1.5","1","1","-215","nop_idle_normal","0","111"
"107004","107","102311","-127","1.5","1","1","215","nop_idle_normal","1","110"
"108001","108","101011","-150","1.5","1","1","-100","nop_idle_joy_normal","0","115"
"108002","108","104331","-150","1.5","1","1","100","nop_idle_arm_crossed","1","114"
"108003","108","101711","-127","1.5","1","1","-215","nop_idle_joy1","0","111"
"108004","108","101431","-127","1.5","1","1","215","nop_idle_normal","1","110"
"109001","109","103311","-150","1.5","1","1","-100","nop_idle_joy1","0","115"
"109002","109","105211","-127","1.5","1","1","-215","nop_idle_joy_normal","0","111"
"109003","109","102611","-150","1.5","1","1","100","nop_idle_sad2","1","114"
"109004","109","103811","-127","1.5","1","1","215","nop_idle_normal","1","110"
"110001","110","103231","-150","1.5","1","1","-100","nop_idle_joy1","0","115"
"110002","110","103411","-127","1.5","1","1","215","nop_10_yukari_02","1","110"
"110003","110","11","-127","1.5","1","5","215","nop_10_yukari_02","1","111"
"110004","110","104811","-150","1.5","1","1","100","nop_idle_doya","1","114"
"110005","110","104611","-127","1.5","1","1","-215","nop_idle_joy_normal","0","111"
"111001","111","100911","-150","1.5","1","1","-100","nop_11_anna_idle_arm_crossed","0","115"
"111002","111","101311","-150","1.5","1","1","100","nop_idle_joy_normal","1","114"
"111003","111","102711","-127","1.5","1","1","-215","nop_11_eriko_idle_wish","0","111"
"111004","111","105111","-127","1.5","1","1","215","nop_idle_normal","1","110"
"112001","112","101831","-143","1.5","1","1","100","nop_idle_joy1","1","115"
"112002","112","101611","-135","1.5","1","1","-100","nop_idle_joy_normal","0","110"
"112003","112","105011","-150","1.5","1","1","-215","nop_idle_joy_normal","0","114"
"113001","113","105331","-150","1.5","1","1","100","nop_idle_normal_joy","1","113"
"113002","113","104511","-150","1.5","1","1","-100","nop_13_kuka_idle_memory2","0","114"
"113003","113","103031","-127","1.5","1","1","-215","nop_idle_joy1","0","110"
"113004","113","100811","-150","1.5","1","1","-330","nop_idle_thinking","0","111"
"113005","113","105511","-150","1.5","1","1","240","nop_idle_sad","1","115"
"114001","114","106831","-150","1.5","1","1","100","nop_idle_normal","1","115"
"114002","114","101131","-150","1.5","1","1","-100","nop_idle_normal","0","114"
"114003","114","104931","-127","1.5","1","1","-215","nop_idle_normal","0","110"
