db1583579c4221c94ed8b2a237dcf15b09fc9085d0dce6175ac646b73451b8cc,98f253331f79f07c6816e1250d0c9db5fcaa40f121388f51d8be6d775184ba5e,f49a6a9cf98b6dc6a0156c53035edb8168de503c3f2240f8e9fc7a89bb492035,1204423781654ba6f7464f5ad85b964f7654d097a6e65b8b7def63dd7936599b,f597c2d3f9478698609eda2fdd7480b312bf3cd299bdf9e706809d1be3486777,80305e10aed8b4447d5a99bfea172957f61d4a4b432a7d6cb14603a0d942bf45,385c73525ecf897bd30805ed9f80c86741d89201815089922f8d83ce03bcf97d,3b2f38401231a770685e37625099434f5016422d13ea805b51d7bd5fbb6eaa72,863faa52dc32714ca75523437a5541279894def6413e7d43b6e4a891410c4c58,a5ed83980fd2d87bfa1a58738d07a3031ed24b5727a21d887fc5af01db2819f3,399bdde90becbc5092eb607e42229ef75d9cc99bbbb1921d732f89bc64d206cc,df8fc7e1cdc269162d7e35ffdb8963e3e8591298e6c25112f3cb368a1ef6365e,dad0617bdfabab4c4d9c14aeeef65a3481a29243a6e92fad9771c8f85fc8318f,4b38e8429965b27ff945706c76854bea757b98ff3ca1a3f4969dfa9146d6cfb9
"クローチェ","2002","0","2023/06/30 12:00:00","-470","2","126401","いらっしゃいませっ♪\nキャラバンコインを使って\n買い物ができますよっ！","1","1.47","1","2023/09/22 14:59:59","10001","1"
"クローチェ","2002","0","2023/06/30 12:00:00","-470","1","126401","素敵な品が揃ってるので\nたーっくさん買っていって\nくださいねっ♪","2","2.15","2","2023/09/22 14:59:59","10002","1"
"ライラエル","2002","0","2023/06/30 12:00:00","-470","2","126501","ショップへようこそ\nキャラバンコインはこちら\nで買い物に使えますよ","1","0","2","2023/09/22 14:59:59","10003","1"
"ライラエル","2002","0","2023/06/30 12:00:00","-470","1","126501","こちらのショップで\n買い物をして、素敵な\n旅を楽しんでくださいね","2","0","1","2023/09/22 14:59:59","10004","1"
"リンド","2002","0","2023/09/15 15:00:00","-470","2","127702","いらっしゃいませ\nキャラバンコインを使って\nお買い物ができますよ","1","0","2","2023/12/22 14:59:59","10005","2"
"リンド","2002","0","2023/09/15 15:00:00","-470","2","127702","ショップの掃除は完璧です\n姫さま直営のお店として\n当然のことですから","2","0","2","2023/12/22 14:59:59","10006","2"
"ヴルム","2002","0","2023/09/15 15:00:00","-470","1","127802","ショップへようこそ\nキャラバンコインと品物を\n交換できるんで、よければ","1","0","1","2023/12/22 14:59:59","10007","2"
"ヴルム","2002","0","2023/09/15 15:00:00","-470","1","127802","なんで店番なんか…\nま、やりますけど\n好きな品物をどうぞ","2","6.5","2","2023/12/22 14:59:59","10008","2"
"アネモネ","2002","0","2023/12/15 15:00:00","-470","1","129602","──いらっしゃいませ\n買い物しても、いいですよ\nキャラバンコインがあれば","1","0","2","2024/03/22 14:59:59","10009","3"
"アネモネ","2002","0","2023/12/15 15:00:00","-470","1","129602","──もっと笑顔がほしい？\nいくらコインを積まれても\n売れない物はありますから","2","0","2","2024/03/22 14:59:59","10010","3"
