86f49f3871c24982a4d0207e3dbca4f5a4d478f5202c54796c07baa74ddd7e11,194868ff47ec06310473a08e90c085373bf1bd186a1dc02d54a592f0f4950737,cc2ad50600021101aa9401214deeafcb48ba710d0cb6b5e0f7a1250db98b358c,d1b467a0d3fc301633662882e129fd83094582ab1426b45c3f8ee7fae7ab4f92,8aea27db12a009b0096bac81f624af8dbae8b8a5ab0bb7f7fd21c9edbdd8ab28
"2700","1","1","0","1"
"3600","1","2","0","2"
"5400","1","3","0","3"
"3600","1","1","1","4"
"5400","1","2","1","5"
"7200","1","3","1","6"
"1800","2","1","0","7"
"2700","2","2","0","8"
"3600","2","3","0","9"
"2700","2","1","1","10"
"4050","2","2","1","11"
"5400","2","3","1","12"
"1800","3","1","0","13"
"2700","3","2","0","14"
"3600","3","3","0","15"
"2700","3","1","1","16"
"4050","3","2","1","17"
"5400","3","3","1","18"
"1800","4","1","0","19"
"2700","4","2","0","20"
"3600","4","3","0","21"
"2700","4","1","1","22"
"4050","4","2","1","23"
"5400","4","3","1","24"
