966191ec027c0a1a2fcd98396bd447494de2c317de7f17b1d0b3267cb149145f,794fbe9015e5b6b15625fdf8f25d6dd7d58118bd4263d6903cc3511342042f16,ac4f49b3f5f0fe8d81bc7f63a8b3331c3a51a00480aedb1a4c2596842fb2383c,cf9512f3431d8ad5fce0da434cc819d2a92eb6b4374bcaf42c779b430b44eb30,4672251640c9b2356dcabb030c489eb66a5d1f131dd739a18b5f2c9fa468fe78,0cdc7740deab3776eceadd60043bb59db6ff5ebf3fb6a9d51d5544fba8aaf732,c511c1b62f40a9e498f41094aa9d2d6c332b36a176c2c26900f929e09e2bfc9f,797c1a6b2ad567267567e47c4b7924657b1ed12932da6731e190227d2507171f
"2","21952","20000","1","1","96001","1","1"
"2","21904","10000","1","1","96001","1","2"
"2","41000","10000","1","1","96001","1","3"
"2","31803","2000","5","1","96001","5","4"
"2","31215","1500","5","1","96001","5","5"
"2","31210","1500","5","1","96001","5","6"
"2","31211","1500","5","1","96001","5","7"
"2","90005","1250","10","1","96001","5","8"
"4","140001","500","20","1","96001","10","9"
"2","25001","500","10","1","96001","5","10"
"4","150003","100","5","1","96001","5","11"
"4","150004","130","5","1","96001","5","12"
"4","150005","150","5","1","96001","5","13"
"4","150006","180","5","1","96001","5","14"
"4","150007","200","5","1","96001","5","15"
"4","150008","230","5","1","96001","5","16"
"2","20004","500","5","1","96001","100","17"
"2","22003","200","5","1","96001","100","18"
"2","20004","1000","0","1","96001","100","19"
"2","22003","400","0","1","96001","100","20"
"2","21952","20000","1","2","96002","1","21"
"2","21904","10000","1","2","96002","1","22"
"2","41000","10000","1","2","96002","1","23"
"2","31233","1500","5","2","96002","5","24"
"2","31229","1500","5","2","96002","5","25"
"2","31225","1500","5","2","96002","5","26"
"2","90005","1250","10","2","96002","5","27"
"4","140001","500","20","2","96002","10","28"
"2","25001","500","10","2","96002","5","29"
"4","150003","100","5","2","96002","5","30"
"4","150004","130","5","2","96002","5","31"
"4","150005","150","5","2","96002","5","32"
"4","150006","180","5","2","96002","5","33"
"4","150007","200","5","2","96002","5","34"
"4","150008","230","5","2","96002","5","35"
"2","20004","500","5","2","96002","100","36"
"2","22003","200","5","2","96002","100","37"
"2","20004","1000","0","2","96002","100","38"
"2","22003","400","0","2","96002","100","39"
"2","21952","20000","1","3","96003","1","40"
"2","21905","10000","1","3","96003","1","41"
"2","41000","10000","1","3","96003","1","42"
"2","31805","2000","5","3","96003","5","43"
"2","31240","1500","5","3","96003","5","44"
"2","31238","1500","5","3","96003","5","45"
"2","31236","1500","5","3","96003","5","46"
"2","90005","2500","5","3","96003","10","47"
"4","140001","2500","5","3","96003","50","48"
"2","25001","500","5","3","96003","5","49"
"4","150003","500","5","3","96003","30","50"
"4","150004","650","5","3","96003","30","51"
"4","150005","750","5","3","96003","30","52"
"4","150006","900","5","3","96003","30","53"
"4","150007","1000","5","3","96003","30","54"
"4","150008","1150","5","3","96003","30","55"
"2","20004","2500","5","3","96003","500","56"
"2","22003","1000","5","3","96003","500","57"
"2","20004","1000","0","3","96003","100","58"
"2","22003","400","0","3","96003","100","59"
"2","21952","20000","1","4","96004","1","60"
"2","21905","10000","1","4","96004","1","61"
"2","41000","10000","2","4","96004","1","62"
"2","31807","2000","5","4","96004","5","63"
"2","31245","1500","5","4","96004","5","64"
"2","31248","1500","5","4","96004","5","65"
"2","31250","1500","5","4","96004","5","66"
"2","31091","1500","5","4","96004","5","67"
"2","90005","2500","5","4","96004","10","68"
"4","140001","2500","10","4","96004","50","69"
"2","25001","1000","10","4","96004","10","70"
"4","150003","500","5","4","96004","30","71"
"4","150004","650","5","4","96004","30","72"
"4","150005","750","5","4","96004","30","73"
"4","150006","900","5","4","96004","30","74"
"4","150007","1000","5","4","96004","30","75"
"4","150008","1150","5","4","96004","30","76"
"4","150009","1300","5","4","96004","30","77"
