308c43a8a165f3137153a848be7b8941eeb8145e95b098dea6770a6042b3ff64,3a80388225faa2ff302df5cd0fd28df75c26a7ea227edda15aeb2edc46d407eb,28f86dd323e1b461cececc8e514767868a7ebde0bfebaa774525499c02fa957d,cbc13735882a5e988bd5b562a6f6d8c6e400d3441a556cc3601dde4c586293ef,b0eedee0c476f617cc94643ac0d9e79896d05a6753cb8ec2efda70916da828bd,2ddf799162362319ae8b4385b92b83f1c7f1f0cf38454c9fafc9e10e5fbb7212,39bfb38aa4af62aa079912ef1f83202899e55904c910832a55f91c0d7fb08149,515413750217f31fe4af9dc6bdf27103ed043fab58497b4e11300ac96db3fa47,d5d6d2e08723e3e039a7138d452e35f481dec1a6ae7133665043e9b46c1bb250,b02b6cc6bb1a87f77aa6e1958c68112ef26d326871ddbbfc01ccafdd6cbc9e35,d0cadd7e79837914ffe6a044a2e30c3abfca6bce578917ecc4d71be9d6f0f6a5,f8fb57033e5271448d5430be1a3be7affa72090955c056c4ce496b6b53b27375,cb0170948f23cf3f299b932a130315c9446ef4ca130919559c9bfc993f74e8b3,8e80a64a109a47ddbb8b865b466bd46c6909aa026b1724984824d92588631c1d,812910451d06d5dde38bd6ea51b1f45ab59197c8409a935107586ff13e8986d4,570cbfd965e4889137123b5f4bfdfa2c24d6ba02cd874dad972444d79d984588,aebc74b7146ddf6969ae5f6d2798570f0e03864eef0945cb3d2b47e0d8a65a8a,712492409d752c7b74e3b0363612acb224d50aa485f6c3239ef9162a2b2d4881,6549a082a973989ffcca553b01385f0f9c307e7fbf1959c3a0d7affc852f305e,398f5ab73999dbd144a42224c7ea824d1d2bdfd79feff8fa0cd7df5fc22b4991,a1498cec31331c2400d2a95fdfe34a0b77161e4109778e16b88deece5dabaee8
"単体物理ダメージ+{0}","30","3","0","0","0","敵単体に{0}の物理ダメージ","1","1","1","0","30","2.4","-1","0","1","0","1","1","0","100100101"
"","50","3","0","0","0","","1","3","3","0","0","500","-1","0","99","0","1","1","0","100100102"
"範囲物理ダメージ+{0}","13.5","3","0","0","0","範囲内の敵に{0}の物理ダメージ","1","1","1","0","13.5","1.08","400","0","99","0","1","2","0","100100103"
"物理ダメージ+{0}","20","3","0","0","0","敵単体に{0}の物理ダメージ","1","1","1","0","20","1.6","-1","0","1","0","1","1","0","100100201"
"物理ダメージ+{0}","8","1","0","0","0","敵単体に{0}の物理ダメージ","1","1","1","0","8","0.6","0","0","1","0","1","1","0","100100301"
"物理攻撃力アップ+{0}","1","7","12","0","0","自分の物理攻撃力を{0}アップ","2","10","10","1","11","11","0","0","1","0","1","1","1","100100302"
"単体物理ダメージ+{0}","60","3","0","0","0","敵単体に{0}の物理ダメージ","1","1","1","0","60","4.8","-1","0","1","0","1","1","0","100101101"
"範囲物理ダメージ+{0}","45","3","0","0","0","範囲内の敵に{0}の物理ダメージ","1","1","1","0","45","3.6","600","0","99","0","1","2","0","100101102"
"単体物理ダメージ+{0}","20","3","0","0","0","敵単体に{0}の物理ダメージ","1","1","1","0","20","1.6","-1","0","1","0","1","1","0","100101201"
"範囲物理ダメージ+{0}","9","3","0","0","0","範囲内の敵に{0}の物理ダメージ","1","1","1","0","9","0.72","400","0","99","0","1","2","0","100101202"
"物理攻撃力アップ+{0}","1","0","1","0","0","自分の物理攻撃力を{0}アップ","0","2","90","0","15","15","0","0","0","0","1","0","0","100150101"
"物理攻撃力アップ+{0}","1","0","1","0","0","自分の物理攻撃力を{0}アップ","0","2","90","0","240","15","0","0","0","0","1","0","0","100151101"
