4d1fffa396130940565168c67b4fc993b2abfa465ca0af8e2c9227ebfb6a3c2d,11abc13de9ed721a4963d7c274d20d59f729c8d2ba9ea3d8efeb21805a69214d,07e2bd5cc42293c537e8bb54e2ee3c9412a4c3aab0cf5429dbffed78b4661bbb,c683c7bbf70f30402bc4c15b5e326fa63dffd9c3d7281b6f2afccf87c31a5bd2,96f580ae5419a7ad40db45944daba7e5f60fff94567d93a2dd821468e46b5d4b
"1000","32000101","2","25011","320001011"
"1000","32000101","2","25012","320001012"
"1000","32000102","2","25013","320001021"
"1000","32000102","2","25014","320001022"
"1000","32000103","8","91002","320001031"
"3000000","32000103","12","94002","320001032"
"1000","32000103","2","25015","320001033"
"1000","32000103","2","25021","320001034"
"1000","32000104","2","25013","320001041"
"1000","32000104","2","25014","320001042"
"1000","32000105","2","25012","320001051"
"1000","32000105","2","25015","320001052"
"1000","32000106","8","91002","320001061"
"3000000","32000106","12","94002","320001062"
"1000","32000106","2","25011","320001063"
"1000","32000106","2","25021","320001064"
"1000","32000107","2","25014","320001071"
"1000","32000107","2","25015","320001072"
"1000","32000108","2","25011","320001081"
"1000","32000108","2","25013","320001082"
"1000","32000109","8","91002","320001091"
"3000000","32000109","12","94002","320001092"
"1000","32000109","2","25012","320001093"
"1000","32000109","2","25021","320001094"
"3000","32000110","2","25011","320001101"
"3000","32000110","2","25012","320001102"
"3000","32000110","2","25013","320001103"
"3000","32000110","2","25014","320001104"
"3000","32000110","2","25015","320001105"
"3000","32000111","2","25011","320001111"
"3000","32000111","2","25012","320001112"
"3000","32000111","2","25013","320001113"
"3000","32000111","2","25014","320001114"
"3000","32000111","2","25015","320001115"
"3000","32000112","2","25011","320001121"
"3000","32000112","2","25012","320001122"
"3000","32000112","2","25013","320001123"
"3000","32000112","2","25014","320001124"
"3000","32000112","2","25015","320001125"
"1","32000113","2","21953","320001131"
"2000","32000113","2","25021","320001132"
