9c346adf399c6e140b797da398853f1bd2540c3944fa1ec2e743cf36d3c28c9d,2681729c850901168f0f5926d8991e74d5a0f70115f2b3effbb51207d3f66073,a0ab0add66dcbeb8e80d473a696c1e2011a104b15c29a9689d43d623fabc4cf7
"1","1","114601"
"2","2","114701"
"3","3","115601"
"4","5","115801"
"5","6","116801"
"6","7","117401"
"7","8","117801"
"8","9","119201"
"9","10","120801"
"10","12","121201"
"11","13","122101"
"12","14","122401"
"13","15","122801"
"14","16","123501"
"15","17","124101"
"16","20","124701"
"17","21","124901"
"18","22","125701"
"19","24","126701"
"20","25","127001"
"21","27","128301"
"22","28","128801"
