000709a846ae22f183b22911829b99282bb7496fd4fb0ef692134ce5a54a0bb5,647a07ed71e051ae053b496a7f029a62958aafeaf2623dc09907aab3e56b1c7b,e0d6d42e2d1daa4b1429669ef54dbc6540eea6082e2cdb07b1990ab5ff061972,d22e6e714acb5d55c2b603369f2b20dd936cf5f9f2bc2abd93b325dd9619df51,c9e74ae9e024f40b8bc45bc026ef6e8f1179bb8bbb5a1f8475300ec2ab913a8d,714dc527e5e76206e636cf087cea1280fc04a8210d034ce0a1efb8adbb341675,3bc74363478b1061200b1ef7726db67459f330254149aaf8fb3e9b9c5dd844fd,f2aff545bb23004007240886b9fe7c344288801723e85efc1d41216d38320088,d3ce401d820480671d0a5cf5caeefe288f4e3ec11414efbaed75e7c7a2a54ba0,2617e6b2de94a08929cba846d39c13af389bbb30f3f82adedfc3e1be670f6e00,5f4f0a260ba4a2be297769fae2ca0d452fdbc2334be6a27c071a4ecd44156cab,43e128dfe049105857883e3da968e4ee1c21af53da3e14c5a900ff8854d1b5ca,2b73e897554230a0cc3cbe7a920a1473fea1bd759c0b9fc5c28168b578dd2352,391658b6253733659288410e2e93b52bb7f7a33381026ec16cac75d0aaf36912,abf24ff59cfbd9e1b6e6345f07afbbbd775ccaf436fd7799fc21463ad41211af,4b6bedc42445f9d84d6605a7b88fc21dace6f0b841a8126b0e68429ff0dda9f4,966f9fc797416acaafa4258feaa6ba35eda3aaa172153adb85ee6c36540b6ebf,826ad044831232175fcb8546d58e9805892c672d2b3c4063fc0abf3d27238530,6bedf410fd73a8f813a427bb67fba91890b729303ffb8f00a9f09a2378b42d53
"90008","90005","2","32001","1","1","500000","12","4","1","10","140000","140001","5","2","94002","2","4","500"
"91002","94002","8","32001","1","1","0","0","4","2","500000","140001","25001","10","1","0","12","2","200"
"90008","90005","2","32001","2","1","750000","12","4","1","5","140000","140001","15","2","94002","2","4","500"
"91002","94002","8","32001","2","1","0","0","4","2","750000","140001","25001","20","1","0","12","2","300"
"90008","90005","2","32001","2","1","750000","12","4","1","5","140000","140001","25","2","94002","2","4","500"
"91002","94002","8","32001","3","1","0","0","4","2","750000","140001","25001","30","1","0","12","2","500"
"90008","90005","2","32001","3","1","1000000","12","4","1","5","140000","140001","35","2","94002","2","4","750"
"90008","94002","2","32001","4","1","0","0","4","2","1000000","140001","25001","40","1","0","12","2","1000"
"90008","90005","2","32001","4","1","2000000","12","4","1","5","140000","140001","45","2","94002","2","4","1250"
"90008","94002","2","32001","4","1","0","0","4","2","2000000","140001","25001","50","1","0","12","2","1500"
"90008","90005","2","32002","1","1","500000","12","4","1","10","140000","140001","5","2","94002","2","4","500"
"91002","25001","8","32002","1","1","500000","12","2","1","1","21951","140001","10","2","94002","2","4","200"
"90008","90005","2","32002","2","1","750000","12","4","1","5","140000","140001","15","2","94002","2","4","700"
"91002","94002","8","32002","2","1","0","0","4","2","750000","140001","25001","20","1","0","12","2","300"
"90008","90005","2","32002","2","1","750000","12","4","1","5","140000","140001","25","2","94002","2","4","700"
"91002","94002","8","32002","3","1","0","0","4","2","750000","140001","25001","30","1","0","12","2","500"
"90008","90005","2","32002","3","1","1000000","12","4","1","5","140000","140001","35","2","94002","2","4","1000"
"90008","94002","2","32002","4","1","0","0","4","2","1000000","140001","25001","40","1","0","12","2","1000"
"90008","90005","2","32002","4","1","2000000","12","4","1","5","140000","140001","45","2","94002","2","4","1250"
"90008","94002","2","32002","4","1","0","0","4","2","2000000","140001","25001","50","1","0","12","2","1500"
