b62607b719af3d517c24668833ad95c73a4657d4a2bf75b79664b2c710c6ab0d,d8a1bab191ad7439f9c6966372ca545e4bb3d86fd4d2fbb22d9575aaf16ced2f,4c64a4ab1231ca47cdf4fe2e41cbccf0117ec805059c71ded86813f4f87a1c30,bc97aad522f00964ef0cb22c3ed08e0dd23c45fa204d5490a1bff69e95107a32,6998430daada3b5d0e88895f4f79d5f60f647585050806cf4759899b2369fc9b,f0bf940c24ae4e7cc175bd191ec40ad68c984728c858241cb4e693dd5a8682b6,27bd6511af186ac4c7554456073793039cb235d0f29c98172c3d57f6d0da6e45,4037fa8070173ed40cd7fba2d3745bfb0fc885ecd8347756b185cec6e5fb4b97,8770015600b51d7104bb27dff7e99ef672e6e93d097eab87b5288ce0eed49178,ebaf71670ee26df83809cd51a20ec828610bafd403878492f48fb36779d6ea1a,74f71984949d5e144f7dfa0301740c2e06a0d031c9113161de06d313820052fc,18669c58056cc8c261eca8d448fd5a21dbe44d7702c3b13d9e615add144fc357,ea443c98f1a1facb3477e689fb5b550b20bffef1793ca148ddf1cb52265eba77
"それでいいのよ！","1201","1","8","8","0","0","vo_minigame_1012_correct_107","0","0","1","0","11120101"
"うん、OK！","1201","1","8","8","0","0","vo_minigame_1012_correct_108","0","0","1","0","11120102"
"いい調子ね！","1201","1","1","1","0","0","vo_minigame_1012_correct_109","0","0","1","0","11120103"
"じっくりでいいわ！","1202","1","1","1","0","-1","vo_minigame_1012_correct_115","0","13333","1","0","11120201"
"正解すりゃいいのよ！","1202","1","9","9","0","-1","vo_minigame_1012_correct_117","0","13333","1","0","11120202"
"すごいわね！","1203","1","1","1","0","0","vo_minigame_1012_correct_118","0","0","1","0","11120301"
"これ分かるの！？","1203","1","5","5","0.01","0","vo_minigame_1012_correct_119","8","0","1","0","11120302"
"これは大丈夫ね！","1204","1","1","1","0","0","vo_minigame_1012_correct_125","0","0","1","0","11120401"
"復習バッチリね！","1205","1","7","7","0.01","0","vo_minigame_1012_correct_123","4","0","1","0","11120501"
"連続で正解よ！","1206","1","8","8","0","-1","vo_minigame_1012_correct_128","0","3","1","0","11120601"
"巻き返すわよ！","1207","1","2","2","0","-1","vo_minigame_1012_correct_131","0","3","1","0","11120701"
"切り替えて！","1301","1","2","2","0","0","vo_minigame_1012_incorrect_107","0","0","1","0","11130101"
"こんなこともあるわ！","1301","1","9","9","0","0","vo_minigame_1012_incorrect_108","0","0","1","0","11130102"
"それじゃダメよ！","1301","1","4","4","0","0","vo_minigame_1012_incorrect_109","0","0","1","0","11130103"
"タイムアップよ！","1302","1","4","4","0","-1","vo_minigame_1012_incorrect_116","0","20000","1","0","11130201"
"いや答えなさいよ！","1302","1","5","5","0","-1","vo_minigame_1012_incorrect_117","0","20000","1","0","11130202"
"難しいわね…","1303","1","3","3","0.01","0","vo_minigame_1012_incorrect_118","6","0","1","0","11130301"
"難易度高すぎね…","1303","1","4","4","0","0","vo_minigame_1012_incorrect_119","0","0","1","0","11130302"
"忘れちゃダメよ？","1304","1","2","2","0","0","vo_minigame_1012_incorrect_123","0","0","1","0","11130401"
"全部が間違いじゃないわ！","1305","1","1","1","0","0","vo_minigame_1012_incorrect_126","0","0","1","0","11130501"
"フフ、全問正解よ！\nちゃんと勉強してるみたいで\n感心だわ♪","3001","1","8","7","3.18","10","vo_minigame_1012_result_1000","4","10","1","1","11300101"
"すごいじゃない…全問正解よ！\nま、当然といや当然よね～\nだってあたしが\n教えてやってんだから♪","3001","1","7","8","3.33","10","vo_minigame_1012_result_1001","10","10","1","1","11300102"
"全問正解！　パチパチパチ～♪\nこの難易度はもう完璧じゃない？\n次はもっと難しい問題に挑戦よ！\nあんたならできるって！","3001","1","1","8","5.41","10","vo_minigame_1012_result_1002","10","10","1","1","11300103"
"へえ…難しい問題を選んだのに\n全問正解できてるじゃない！！\nちょっとあんたすごすぎだわ…！\nパーフェクトよパーフェクト！","3001","1","8","5","8.11","10","vo_minigame_1012_result_1003","10","10","1","2","11300104"
"まる…まる…全部まる！\n難しい問題なのに全問正解よ…！\n驚いた…あんたいつの間に、\nこんなに勉強してたのよ！","3001","1","5","10","1.31","10","vo_minigame_1012_result_1004","0","10","1","2","11300105"
"ここまで完璧に正解されちゃうと\nちょっと悔しいわね…！\nけど素直に褒めてやるわ！\nえらい、えらい、えら～い！","3001","1","8","9","4.93","10","vo_minigame_1012_result_1005","0","10","1","2","11300106"
"すごい…あんたパーフェクトよ！\nこのままいけば次の試験、\n学年一位も夢じゃないかもね！\n楽しみだわ～♪","3001","1","8","5","2.99","10","vo_minigame_1012_result_1006","4","10","1","3","11300107"
"満点よ！　フフ、もうあんたに\n教えることはなにもないわ…！\n逆にあたしがあんたに教わりたい\nくらいよ！　…ね、先生♪","3001","1","7","8","8.37","10","vo_minigame_1012_result_1007","4","10","1","3","11300108"
"全・問・正・解！\n超難問揃いなのにすごいわね…！\nもしかしてだけど、\nあんたって天才！？","3001","1","5","7","5.32","10","vo_minigame_1012_result_1008","8","10","1","3","11300109"
"お、かなりいい点数ね～！\nあたしも教えがいがあるわ♪\nさ、まだまだ勉強するわよ！","3001","1","1","7","4.77","9","vo_minigame_1012_result_1009","4","7","1","1","11300110"
"うん、いい感じで点取れてるわ！\nこの調子で次は、\n満点を見せてほしいわね！","3001","1","7","8","2.97","9","vo_minigame_1012_result_1010","4","7","1","1","11300111"
"あ～惜しい！\nもうちょっとで満点じゃない！\n次はパーフェクトいけるわ！\n頑張りましょ！","3001","1","1","5","3.47","9","vo_minigame_1012_result_1011","0","7","1","1","11300112"
"すごい、かなりできてるわよ！\n難しい問題なのにやるじゃない！\nあとは目指せ、満点ね！","3001","1","7","8","5.32","9","vo_minigame_1012_result_1012","4","7","1","2","11300113"
"うん、かなりいい感じよ！\nあんたには赤点の心配なんて\nまーったくなさそうね♪\nでも勉強はやめさせないけど！","3001","1","7","8","6.49","9","vo_minigame_1012_result_1013","10","7","1","2","11300114"
"あーあとちょっとで\n全問正解だったのに！\n難しい問題だけどあんたなら\n次は満点狙えるわ！","3001","1","1","5","3.56","9","vo_minigame_1012_result_1014","0","7","1","2","11300115"
"うん、ほとんど正解よ！\nこんな難しい問題なのに、\nすごいじゃない！\nやっぱりあんた只者じゃないわ！","3001","1","1","8","5.67","9","vo_minigame_1012_result_1015","10","7","1","3","11300116"
"着実に成長してるって感じね？\nあんたならこの難問でも、\nいつか満点取れちゃうかも…！","3001","1","1","7","2.85","9","vo_minigame_1012_result_1016","10","7","1","3","11300117"
"うわー惜しいわね！\nもうちょっとで満点よ？\nま、あたしでも悩む難問だから、\nこの点数は胸を張っていいわ！","3001","1","1","5","3.88","9","vo_minigame_1012_result_1017","0","7","1","3","11300118"
"正解率は半分くらいか～\n悪くはないんだけど、あんたなら\nこんなもんじゃないでしょ？","3001","1","1","3","4.12","6","vo_minigame_1012_result_1018","0","4","1","1","11300119"
"んーはっきり言っちゃうと\n中途半端な点数ね…\nまあいいわ！こっからガンガン\n点数上げていくわよ！","3001","1","1","9","4.34","6","vo_minigame_1012_result_1019","0","4","1","1","11300120"
"う～ん、正直物足りない点数ね！\nあんたには期待してんだから、\nもっと頑張んなさい！","3001","1","1","3","3.15","6","vo_minigame_1012_result_1020","0","4","1","1","11300121"
"半分くらいの正解率か\n難しい問題だから仕方ないわね…\nでもあんたはもっとできる！\nだってあたしがついてんのよ！","3001","1","1","9","5.3","6","vo_minigame_1012_result_1021","0","4","1","2","11300122"
"うん、そこそこできんじゃない！\n頑張って勉強して\nさらに上を目指しましょ！","3001","1","1","8","2.55","6","vo_minigame_1012_result_1022","0","4","1","2","11300123"
