df698f6a272cc2d9feae0f4c004dc6d052c0cadf6d6502e0d9b96b5917e878b7,842ec6f84f09d96945171fc470264377df868d5094553cc7281fb02042c37aa3
"4101501","4000"
"4101502","4000"
"4101511","4000"
"4102501","4000"
"4103501","4000"
"4104501","4000"
"4105501","4000"
"4106501","4000"
"4107501","4000"
"4108501","4000"
"4109501","4000"
"4110501","4000"
"4201501","4000"
"4202501","4000"
"4203501","4000"
"4204501","4000"
"4301511","400"
"4301512","400"
"4301513","400"
"4301514","400"
"4301515","400"
"4301516","400"
"4301517","400"
"4301518","400"
"4301519","400"
"4301520","400"
"4302511","400"
"4302512","400"
"4302513","400"
"4302514","400"
"4302515","400"
"4302516","400"
"4302517","400"
"4302518","400"
"4302519","400"
"4302520","400"
"4303511","400"
"4303512","400"
"4303513","400"
"4303514","400"
"4303515","400"
"4303516","400"
"4303517","400"
"4303518","400"
"4303519","400"
"4303520","400"
"4304511","400"
"4304512","400"
"4304513","400"
"4304514","400"
"4304515","400"
"4304516","400"
"4304517","400"
"4304518","400"
"4304519","400"
"4304520","400"
"4305511","400"
"4305512","400"
"4305513","400"
"4305514","400"
"4305515","400"
"4305516","400"
"4305517","400"
"4305518","400"
"4305519","400"
"4305520","400"
