92ebde3a6a4108d2f733b4bf3ac001d23f2deaaeb2e9e559039521d087120cb6,fdcd08ff4d344eee196dc0398ea9a758539f867a740f4ebfefea684a4a08bd6b,1ba9fa90bb2a0bcf243de1d44b06982b206cd9f0f01290131a585ca56c3206e5,ba5bc7c0125e7781a11a146da61576f59413c2c1b3ea74abe66827c54b5e4e24,a3d1de55d6a5e7876da0f91574bfff1d0d92a308a5d6f68173b117978db31424
"27001","2020/03/02 4:59:59","2020/02/15 15:00:00","28","27001"
"27001","2021/03/05 11:59:59","2021/02/15 23:00:00","33","27002"
"27001","2021/09/05 11:59:59","2021/08/15 15:00:00","42","27003"
"27001","2022/01/21 11:59:59","2021/12/31 12:00:00","43","27004"
"27005","2022/03/05 14:59:59","2022/02/15 15:00:00","44","27005"
"27001","2022/09/05 11:59:59","2022/08/15 15:00:00","55","27006"
"27001","2023/01/21 11:59:59","2022/12/31 12:00:00","81","27007"
"27005","2023/03/05 14:59:59","2023/02/15 15:00:00","82","27008"
"27009","2023/05/25 14:59:59","2023/04/30 12:00:00","85","27009"
"27001","2023/09/04 14:59:59","2023/08/15 15:00:00","113","27010"
"27012","2024/01/21 11:59:59","2023/12/31 12:00:00","115","27012"
"27005","2024/03/05 14:59:59","2024/02/15 00:00:00","118","27013"
"27012","2024/05/30 23:59:59","2024/04/30 12:00:00","119","27014"
"27012","2024/09/10 23:59:59","2024/08/15 15:00:00","127","27015"
"27012","2024/12/31 11:59:59","2024/12/20 5:30:00","138","27016"
"27012","2025/01/24 23:59:59","2024/12/31 12:00:00","140","27017"
"27018","2025/03/05 23:59:59","2025/02/15 15:00:00","153","27018"
"27012","2025/03/05 23:59:59","2025/02/15 15:00:00","154","27019"
"27012","2025/05/30 23:59:59","2025/04/30 12:00:00","169","27020"
"27012","2025/09/10 23:59:59","2025/08/15 15:00:00","191","27023"
