aa6f6a118bd0f329a8ac638a85f6d0282a475c923a298c0a59edd3070d9ecf52,b65f2a7f17e7f828a6407680f3a67e755284c18727f8ec46e1c2127b47b47256,9c400ce3c46c3d1c7f57083ea4a6702d00fc86c28b0c28ddb0c4dfc997372252,f6afc09a725c5efe1ccace039119a2ab79a337b5fc832499228e907bb4e21f37,259ebdd5d11d261bd7636c98d262e45ceeda936a8d8f7af2d8f4a7d51e28cdcc,852db6ca60d7e6aacc7b6e8eaf0f3519c82be4fc59750cfda53e4d7d37df5b70,1e2777175d87857a39568d565e93cb9a25c85e6556d4c3a37d7585220c600913
"0","1","1","1","0","1","1"
"0","2","4","1","0","2","1"
"12","1","5","1","0","3","1"
"0","2","2","1","0","4","1"
"0","1","8","2","0","5","1"
"0","1","1","1","0","1","2"
"0","2","1","1","0","2","2"
"0","1","6","1","0","3","2"
"0","2","1","1","0","4","2"
"0","3","1","1","0","5","2"
"11","1","3","3","0","6","2"
"0","2","1","1","0","7","2"
"0","1","3","1","0","8","2"
"0","1","1","2","0","9","2"
"0","1","1","1","0","1","3"
"0","2","10","1","0","2","3"
"0","1","11","1","0","3","3"
"0","2","5","1","0","4","3"
"0","3","6","1","0","5","3"
"0","3","3","1","0","6","3"
"9","4","3","2","0","7","3"
"0","4","7","1","0","8","3"
"0","4","1","1","0","9","3"
"8","1","9","3","0","10","3"
"0","2","4","1","0","11","3"
"0","1","1","1","0","12","3"
"0","4","3","1","0","13","3"
"11","3","3","2","0","14","3"
"10","1","4","1","0","1","4"
"12","1","12","1","0","2","4"
"10","2","1","1","0","3","4"
"4","1","11","1","0","4","4"
"0","2","1","1","0","5","4"
"13","1","4","1","0","6","4"
"6","2","2","1","0","7","4"
"0","1","8","1","0","8","4"
"10","2","8","1","0","9","4"
"10","1","1","1","0","1","5"
"5","2","11","1","0","2","5"
"7","1","1","1","0","3","5"
"12","2","5","1","0","4","5"
"11","1","1","1","0","5","5"
"4","2","3","1","0","6","5"
"12","2","5","1","0","7","5"
"6","1","2","1","0","8","5"
"4","2","11","1","0","9","5"
"8","1","8","1","0","10","5"
"10","1","4","1","0","11","5"
"10","2","5","1","0","12","5"
"7","1","8","1","0","1","6"
"10","2","4","1","0","2","6"
"11","1","1","1","0","3","6"
"8","2","8","1","0","4","6"
"6","1","11","1","0","5","6"
"7","1","2","2","0","6","6"
