923e97d0a98598075e238181094657ff516349608e154488b4bada0efccb7b90,3d966c45c899f08e07e148a614b3e0dd46539c140e8bc291d61d1e2a4c704e34,1aa289bb9415f5ef6cf75c70bee82a35fc010138989ed0a738e6c0ab1d0312e7
"1","1","10101"
"1","2","10102"
"1","3","10103"
"1","4","10104"
"2","1","10201"
"2","2","10202"
"2","3","10203"
"2","4","10204"
"3","1","10301"
"3","2","10302"
"3","3","10303"
"3","4","10304"
"4","1","10401"
"4","2","10402"
"4","3","10403"
"4","4","10404"
"5","1","10501"
"5","2","10502"
"5","3","10503"
"5","4","10504"
"6","1","10601"
"6","2","10602"
"6","3","10603"
"6","4","10604"
"7","1","10701"
"7","2","10702"
"7","3","10703"
"7","4","10704"
"8","1","10801"
"8","2","10802"
"8","3","10803"
"8","4","10804"
"0","0","99999"
