d0d49e8351eab9eaa5f65353d0648d2e8197d1e41a13e03d9a92822ebc38aa2c,d1992dbad9c7e7479ee8f96f9b874ff8bcd418393109705e28ac5d555ba80dd1,b0e2022812b56e417752f5f7b83553642d9a8c415149cf87bb2fcd51033f2cec,011b1e73b1f9d4c24d6a029649d4b7b3584d8af13f8b3fe43b5cb300d1173839,2435531dacc73f9bf8c576fad71f4328d9d003f4880b43c4d0d0fcd43d348021
"2","25011","32000101","320001011","1000"
"2","25012","32000101","320001012","1000"
"2","25013","32000102","320001021","1000"
"2","25014","32000102","320001022","1000"
"8","91002","32000103","320001031","1000"
"12","94002","32000103","320001032","3000000"
"2","25015","32000103","320001033","1000"
"2","25021","32000103","320001034","1000"
"2","25013","32000104","320001041","1000"
"2","25014","32000104","320001042","1000"
"2","25012","32000105","320001051","1000"
"2","25015","32000105","320001052","1000"
"8","91002","32000106","320001061","1000"
"12","94002","32000106","320001062","3000000"
"2","25011","32000106","320001063","1000"
"2","25021","32000106","320001064","1000"
"2","25014","32000107","320001071","1000"
"2","25015","32000107","320001072","1000"
"2","25011","32000108","320001081","1000"
"2","25013","32000108","320001082","1000"
"8","91002","32000109","320001091","1000"
"12","94002","32000109","320001092","3000000"
"2","25012","32000109","320001093","1000"
"2","25021","32000109","320001094","1000"
"2","25011","32000110","320001101","3000"
"2","25012","32000110","320001102","3000"
"2","25013","32000110","320001103","3000"
"2","25014","32000110","320001104","3000"
"2","25015","32000110","320001105","3000"
"2","25011","32000111","320001111","3000"
"2","25012","32000111","320001112","3000"
"2","25013","32000111","320001113","3000"
"2","25014","32000111","320001114","3000"
"2","25015","32000111","320001115","3000"
"2","25011","32000112","320001121","3000"
"2","25012","32000112","320001122","3000"
"2","25013","32000112","320001123","3000"
"2","25014","32000112","320001124","3000"
"2","25015","32000112","320001125","3000"
"2","21953","32000113","320001131","1"
"2","25021","32000113","320001132","2000"
