9022ddf851b40eaea3a105e634bcb1dd34f5f546c5d37a4013c7479d9a1bcb53,4b598c3f1ebb9c1b408453b62f39612431fd535ea29801a07ed17c806d64dedf,69ee7b7a902d45fe5a2e648e0285b73d35f0f3671ec5d54dd3d36a9f57c06848,e886f3af1dfe1225d57ce9026585a4a5c980da1a63e146bebf2df9779b9cd8f8,7f94aad57a88a433b5230cffa9dd1ac3ae60a6fa59dfd8fd339187927961fd15,1d616a08b20b5c5a1e254f81984b0bf41c8b141f8233a9ee01ba0f6604271171,b435d282677af589e67364c06c61ab42395b5bae56b7b69a46ac48a4a7ebb01d,4b184598ed7f091f543b58e147b9778f6028966159b340a98a9168a0da55b94a,0ae1b1d9059077ab2443c4e01307b4632a242edf8f765ddf5bdd853db443244f,0ba2c8f6402f484fc57ff43533d63ab8d8c8aaa8426d95751d5cf513d87c2aee,3d1dbd73ae3464d1b9caebff55a60b50d8da73d52fb1741f1cf5bd099508a2da,ea162612fa63deaa110faa35246a3f5691ca6deb87757b1a7e86c2b9e09d6d76
"1000102","10001201","0","1000101","10001115","0","0","0","2018/04/09 15:00:00","0","10001","0"
"0","0","0","1000102","0","0","0","0","0","0","10001","1000101"
"1000202","10002201","0","1000201","10002115","0","0","0","2018/05/08 15:00:00","0","10002","0"
"0","0","0","1000202","0","0","0","0","0","0","10002","1000201"
"1000302","10003201","0","1000301","10003115","0","0","0","2018/06/08 15:00:00","0","10003","0"
"0","0","0","1000302","0","0","0","0","0","0","10003","1000301"
"1000402","10004201","0","1000401","10004115","0","0","0","2018/07/06 15:00:00","0","10004","0"
"1000403","0","0","1000402","0","0","0","0","0","0","10004","1000401"
"0","0","0","1000403","0","0","0","0","0","0","10004","1000402"
"1000502","10005201","0","1000501","10005115","0","0","0","2018/08/06 15:00:00","0","10005","0"
"1000503","0","0","1000502","0","0","0","0","0","0","10005","1000501"
"0","0","0","1000503","0","0","0","0","0","0","10005","1000502"
"1000602","10006201","0","1000601","10006115","0","0","0","2018/09/06 15:00:00","0","10006","0"
"1000603","0","0","1000602","0","0","0","0","0","0","10006","1000601"
"0","0","0","1000603","0","0","0","0","0","0","10006","1000602"
"1000702","10007201","0","1000701","10007115","0","0","0","2018/10/06 12:00:00","0","10007","0"
"1000703","0","0","1000702","0","0","0","0","0","0","10007","1000701"
"0","0","0","1000703","0","0","0","0","0","0","10007","1000702"
"1000802","10008201","0","1000801","10008115","0","0","0","2018/11/06 12:00:00","0","10008","0"
"1000803","0","0","1000802","0","0","0","0","0","0","10008","1000801"
"0","0","0","1000803","0","0","0","0","0","0","10008","1000802"
"1000902","10009201","0","1000901","10009115","0","0","0","2018/12/06 15:00:00","0","10009","0"
"1000903","0","0","1000902","0","0","0","0","0","0","10009","1000901"
"0","0","0","1000903","0","0","0","0","0","0","10009","1000902"
"1001002","10010201","0","1001001","10010115","0","0","0","2019/01/06 12:00:00","0","10010","0"
"1001003","0","0","1001002","0","0","0","0","0","0","10010","1001001"
"0","0","0","1001003","0","0","0","0","0","0","10010","1001002"
"0","0","3","1001004","0","0","0","0","0","0","10010","0"
"1001102","10011201","0","1001101","10011115","0","0","0","2019/02/06 12:00:00","0","10011","0"
"1001103","0","0","1001102","0","0","0","0","0","0","10011","1001101"
"0","0","0","1001103","0","0","0","0","0","0","10011","1001102"
"0","0","3","1001104","0","0","0","0","0","0","10011","0"
"1001202","10012201","0","1001201","10012115","0","0","0","2019/03/06 12:00:00","0","10012","0"
"1001203","0","0","1001202","0","0","0","0","0","0","10012","1001201"
"0","0","0","1001203","0","0","0","0","0","0","10012","1001202"
"0","0","3","1001204","0","0","0","0","0","0","10012","0"
"1001302","10013201","0","1001301","10013115","0","0","0","2019/04/06 12:00:00","0","10013","0"
