e162c6e897439c629e5e815905f311a3dea9d64ef5104839b78735ed7fc541a0,5b6b031e24ae3852f4c13be038f55654cdbcb628af8e43015164606af02ce200,82ae0923ba3c2fe061fc71e521abf9a730ae6c70d346739a87fad6f7312333ad,4881273620226e1335c74e6402e407b12a49731fbb0cc8d4337ae58ad6dcde87,e6d10834eb9cf35f6f01b1ed07cfc11e6a82c7cd955140a4213fe36f49b34431,bfe4a8b348e5a5d56784e4ae42a786ae54982e0fa7d3f49f776e6ee90974bf28,a720e178b57c18e4946dc8be23d6cbb42c0a3f82f0a4dabe23611485c56a1d57,9ae6c14821325edf907c1bb5f4a79d4f30c8afe72729d3157339e770677e68ce,7887859df03d2e9554cb9453e7ce0dca26d11d18735cd861df40e646fc382417,aeaea2129ece2a7bf6238bd13f4a0d53a67f1398709cd2fd23e16ba30d48afa4,0ce98d349def67a98ba8604de2f55de68899efd2e1a0720d8a9c764c407b8ed0,74cbb960878eb9dec6272d606c34c809ec6b5a1759c87d87fb121ab8109ab8e8
"0","1","4","0","0","0","1","0","3","0","1","1010001"
"0","0","2","vo_minigame_1005_nikki01_000","vo_minigame_1005","0","1","0","0","0","2","1010002"
"1.418","0","1","0","0","202","1","0","0","1","3","1010003"
"0","1.858","4","0","0","0","1","0","1","0","4","1010004"
"2.536","0","1","0","0","316","1","0","0","2","5","1010005"
"0","3.484","4","0","0","0","1","0","1","0","6","1010006"
"0","0","2","vo_minigame_1005_nikki01_001","vo_minigame_1005","0","1","0","0","0","7","1010007"
"1.131","0","1","0","0","121","1","0","0","3","8","1010008"
"0","1.407","4","0","0","0","1","0","1","0","9","1010009"
"1.043","0","1","0","0","276","1","121","0","3","10","1010010"
"0","1.719","4","0","0","0","1","0","1","0","11","1010011"
"0.69","0","1","0","0","389","1","276","0","3","12","1010012"
"0","0.69","4","0","0","0","1","0","1","0","13","1010013"
"1.694","0","1","0","0","224","1","0","0","4","14","1010014"
"0","2.204","4","0","0","0","1","0","1","0","15","1010015"
"1.298","0","1","0","0","384","1","224","0","4","16","1010016"
"0","1.298","4","0","0","0","1","0","1","0","17","1010017"
"1.118","0","1","0","0","131","1","0","0","5","18","1010018"
"0","1.199","4","0","0","0","1","0","1","0","19","1010019"
"0.958","0","1","0","0","244","1","131","0","5","20","1010020"
"0","1.269","4","0","0","0","1","0","1","0","21","1010021"
"1.373","0","1","0","0","394","1","244","0","5","22","1010022"
"0","1.373","4","0","0","0","1","0","1","0","23","1010023"
"0.193","0","1","0","0","25","1","0","0","6","24","1010024"
"0","0.552","4","0","0","0","1","0","1","0","25","1010025"
"2.64","0","1","0","0","368","1","25","0","6","26","1010026"
"0","3.195","4","0","0","0","1","0","1","0","27","1010027"
"0.599","0","1","0","0","65","1","0","0","7","28","1010028"
"0","0.929","4","0","0","0","1","0","1","0","29","1010029"
"1.302","0","1","0","0","252","1","65","0","7","30","1010030"
"0","2.395","4","0","0","0","1","0","1","0","31","1010031"
"0","0","2","vo_minigame_1005_nikki01_002","vo_minigame_1005","0","1","0","0","0","32","1010032"
"2.09","0","1","0","0","271","1","0","0","8","33","1010033"
"0","2.512","4","0","0","0","1","0","1","0","34","1010034"
"0.868","0","1","0","0","400","1","271","0","8","35","1010035"
"0","0.907","4","0","0","0","1","0","1","0","36","1010036"
"2.214","0","1","0","0","315","1","0","0","9","37","1010037"
"0","2.562","4","0","0","0","1","0","1","0","38","1010038"
"1.65","0","1","0","0","242","1","0","0","10","39","1010039"
"0","2.654","4","0","0","0","1","0","1","0","40","1010040"
"0","0","2","vo_minigame_1005_nikki01_003","vo_minigame_1005","0","1","0","0","0","41","1010041"
"0.685","0","1","0","0","345","1","242","0","10","42","1010042"
"0","1.036","4","0","0","0","1","0","1","0","43","1010043"
"0.378","0","1","0","0","397","1","345","0","10","44","1010044"
"0","0.378","4","0","0","0","1","0","1","0","45","1010045"
"2.438","0","1","0","0","377","1","0","0","11","46","1010046"
"0","3.395","4","0","0","0","1","0","1","0","47","1010047"
"0","0","2","vo_minigame_1005_nikki01_004","vo_minigame_1005","0","1","0","0","0","48","1010048"
"0.642","0","1","0","0","83","1","0","0","12","49","1010049"
"0","1.061","4","0","0","0","1","0","1","0","50","1010050"
"0.539","0","1","0","0","159","1","83","0","12","51","1010051"
"0","0.877","4","0","0","0","1","0","1","0","52","1010052"
"1.135","0","1","0","0","316","1","159","0","12","53","1010053"
"0","2.635","4","0","0","0","1","0","1","0","54","1010054"
"0","1","4","0","0","0","2","0","3","0","1","1020001"
"0","0","2","vo_minigame_1005_nikki02_000","vo_minigame_1005","0","2","0","0","0","2","1020002"
"2.91","0","1","0","0","345","2","0","0","1","3","1020003"
"0","3.814","4","0","0","0","2","0","1","0","4","1020004"
"0","0","2","vo_minigame_1005_nikki02_001","vo_minigame_1005","0","2","0","0","0","5","1020005"
"1.67","0","1","0","0","239","2","0","0","2","6","1020006"
"0","2.19","4","0","0","0","2","0","1","0","7","1020007"
"2.455","0","1","0","0","314","2","0","0","3","8","1020008"
"0","3.527","4","0","0","0","2","0","1","0","9","1020009"
"0","0","2","vo_minigame_1005_nikki02_002","vo_minigame_1005","0","2","0","0","0","10","1020010"
"0.454","0","1","0","0","70","2","0","0","4","11","1020011"
"0","0.874","4","0","0","0","2","0","1","0","12","1020012"
"2.154","0","1","0","0","392","2","70","0","4","13","1020013"
"0","3.373","4","0","0","0","2","0","1","0","14","1020014"
