e90bf4509d901cd144119d488f01d8359486f62744af363e9332e50ac22374ba,515edb19c174f673aa4b34f3fc1adbdd41bca7ed282994c2daa7611ddf4c75f1,3044d9b0c0422ca5074c60aabe49cc08612fd779500a2e11bfb8c8bbdb08067f,a628e28da344c1dc18e41084b9bfb101ad0268acb9adbe147858ae0c610795e0,9a0adad6efda7fb74c376905418802739aa5739a886bfbd64fb60284883dcd61,8d2d3f6c3df4c0c7952192bc8f73f1d2266a23202a424271bf57ae86ba573463,318b4131f9d3bf2dbc175aac59489bc0931bc44e23eb95f89169428dcbe13986,819207483dcf2d0816f9b9e81615a033596865175c9a9ecbfc1e0fbaed443196,a1b113de3b1f24fa6d7374c9f4e3e97152eeed6cf712bd4b96a9ff22e292af9c,b76ea043dd2cc3388f867c5a876e949a894de672fc0db85470064c28f97ec135,f18d47cb6d791224bb6d9eb707e13076017329c29bc574f86af85a87478549ec
"1001","-224","1","100","167","1","1","1","drama_idle","129811","1.65"
"1002","-224","1","100","-49","1","1","0","drama_idle","129911","1.65"
"1003","","3","1","","129811","1","","","drama_idle","0.2"
"1004","1","3","0","drama_talk_arm_crossed_loop","129911","1","0","","drama_talk_arm_crossed_in","0.2"
"1005","","21","0","0","vo_minigame_1013","1","","","vo_minigame_1013_top_talk_1_000",""
"1006","0","11","6","1","129911","1","0","0","魔物がいくらでも\n湧いてくるのなら、\n戦う相手に困りません\nむしろ好都合ですわね","0"
"1007","","91","","","0","1","","","",""
"1008","","3","1","","129911","1","","","drama_idle_arm_crossed","0.2"
"1009","1","3","0","drama_talk_doya_loop_smile","129811","1","0","","drama_talk_doya_in_smile","0.2"
"1010","","21","0","0","vo_minigame_1013","1","","","vo_minigame_1013_top_talk_1_001",""
"1011","0","11","6","1","129811","1","0","0.3","ははっ…\nそんな扱いになると\n魔物も少し気の毒に\n思えちまうな～","0"
"1012","","91","","","0","1","","","",""
"1013","","3","1","","129811","1","","","drama_idle_arm_crossed","0.2"
"1014","1","3","0","drama_talk_smile_loop","129911","1","0","","drama_talk_smile_in","0.2"
"1015","","21","0","0","vo_minigame_1013","1","","","vo_minigame_1013_top_talk_1_002",""
"1016","0","11","5","1","129911","1","0","0.5","訓練の糧になれるなら\n彼らも光栄でしょう\nクスクス…喜びの声が\n聞こえてくるようです","0"
"1017","","91","","","0","1","","","",""
"1018","","3","1","","129911","1","","","drama_idle","0.2"
"1019","","3","1","","129811","1","","","drama_idle","0.2"
"2001","-224","1","100","167","1","2","1","drama_idle","129811","1.65"
"2002","-224","1","100","-49","1","2","0","drama_idle","129911","1.65"
"2003","","3","1","","129911","2","","","drama_idle","0.2"
"2004","1","3","0","drama_talk_admire_loop","129811","2","","","drama_talk_admire_in","0.2"
"2005","","21","0","0","vo_minigame_1013","2","","","vo_minigame_1013_top_talk_2_000",""
"2006","0","11","7","1","129811","2","0","0.5","こうして兵士が大勢\n集まると、壮観だな\n訓練兵とは思えない\n迫力ってやつがあるよ","0"
"2007","","91","","","0","2","","","",""
"2008","","3","1","","129811","2","","","drama_idle_admire","0.2"
"2009","1","3","0","drama_talk_arm_crossed_loop","129911","2","","","drama_talk_arm_crossed_in","0.2"
"2010","","21","0","0","vo_minigame_1013","2","","","vo_minigame_1013_top_talk_2_001",""
"2011","0","11","5","1","129911","2","0","0.3","そんな彼らを従えて\n教育するのが私たち…\n期待に応え、全力で\nしつけてあげましょう","0"
"2012","","91","","","0","2","","","",""
"2013","","3","1","","129911","2","","","drama_idle_arm_crossed","0.2"
"2014","1","3","0","drama_talk_guts2_loop","129811","2","","","drama_talk_guts2_in","0.2"
"2015","","21","0","0","vo_minigame_1013","2","","","vo_minigame_1013_top_talk_2_002",""
"2016","0","11","8","1","129811","2","0","0.3","エリコの教官姿も、\nしっかり決まってるし\nよ～しっ、あたしも\n負けてられねえぜ！","0"
