308956a09dad2979e255cb3c4243d70348183c443850c46b6b5fecb3d36e237c,f2ee0abae21a9a56f533f2b9e07f0660f9a308b9f678485b0ffd12996e8afcb2,6906a0e538749ef10940cb3b7395098e8816fde9e0238b202d44da250516b632,7bea19b46eea08d97b950021367c9287ea79db8bdb12144b9d69489c89a9d50f,5bcc772c2f138e5379cc9fbac3a0f5445f53cd890786e795e5b4d709ca392efa,7aba2174875c4b508760fb193edde74dd77c0cccc8d350779ff4c116a9dbf796,f77e1f54f8c741a55bfcedb30be73f5c83ffea5538d9d3b94ac28a145798d203,f0ed93abc137a628014a00249024ee0af4e399649e2943bf410f2a91553eef64,145994226c1e9c05407e449c1fe02ef6a94312392281839ed565681554d2c38f,61bfd31c4b6ada601f1ceedfee93446a6e4bc32943ee48854593b0619fe332fe,86b6e008ad0e266b937d42aac3687e23937a1da495d6fa30d6d4ba16d851e9d9,be2722441b26c17001f5a9a195e869615db99e3c76bf14e417358ccaeef60232,db74c17d1d1940e012039d47e02e3b40fb3c74f83d5b0766815a606fc68fa77b,ce387153fb9b19415e4e762e30c6a6153357086dd05d642719840b0d53f88d67,fc5a18475f162d50645e1c524fefd6e2097a1e5d598692fcf0c46815743985f0,f12bf8ea52733faf704e9a1504c47358a86992bc084a19136f04ae3bf3e23ff9,947fd0f9dd42518bb6a54a09c429f75dc2fa6b15ca890514f0f7ca63c6464faf,3b2c32b3bfb9646e236359488ad468776117e43818b0cd63a652f100c7277e23,2e32306775cff02fea79104e79597bd726d48bb74891beb5379f4e6a2418a3bf,4cab8b5f3546ccaeb26f410d20046e2bc03381882b1f13b3a5eea171bafa527d,858a10b73121d8585ec86582f66c88c885a2105b7ffba7d60373670ce95236df
"1","0","500","90006","0","0","91002","500","0","0","2","1","31043","0","8","1","1","1001","5","2","0"
"2","0","1000","90006","0","0","91002","1000","0","0","2","1","31043","0","8","2","2","1001","8","2","0"
"3","0","1500","90006","0","0","91002","1500","0","0","2","1","31043","0","8","3","3","1001","10","2","0"
"4","0","2000","90006","0","0","91002","2000","0","0","2","1","31043","0","8","4","4","1001","12","2","0"
"5","0","2500","90006","0","0","91002","2500","0","0","2","1","31043","0","8","5","5","1001","14","2","0"
"6","0","3000","90006","0","0","91002","3000","0","0","2","1","31043","0","8","6","6","1001","16","2","0"
"7","0","3500","90006","0","0","91002","3500","0","0","2","1","31043","0","8","7","7","1001","18","2","0"
"8","0","4000","90006","0","0","91002","4000","0","0","2","1","31043","0","8","8","9","1001","20","2","0"
"9","0","4500","90006","0","0","91002","4500","0","0","2","1","31043","0","8","10","-1","1001","25","2","0"
"10","0","500","90006","0","0","91002","500","0","0","2","1","31022","0","8","1","1","1002","5","2","0"
"11","0","1000","90006","0","0","91002","1000","0","0","2","1","31022","0","8","2","2","1002","8","2","0"
"12","0","1500","90006","0","0","91002","1500","0","0","2","1","31022","0","8","3","3","1002","10","2","0"
"13","0","2000","90006","0","0","91002","2000","0","0","2","1","31022","0","8","4","4","1002","12","2","0"
"14","0","2500","90006","0","0","91002","2500","0","0","2","1","31022","0","8","5","5","1002","14","2","0"
"15","0","3000","90006","0","0","91002","3000","0","0","2","1","31022","0","8","6","6","1002","16","2","0"
"16","0","3500","90006","0","0","91002","3500","0","0","2","1","31022","0","8","7","7","1002","18","2","0"
"17","0","4000","90006","0","0","91002","4000","0","0","2","1","31022","0","8","8","8","1002","20","2","0"
"18","0","4500","90006","0","0","91002","4500","0","0","2","1","31022","0","8","9","9","1002","25","2","0"
"19","0","5000","90006","0","0","91002","5000","0","0","2","1","31022","0","8","10","-1","1002","30","2","0"
"20","0","500","90006","0","0","91002","500","0","0","2","1","31042","0","8","1","1","1003","5","2","0"
"21","0","1000","90006","0","0","91002","1000","0","0","2","1","31042","0","8","2","2","1003","8","2","0"
"22","0","1500","90006","0","0","91002","1500","0","0","2","1","31042","0","8","3","3","1003","10","2","0"
"23","0","2000","90006","0","0","91002","2000","0","0","2","1","31042","0","8","4","4","1003","12","2","0"
"24","0","2500","90006","0","0","91002","2500","0","0","2","1","31042","0","8","5","5","1003","14","2","0"
"25","0","3000","90006","0","0","91002","3000","0","0","2","1","31042","0","8","6","6","1003","16","2","0"
"26","0","3500","90006","0","0","91002","3500","0","0","2","1","31042","0","8","7","7","1003","18","2","0"
"27","0","4000","90006","0","0","91002","4000","0","0","2","1","31042","0","8","8","8","1003","20","2","0"
"28","0","4500","90006","0","0","91002","4500","0","0","2","1","31042","0","8","9","9","1003","25","2","0"
"29","0","5000","90006","0","0","91002","5000","0","0","2","1","31042","0","8","10","-1","1003","30","2","0"
"30","0","500","90006","0","0","91002","500","0","0","2","1","31018","0","8","1","1","1004","5","2","0"
"31","0","1000","90006","0","0","91002","1000","0","0","2","1","31018","0","8","2","2","1004","8","2","0"
"32","0","1500","90006","0","0","91002","1500","0","0","2","1","31018","0","8","3","3","1004","10","2","0"
"33","0","2000","90006","0","0","91002","2000","0","0","2","1","31018","0","8","4","4","1004","12","2","0"
"34","0","2500","90006","0","0","91002","2500","0","0","2","1","31018","0","8","5","5","1004","14","2","0"
"35","0","3000","90006","0","0","91002","3000","0","0","2","1","31018","0","8","6","6","1004","16","2","0"
"36","0","3500","90006","0","0","91002","3500","0","0","2","1","31018","0","8","7","7","1004","18","2","0"
"37","0","4000","90006","0","0","91002","4000","0","0","2","1","31018","0","8","8","8","1004","20","2","0"
"38","0","4500","90006","0","0","91002","4500","0","0","2","1","31018","0","8","9","9","1004","25","2","0"
"39","0","5000","90006","0","0","91002","5000","0","0","2","1","31018","0","8","10","-1","1004","30","2","0"
"40","0","500","90006","0","0","91002","500","0","0","2","1","31025","0","8","1","1","1005","5","2","0"
"41","0","1000","90006","0","0","91002","1000","0","0","2","1","31025","0","8","2","2","1005","8","2","0"
"42","0","1500","90006","0","0","91002","1500","0","0","2","1","31025","0","8","3","3","1005","10","2","0"
"43","0","2000","90006","0","0","91002","2000","0","0","2","1","31025","0","8","4","4","1005","12","2","0"
"44","0","2500","90006","0","0","91002","2500","0","0","2","1","31025","0","8","5","5","1005","14","2","0"
"45","0","3000","90006","0","0","91002","3000","0","0","2","1","31025","0","8","6","6","1005","16","2","0"
"46","0","3500","90006","0","0","91002","3500","0","0","2","1","31025","0","8","7","7","1005","18","2","0"
"47","0","4000","90006","0","0","91002","4000","0","0","2","1","31025","0","8","8","8","1005","20","2","0"
"48","0","4500","90006","0","0","91002","4500","0","0","2","1","31025","0","8","9","9","1005","25","2","0"
"49","0","5000","90006","0","0","91002","5000","0","0","2","1","31025","0","8","10","-1","1005","30","2","0"
"50","0","500","90006","0","0","91002","500","0","0","2","1","31043","0","8","1","1","1006","5","2","0"
"51","0","1000","90006","0","0","91002","1000","0","0","2","1","31043","0","8","2","2","1006","8","2","0"
"52","0","1500","90006","0","0","91002","1500","0","0","2","1","31043","0","8","3","3","1006","10","2","0"
"53","0","2000","90006","0","0","91002","2000","0","0","2","1","31043","0","8","4","4","1006","12","2","0"
"54","0","2500","90006","0","0","91002","2500","0","0","2","1","31043","0","8","5","5","1006","14","2","0"
"55","0","3000","90006","0","0","91002","3000","0","0","2","1","31043","0","8","6","6","1006","16","2","0"
"56","0","3500","90006","0","0","91002","3500","0","0","2","1","31043","0","8","7","7","1006","18","2","0"
"57","0","4000","90006","0","0","91002","4000","0","0","2","1","31043","0","8","8","8","1006","20","2","0"
"58","0","4500","90006","0","0","91002","4500","0","0","2","1","31043","0","8","9","9","1006","25","2","0"
"59","0","5000","90006","0","0","91002","5000","0","0","2","1","31043","0","8","10","-1","1006","30","2","0"
"60","0","500","90006","0","0","91002","500","0","0","2","1","31022","0","8","1","1","1007","5","2","0"
"61","0","1000","90006","0","0","91002","1000","0","0","2","1","31022","0","8","2","2","1007","8","2","0"
"62","0","1500","90006","0","0","91002","1500","0","0","2","1","31022","0","8","3","3","1007","10","2","0"
"63","0","2000","90006","0","0","91002","2000","0","0","2","1","31022","0","8","4","4","1007","12","2","0"
"64","0","2500","90006","0","0","91002","2500","0","0","2","1","31022","0","8","5","5","1007","14","2","0"
"65","0","3000","90006","0","0","91002","3000","0","0","2","1","31022","0","8","6","6","1007","16","2","0"
"66","0","3500","90006","0","0","91002","3500","0","0","2","1","31022","0","8","7","7","1007","18","2","0"
"67","0","4000","90006","0","0","91002","4000","0","0","2","1","31022","0","8","8","8","1007","20","2","0"
"68","0","4500","90006","0","0","91002","4500","0","0","2","1","31022","0","8","9","9","1007","25","2","0"
"69","0","5000","90006","0","0","91002","5000","0","0","2","1","31022","0","8","10","-1","1007","30","2","0"
"70","0","500","90006","0","0","91002","500","0","0","2","1","31042","0","8","1","1","1008","5","2","0"
"71","0","1000","90006","0","0","91002","1000","0","0","2","1","31042","0","8","2","2","1008","8","2","0"
"72","0","1500","90006","0","0","91002","1500","0","0","2","1","31042","0","8","3","3","1008","10","2","0"
