3631562a227ff3cf3e0fb94f0e1ac2a6e48cabbcfb48ab721cadc64d172d4fce,705cb6382a6296e948193dc105dc24cfa1b5a4f95770b2665b9623ce57580f78,f0389e641d0d5831944f0f0daf4ad096059b77484a89ae65478e7ee8b3a62c6a
"1","4","14"
"2","15","20"
"3","21","25"
"4","26","30"
"5","31","35"
"6","36","40"
"7","41","45"
"8","46","50"
"9","51","55"
"10","56","60"
"11","61","65"
"12","66","70"
"13","71","75"
"14","76","80"
"15","81","85"
"16","86","90"
"17","91","95"
"18","96","100"
"19","101","105"
"20","106","110"
"21","111","115"
"22","116","120"
"23","121","125"
"24","126","130"
"25","131","135"
"26","136","140"
"27","141","145"
"28","146","150"
"29","151","155"
"30","156","160"
"31","161","165"
"32","166","170"
"33","171","175"
"34","176","180"
"35","181","185"
"36","186","190"
"37","191","195"
"38","196","200"
"39","201","205"
"40","206","210"
"41","211","215"
"42","216","220"
"43","221","225"
"44","226","230"
"45","231","235"
"46","236","240"
"47","241","245"
"48","246","250"
"49","251","255"
"50","256","260"
"51","261","265"
"52","266","270"
"53","271","275"
"54","276","280"
"55","281","285"
"56","286","290"
"57","291","295"
"58","296","300"
"59","301","305"
"60","306","307"
"61","308","-1"
