15d99ed41d0acf073859f68b90d4924ada2a3e7f61247f8659ca668475b986db,380f9bf67969885bfef840ed5302d176bb784ebb10d74298fb6c3098ca6c5c42,e3b49db579739b5285c11bb07f4e4f01e03d75ecd66bd3c320dcbd737cf5da50,f706845999c880a22b7b9dcd96bad460d76513d42602796e7825db52c35ff1c2,363800d13c274e0d49198c4fa793c77e7f6abcfd6ebc03fe528718ec80bb3f30,cc39c33bcb909dd4aea839bc6a62cf29454f3116725f6e03834a444ae8187144
"10","オムレツに<1>HP+10%","1","1","1","10101010"
"11","オムレツに<1>HP+11%","1","1","1","10101011"
"12","オムレツに<1>HP+12%","1","1","1","10101012"
"13","オムレツに<1>HP+13%","1","1","1","10101013"
"14","オムレツに<1>HP+14%","1","1","1","10101014"
"15","オムレツに<1>HP+15%","1","1","1","10101015"
"16","オムレツに<1>HP+16%","1","1","1","10101016"
"17","オムレツに<1>HP+17%","1","1","1","10101017"
"18","オムレツに<1>HP+18%","1","1","1","10101018"
"19","オムレツに<1>HP+19%","1","1","1","10101019"
"20","オムレツに<1>HP+20%","1","1","1","10101020"
"21","オムレツに<1>HP+21%","1","1","1","10101021"
"22","オムレツに<1>HP+22%","1","1","1","10101022"
"23","オムレツに<1>HP+23%","1","1","1","10101023"
"24","オムレツに<1>HP+24%","1","1","1","10101024"
"25","オムレツに<1>HP+25%","1","1","1","10101025"
"26","オムレツに<1>HP+26%","1","1","1","10101026"
"27","オムレツに<1>HP+27%","1","1","1","10101027"
"28","オムレツに<1>HP+28%","1","1","1","10101028"
"29","オムレツに<1>HP+29%","1","1","1","10101029"
"30","オムレツに<1>HP+30%","1","1","1","10101030"
"31","オムレツに<1>HP+31%","1","1","1","10101031"
"32","オムレツに<1>HP+32%","1","1","1","10101032"
"33","オムレツに<1>HP+33%","1","1","1","10101033"
"34","オムレツに<1>HP+34%","1","1","1","10101034"
"35","オムレツに<1>HP+35%","1","1","1","10101035"
"36","オムレツに<1>HP+36%","1","1","1","10101036"
"37","オムレツに<1>HP+37%","1","1","1","10101037"
"38","オムレツに<1>HP+38%","1","1","1","10101038"
"39","オムレツに<1>HP+39%","1","1","1","10101039"
"40","オムレツに<1>HP+40%","1","1","1","10101040"
"41","オムレツに<1>HP+41%","1","1","1","10101041"
"42","オムレツに<1>HP+42%","1","1","1","10101042"
"43","オムレツに<1>HP+43%","1","1","1","10101043"
"44","オムレツに<1>HP+44%","1","1","1","10101044"
"45","オムレツに<1>HP+45%","1","1","1","10101045"
"46","オムレツに<1>HP+46%","1","1","1","10101046"
"47","オムレツに<1>HP+47%","1","1","1","10101047"
"48","オムレツに<1>HP+48%","1","1","1","10101048"
"49","オムレツに<1>HP+49%","1","1","1","10101049"
"50","オムレツに<1>HP+50%","1","1","1","10101050"
"51","オムレツに<1>HP+51%","1","1","1","10101051"
"52","オムレツに<1>HP+52%","1","1","1","10101052"
"53","オムレツに<1>HP+53%","1","1","1","10101053"
"54","オムレツに<1>HP+54%","1","1","1","10101054"
"55","オムレツに<1>HP+55%","1","1","1","10101055"
"56","オムレツに<1>HP+56%","1","1","1","10101056"
"57","オムレツに<1>HP+57%","1","1","1","10101057"
"58","オムレツに<1>HP+58%","1","1","1","10101058"
"59","オムレツに<1>HP+59%","1","1","1","10101059"
"60","オムレツに<1>HP+60%","1","1","1","10101060"
"61","オムレツに<1>HP+61%","1","1","1","10101061"
"62","オムレツに<1>HP+62%","1","1","1","10101062"
"63","オムレツに<1>HP+63%","1","1","1","10101063"
