81ca64d7632ea79679a6e26ef1efb423263db9b6dc3e2e833e0a735dbbd8b09d,604235a0b1528b6f8c680e0b414c0a850daf1cbd05b9fd47061e8e24ae18c456,fdf94cccd14ac0e02257ed0d8bb1400c4395b623d6f44cd318289ff2fa4a4764,a8faf2e9ec371f48566a8b764ca95fb092e4c07bcadaded887f9acc7275032f6,f5677605401624e5969dea62fd90954c3ad00e3725b1d8726bc72f47b244b03d,8fc1d5c783d026743913e5b383f1a3da3238e4d1008025a04c7024235e996952
"10036","0","5035005","5035004","0","0"
"10059","0","5058005","5058004","0","0"
"10063","10062115","0","0","1006201","10062"
"10085","10084115","0","0","1008401","10084"
"10087","10086115","0","0","1008601","10086"
"10111","10110115","0","0","1011001","10110"
"10113","10112115","0","0","1011201","10112"
"10137","10136110","0","0","1013601","10136"
"10139","10138115","0","0","1013801","10138"
"10165","10164110","0","0","1016401","10164"
"10175","10174107","0","0","1017401","10174"
"20034","20033115","0","0","2003301","20033"
"20047","20046115","0","0","2004601","20046"
"20060","20059115","0","0","2005901","20059"
"20068","20067110","0","0","2006701","20067"
