1b4ac99cc3d6528a1c9c4e69ac2f71fce9eb1319f093b30b45d781603e74c710,92826f85e4cf94156e74c1e336c6f843cf4b95eae9a257bf90386d4a4fd21ab8,dbf0e2b9762e7a950c185171405c411b7a252fe9a1bbbaf578596b063e86e55b,a351a954fe4c7feebe9aa39385e7537dd96c8c1ecca2a1a51ecfe4554436e0f6,4401c6d0d4a2c025ee55d77f3fd4ec624ec09c676e9e021494b3f2a5d6e423a6,90a2ec7ca6d01bfdb5f32a19fc78690cb723a8e293a7d58edf6773f53809faac,2c2f8998ec9097d311d2684a1f79ba0b59b361fa27c274114ac89ccc465c66e6,85a77a4bb462328aaba24e30963169a90cf8b06ec51c04e0332d473d4a3be86d,7535c01130da8e73d34754d9b141b0aed6e07f80144e758f032f4d3d20d9c5b6,2fff0634bbeebdb27c95abbbe4704ab3f43c653f49a42f66797636482f859c82,98ff593321953c278fc6964e4968b1703be2da1951c3ace47cb5b794c1d99a2b
"1010001","64","1","113511","-175","pkb_idle_normal","100","1","1","1.65","1"
"1010002","","113511","pkb_talk_wish","","","1","1","","0.2","3"
"1010003","0","vo_minigame_1006","vo_minigame_1006_top_101","","","0","1","","","21"
"1010004","0","113511","今日も先生と一緒に\n頑張りましょうね～","0","0","8","1","0","0","11"
"1010005","","0","","","","","1","","","91"
"1010006","","113511","pkb_idle_normal","","","1","1","","0.2","3"
"1020001","64","1","113511","-175","pkb_idle_normal","100","2","1","1.65","1"
"1020002","","113511","pkb_talk_wish","","","1","2","","0.2","3"
"1020003","0","vo_minigame_1006","vo_minigame_1006_top_102","","","0","2","","","21"
"1020004","0","113511","みんなの力、先生は\n信じてますからね～！\nファイトですよ～♪","0","0.5","6","2","0","0","11"
"1020005","","6","","","","","2","","","93"
"1020006","pkb_idle_normal","113511","pkb_talk_fun","1","","0","2","","0.2","3"
"1020007","","1020004","","","","","2","","","91"
"1020008","","113511","pkb_idle_normal","","","1","2","","0.2","3"
"1030001","64","1","113511","-175","pkb_idle_normal","100","3","1","1.65","1"
"1030002","pkb_idle_normal","113511","pkb_smile","1","","0","3","0.2","0.2","3"
"1030003","0","vo_minigame_1006","vo_minigame_1006_top_103","","","0","3","","","21"
"1030004","0","113511","ケガには気を付けてね\n無理は禁物ですよ～♪","0","0","6","3","0","0","11"
"1030005","","2","","","","","3","","","93"
"1030006","","113511","pkb_talk_wish","","","1","3","","0.2","3"
"1030007","","1030004","","","","","3","","","91"
"1030008","","113511","pkb_idle_normal","","","1","3","","0.2","3"
"1040001","64","3","3","-155","pkb_idle_normal_l","100","4","1","57","5"
"1040002","pkb_idle_arm_crossed_l","3","pkb_talk_arm_crossed_l","1","","0","4","0.2","0.2","3"
"1040003","0","vo_minigame_1006","vo_minigame_1006_top_601","","","0","4","","","21"
"1040004","0","3","今日の練習も\n手加減しねえ！\nしっかりついてこい！","0","0","8","4","","0","11"
"1040005","","0","","","","","4","","","91"
"1040006","","3","pkb_idle_normal_l","","","1","4","","0.2","3"
"1050001","64","3","3","-155","pkb_idle_normal_l","100","5","1","57","5"
"1050002","pkb_idle_arm_crossed_l","3","pkb_talk_arm_crossed_l","1","","0","5","0.2","0.2","3"
"1050003","0","vo_minigame_1006","vo_minigame_1006_top_602","","","0","5","","","21"
"1050004","0","3","おーし！\n気合いいれて\n練習すんぞー！","0","0","8","5","","0","11"
"1050005","","2","","","","","5","","","93"
"1050006","pkb_idle_normal_l","3","pkb_talk_handsup_l","1","","0","5","0.2","0.2","3"
"1050007","","1050004","","","","","5","","","91"
"1050008","","3","pkb_idle_normal_l","","","1","5","","0.2","3"
"1060001","64","3","3","-155","pkb_idle_normal_l","100","6","1","57","5"
"1060002","pkb_idle_arm_crossed_l","3","pkb_talk_arm_crossed_l","1","","0","6","0.2","0.2","3"
"1060003","0","vo_minigame_1006","vo_minigame_1006_top_603","","","0","6","","","21"
"1060004","0","3","練習だからって\nだらしねえとこ\n見せるんじゃねえぞ？","0","0","8","6","","0","11"
"1060005","","3","","","","","6","","","93"
"1060006","pkb_idle_guts_l","3","pkb_talk_guts_l","1","","0","6","","0.2","3"
"1060007","","1060004","","","","","6","","","91"
"1060008","","3","pkb_idle_normal_l","","","1","6","","0.2","3"
"1070001","64","1","113411","-175","pkb_idle_normal","100","7","1","1.65","1"
"1070002","pkb_talk_joy1","113411","pkb_talk_fun","1","","0","7","0.2","0.2","3"
"1070003","0","vo_minigame_1006","vo_minigame_1006_top_201","","","0","7","","","21"
"1070004","0","113411","フレーフレー！\n今日もファイトだよ！\n張り切っていこー！","0","0","8","7","0","0","11"
"1070005","","3.4","","","","","7","","","93"
"1070006","pkb_idle_normal","113411","pkb_talk_handsup","1","","0","7","0.2","0.2","3"
"1070007","","1070004","","","","","7","","","91"
"1070008","","113411","pkb_idle_normal","","","1","7","","0.2","3"
"1080001","64","1","113411","-175","pkb_idle_normal","100","8","1","1.65","1"
"1080002","","113411","pkb_talk_joy2","","","1","8","","0.2","3"
"1080003","0","vo_minigame_1006","vo_minigame_1006_top_202","","","0","8","","","21"
"1080004","0","113411","ハツネちゃんも\n練習のお手伝いを\nしちゃうのだ～！\nきらーん☆","0","-1","8","8","0","0","11"
"1080005","","3.6","","","","","8","","","93"
"1080006","","113411","pkb_hatsune_kiran","","","0","8","","0.2","3"
"1080007","","1080004","","","","","8","","","91"
"1080008","","113411","pkb_idle_normal","","","1","8","","0.2","3"
"1090001","64","1","113411","-175","pkb_idle_normal","100","9","1","1.65","1"
"1090002","","113411","pkb_talk_joy2","","","1","9","","0.2","3"
"1090003","0","vo_minigame_1006","vo_minigame_1006_top_203","","","0","9","","","21"
"1090004","0","113411","私も投げてみたいな！\n超能りょ…じゃなくて\n魔法で、すごい球を\n投げちゃうよ！","0","0","6","9","0","0","11"
"1090005","","3","","","","","9","","","93"
"1090006","pkb_idle_surprise1","113411","pkb_surprise","1","","0","9","0.2","0.2","3"
"1090007","","1","","","","","9","","","93"
"1090008","","113411","pkb_talk_joy3","","","1","9","","0.2","3"
"1090009","","1090004","","","","","9","","","91"
"1090010","","113411","pkb_idle_normal","","","1","9","","0.2","3"
"1100001","64","1","106531","-175","pkb_idle_normal","100","10","1","1.65","1"
"1100002","pkb_idle_arm_crossed","106531","pkb_talk_arm_crossed","1","","0","10","","0.2","3"
"1100003","0","vo_minigame_1006","vo_minigame_1006_top_301","","","0","10","","","21"
"1100004","0","106531","なあ、練習始めようぜ\n早く投げたくて\nウズウズしてるんだ！","0","0","8","10","0","0","11"
"1100005","","2.8","","","","","10","","","93"
"1100006","","106531","pkb_talk_joy1","","","1","10","","0.2","3"
"1100007","","1100004","","","","","10","","","91"
"1100008","","106531","pkb_idle_normal","","","1","10","","0.2","3"
"1110001","64","1","106531","-175","pkb_idle_normal","100","11","1","1.65","1"
"1110002","","106531","pkb_talk_normal","","","1","11","","0.2","3"
"1110003","0","vo_minigame_1006","vo_minigame_1006_top_302","","","0","11","","","21"
"1110004","0","106531","オレ様の特訓は\n半端じゃねえぜ\n覚悟しとけよ？","0","0","8","11","0","0","11"
"1110005","","3.2","","","","","11","","","93"
"1110006","pkb_idle_arm_crossed","106531","pkb_talk_arm_crossed","1","","0","11","0.2","0.2","3"
"1110007","","1110004","","","","","11","","","91"
"1110008","","106531","pkb_idle_normal","","","1","11","","0.2","3"
"1120001","64","1","106531","-175","pkb_idle_normal","100","12","1","1.65","1"
"1120002","pkb_idle_arm_crossed","106531","pkb_talk_arm_crossed","1","","0","12","0.2","0.2","3"
"1120003","0","vo_minigame_1006","vo_minigame_1006_top_303","","","0","12","","","21"
"1120004","0","106531","威勢がいいのは口だけ\nじゃねえってとこ\n見せてくれよな？","0","0.5","8","12","0","0","11"
"1120005","","3.2","","","","","12","","","93"
"1120006","pkb_idle_doya","106531","pkb_talk_doya","1","","0","12","","0.2","3"
"1120007","","1120004","","","","","12","","","91"
"1120008","","106531","pkb_idle_normal","","","1","12","","0.2","3"
"1130001","64","1","102311","-175","pkb_idle_normal","100","13","1","1.65","1"
"1130002","pkb_talk_joy1","102311","pkb_talk_fun","1","","0","13","0.4","0.2","3"
"1130003","0","vo_minigame_1006","vo_minigame_1006_top_401","","","0","13","","","21"
"1130004","0","102311","今日も打っちゃうよ！\n一緒にがんばろうね\nぷうきち！","0","0","8","13","0","0","11"
"1130005","","1130004","","","","","13","","","91"
"1130006","","102311","pkb_idle_normal","","","1","13","","0.2","3"
"1140001","64","1","102311","-175","pkb_idle_normal","100","14","1","1.65","1"
"1140002","","102311","pkb_talk_joy1","","","1","14","","0.2","3"
"1140003","0","vo_minigame_1006","vo_minigame_1006_top_402","","","0","14","","","21"
"1140004","0","102311","全部ホームラン\n打てばいいんだよね？\nそれくらい簡単だよ！","0","0","8","14","0","0","11"
"1140005","","3","","","","","14","","","93"
"1140006","pkb_idle_doya","102311","pkb_talk_doya","1","","0","14","","0.2","3"
"1140007","","1140004","","","","","14","","","91"
"1140008","","102311","pkb_idle_normal","","","1","14","","0.2","3"
"1150001","64","1","102311","-175","pkb_idle_normal","100","15","1","1.65","1"
"1150002","","102311","pkb_talk_wish","","","1","15","","0.2","3"
"1150003","0","vo_minigame_1006","vo_minigame_1006_top_403","","","0","15","","","21"
"1150004","0","102311","お兄ちゃんたちの\nお手本になれる\nように、いっぱい\n打つからね！","0","-0.5","8","15","0","0","11"
"1150005","","2.4","","","","","15","","","93"
"1150006","pkb_talk_joy1","102311","pkb_talk_fun","1","","0","15","0.4","0.2","3"
"1150007","","1150004","","","","","15","","","91"
"1150008","","102311","pkb_idle_normal","","","1","15","","0.2","3"
"1160001","64","1","1","-155","pkb_idle_normal_l","100","16","1","57","5"
"1160002","pkb_idle_arm_crossed_l","1","pkb_talk_arm_crossed_l","1","","0","16","0.2","0.2","3"
"1160003","0","vo_minigame_1006","vo_minigame_1006_top_701","","","0","16","","","21"
"1160004","0","1","全国大会を目指して\n今日も練習頑張ろう！","0","0","8","16","0","0","11"
"1160005","","2.6","","","","","16","","","93"
"1160006","pkb_idle_doya_l","1","pkb_talk_doya_l","1","","0","16","0.2","0.2","3"
"1160007","","1160004","","","","","16","","","91"
"1160008","","1","pkb_idle_normal_l","","","1","16","","0.2","3"
"1170001","64","1","1","-155","pkb_idle_normal_l","100","17","1","57","5"
"1170002","pkb_idle_guts_l","1","pkb_talk_guts_l","1","","0","17","","0.2","3"
"1170003","0","vo_minigame_1006","vo_minigame_1006_top_702","","","0","17","","","21"
"1170004","0","1","夢を叶えるために\n全力で練習に\n取り組もう！","0","0","8","17","0","0","11"
"1170005","","0","","","","","17","","","91"
"1170006","","1","pkb_idle_normal_l","","","1","17","","0.2","3"
"1180001","64","1","1","-155","pkb_idle_normal_l","100","18","1","57","5"
"1180002","pkb_idle_arm_crossed_l","1","pkb_talk_arm_crossed_l","1","","0","18","0.2","0.2","3"
"1180003","0","vo_minigame_1006","vo_minigame_1006_top_703","","","0","18","","","21"
"1180004","0","1","部員のみんなも\nすごく上達してる…\n俺も負けてられない！","0","0","8","18","0","0","11"
"1180005","","2.9","","","","","18","","","93"
"1180006","pkb_idle_guts_l","1","pkb_talk_guts_l","1","","0","18","","0.2","3"
"1180007","","1180004","","","","","18","","","91"
"1180008","","1","pkb_idle_normal_l","","","1","18","","0.2","3"
"1190001","64","2","2","-155","pkb_idle_normal_l","100","19","1","57","5"
"1190002","pkb_idle_arm_crossed_l","2","pkb_talk_arm_crossed_l","1","","0","19","0.2","0.2","3"
"1190003","0","vo_minigame_1006","vo_minigame_1006_top_801","","","0","19","","","21"
"1190004","0","2","上達してるってとこ\n見せてやる\nオレだって選手なんだ","0","0","8","19","0","0","11"
"1190005","","3.8","","","","","19","","","93"
"1190006","pkb_idle_guts_l","2","pkb_talk_guts_l","1","","0","19","","0.2","3"
"1190007","","1190004","","","","","19","","","91"
"1190008","","2","pkb_idle_normal_l","","","1","19","","0.2","3"
"1200001","64","2","2","-155","pkb_idle_normal_l","100","20","1","57","5"
"1200002","pkb_idle_guts_l","2","pkb_talk_guts_l","1","","0","20","","0.2","3"
"1200003","0","vo_minigame_1006","vo_minigame_1006_top_802","","","0","20","","","21"
"1200004","0","2","今日もかっとばす\n遠慮せず全力で\nかかってこい","0","0","8","20","0","0","11"
"1200005","","3.2","","","","","20","","","93"
"1200006","pkb_idle_doya_l","2","pkb_talk_doya_l","1","","0","20","","0.2","3"
"1200007","","1200004","","","","","20","","","91"
"1200008","","2","pkb_idle_normal_l","","","1","20","","0.2","3"
"1210001","64","2","2","-155","pkb_idle_normal_l","100","21","1","57","5"
"1210002","pkb_idle_arm_crossed_l","2","pkb_talk_arm_crossed_l","1","","0","21","0.2","0.2","3"
"1210003","0","vo_minigame_1006","vo_minigame_1006_top_803","","","0","21","","","21"
"1210004","0","2","全国を目指してんだ\nもっと練習しなきゃ\nいけねえよな","0","0","8","21","0","0","11"
"1210005","","0","","","","","21","","","91"
"1210006","","2","pkb_idle_normal_l","","","1","21","","0.2","3"
"1220001","-20","1","113511","-150","pkb_idle_normal","100","22","0","1.6","1"
"1220002","170","1","113411","-150","pkb_idle_normal","100","22","1","1.6","1"
"1220003","","113511","pkb_talk_joy1","","","1","22","","0.2","3"
"1220004","0","vo_minigame_1006","vo_minigame_1006_top_talk_1_101","","","0","22","","","21"
"1220005","0","113511","ふふ、みんなすごく\n張り切ってるわね\nハツネちゃんの応援の\nおかげかしら♪","0","-0.5","6","22","0","0","11"
"1220006","","0","","","","","22","","","91"
"1220007","","113511","pkb_idle_normal","","","1","22","","0.2","3"
"1220008","","113411","pkb_talk_joy1","","","1","22","","0.2","3"
"1220009","0","vo_minigame_1006","vo_minigame_1006_top_talk_1_202","","","0","22","","","21"
"1220010","0","113411","そうかなー？\nじゃあもっと応援\nがんばっちゃうぞ～！","0","-0.5","6","22","0","0","11"
"1220011","","4","","","","","22","","","93"
