53d6803a602413e71b74850f22a0100d7b97ee536a50f0292bf8fb3db24e7054,5cd7eb107a751ca4d795e6b2bd7a21409339b6411fb682b61d449d0e1aabc5f6,f56b2e5c2f6d91aaa09679966235f9212908f29208c3359b192bcf21fe0b5054,11b65ffd7ce5df5f73879ffd59b5f84017b8ab145fa2e20c1d32d7b34e842466,2308339032b06fe33484d13ffb83a8c7f82a1729a75bcf06923e3a49bd11a4bf,a7fbdc2a12b872fa89ad026d2a7351f382986fabf389834a6165c2f0de8691f9,2624d88d9f2a6755b2f2ef89b771a2e5a89e55754e91516df01dc61efba50451,adca7624e1d7f0a776e6488674f416f0c1bc61f8bd9e199987214f11030436bf
"1005","1005","ＴＰ250アップ","0","バトル開始時、味方のＴＰが250アップ","0","2","1005"
"1006","1006","ＴＰ250アップ","0","バトル開始時、味方のＴＰが250アップ","0","2","1006"
"1007","1007","ＴＰ250アップ","0","バトル開始時、味方のＴＰが250アップ","0","2","1007"
"1008","1008","ＴＰ250アップ","0","バトル開始時、味方のＴＰが250アップ","0","2","1008"
"100501","1005","物理攻撃ダウン90秒","27160000000000","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1","100501"
"100502","1005","物理攻撃ダウン90秒","26040000000000","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1","100502"
"100503","1005","物理防御ダウン90秒","25200000000000","バトル開始から90秒間、敵の物理防御力がダウン","36000","1","100503"
"100504","1005","魔法防御ダウン90秒","24360000000000","バトル開始から90秒間、敵の魔法防御力がダウン","36000","1","100504"
"100505","1005","物理攻撃ダウン90秒","23520000000000","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1","100505"
"100506","1005","物理攻撃ダウン90秒","22400000000000","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1","100506"
"100507","1005","物理防御ダウン90秒","21560000000000","バトル開始から90秒間、敵の物理防御力がダウン","36000","1","100507"
"100508","1005","魔法防御ダウン90秒","20720000000000","バトル開始から90秒間、敵の魔法防御力がダウン","36000","1","100508"
"100509","1005","物理攻撃ダウン90秒","19600000000000","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1","100509"
"100510","1005","物理攻撃ダウン90秒","18760000000000","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1","100510"
"100511","1005","物理攻撃ダウン90秒","17920000000000","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1","100511"
"100512","1005","物理攻撃ダウン90秒","16800000000000","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1","100512"
"100513","1005","物理防御ダウン90秒","15960000000000","バトル開始から90秒間、敵の物理防御力がダウン","36000","1","100513"
"100514","1005","魔法防御ダウン90秒","15120000000000","バトル開始から90秒間、敵の魔法防御力がダウン","36000","1","100514"
"100515","1005","物理攻撃ダウン90秒","14280000000000","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1","100515"
"100516","1005","物理攻撃ダウン90秒","13160000000000","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1","100516"
"100517","1005","物理防御ダウン90秒","12320000000000","バトル開始から90秒間、敵の物理防御力がダウン","36000","1","100517"
"100518","1005","魔法防御ダウン90秒","11480000000000","バトル開始から90秒間、敵の魔法防御力がダウン","36000","1","100518"
"100519","1005","物理攻撃ダウン90秒","10360000000000","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1","100519"
"100520","1005","物理攻撃ダウン90秒","9520000000000","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1","100520"
"100521","1005","物理攻撃ダウン90秒","8680000000000","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1","100521"
"100522","1005","物理攻撃ダウン90秒","7560000000000","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1","100522"
"100523","1005","物理防御ダウン90秒","6720000000000","バトル開始から90秒間、敵の物理防御力がダウン","36000","1","100523"
"100524","1005","魔法防御ダウン90秒","5880000000000","バトル開始から90秒間、敵の魔法防御力がダウン","36000","1","100524"
"100525","1005","物理攻撃ダウン90秒","5040000000000","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1","100525"
"100526","1005","ＴＰ150アップ","3920000000000","バトル開始時、味方のＴＰが150アップ","36000","1","100526"
"100527","1005","無敵10秒","3080000000000","バトル開始から10秒間、味方が無敵状態になる","36000","1","100527"
"100528","1005","物理攻撃ダウン90秒","2240000000000","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1","100528"
"100529","1005","物理防御ダウン90秒","1120000000000","バトル開始から90秒間、敵の物理防御力がダウン","36000","1","100529"
"100530","1005","魔法防御ダウン90秒","280000000000","バトル開始から90秒間、敵の魔法防御力がダウン","36000","1","100530"
"100601","1006","魔法攻撃アップ90秒","43650000000000","バトル開始から90秒間、味方の魔法攻撃力がアップ","36000","1","100601"
