b05c2a243689ff5628e84669b50eb9aaaa603e4a910e593265c2d4c990e5afbe,4b8b5d7de73a09101f2b61d6eb6e558ac561f196fe136d34281eba286ff4d43a,11c641d77a26380156f2dca3c1f51530e24defd93d9375909bd88527bcbcd465,a69cb624890e79195734d92c34c766db7b63b9be098d50d649e91c74f16223b7,fce56913601f0103dc8eb4a34b957a6c473d559965def071285830018170d18f,407e0411f0d5bbeda9f55e123786a64a759d34209e336d75b9539258b84301f5,89932396f4acf335052bf884aeeb7d14efc5b33326ada5435631931c65814bf7,4919da1e31e65bd707812df26aae8612d1bdd3321dce9352216c34fdaf1eabe8,5f4bed486acf3f801ccb099a78de7b4b047cda6a0f07a648fd401ae0247b227e,086f559b9f983b61d91858e941d6669ef8867560a2711faac19bc90b13f74262,00696d1728005229d334216c1010b499ad9aa1ce709b294007d5536be458b3e1
"2020/08/31 11:59:59","5046601","イベントスペシャルエピソード","イベント「ミサトサマーエール！　夢追う真夏のナイン」の\nスペシャルエピソードが解放されました。","ストーリーへ","5046601","1","1004601","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","2020/07/31 12:00:00","10046"
"2020/09/30 11:59:59","0","イベントスペシャルエピソード","イベント「ハッピー・チェンジ・エンジェルズ」の\nエンディングを読むと、特別なエピソードが解放されます。","ストーリーへ","5048","2","1004801","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","2020/09/14 21:00:00","10048"
"2020/09/30 11:59:59","0","イベントスペシャルエピソード","イベント「ハッピー・チェンジ・エンジェルズ」で\nラフィからお手紙が届きました！","ストーリーへ","5048","3","1004802","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","2020/09/14 21:00:00","10048"
"2021/01/31 11:59:59","5056601","イベントスペシャルエピソード","イベント「新春グルメプリンセス！　一投にかけた乙女たち」\nのスペシャルエピソードが解放されました。","ストーリーへ","5056","4","1005601","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","2021/01/14 21:00:00","10056"
"2021/03/18 14:59:59","5061601","イベントスペシャルエピソード","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","ストーリーへ","5061","3","1006101","エクストラストーリーから\n特別なストーリーをご覧いただけます。","2021/02/28 12:00:00","10061"
"2021/03/18 14:59:59","5061602","イベントスペシャルエピソード","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","ストーリーへ","10061","5","1006102","","2021/03/14 21:00:00","10061"
"2021/03/31 11:59:59","5061601","イベントスペシャルエピソード","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","ストーリーへ","5061","3","1006103","エクストラストーリーから\n特別なストーリーをご覧いただけます。","2021/03/18 15:00:00","10061"
"2021/05/31 11:59:59","5027704","ミニゲーム ストーリー解放","ミニゲーム「大激戦！しりとりドラゴンズ」\nで新しいストーリーが解放されました","ストーリーへ","1004","6","1006601","閲覧には「みんなのゲームテーブル」で\n「大激戦！しりとりドラゴンズ」を購入し\nEXTRAをプレイする必要があります","2021/04/30 12:00:00","10066"
"2021/07/18 14:59:59","5070601","イオからのコメント追加","「夏休みの絵日記」に\nイオ先生からの添削コメントが追加されました。","イベントへ","10070","5","1007001","「夏休みの絵日記」表紙からの切り替えで\n添削コメントをご覧いただけます。","2021/07/14 21:00:00","10070"
"2021/08/31 11:59:59","5046601","イベントスペシャルエピソード","イベント「ミサトサマーエール！　夢追う真夏のナイン」の\nスペシャルエピソードが解放されました。","ストーリーへ","5046601","1","1007301","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","2021/08/18 12:00:00","10073"
