884600d3b816fb7654a0e2152109389896d944fc0b027dcb4a966d94c9586f58,abbea28ecf64718299fcbc0a74968667cde9592af856c7dafd20deb42be4fd7f,8fdb48ea2a2c062b0ecaca8c26fb8c3e11413ab17b40907f091d89fe7ce50ab3,8d5d1f8b9d788d43848cf085487d07efb8766c46279623e9c947411f345f519c,5ec6ea2caf8ddbca87d7e1cd00d52e420bc99b0889bf8e053f0f0b49a70213bf,48617d7960d4500cfa7c2e1762e24dc889cf8347f4b9b454d2a81dcc8f1f23f2,f5fc831dd3ec7eac0389f15c4e9ff4c6b1cf746ca6cf9f0972249882ed7f42e1,fa5546ca99e1c690b75cab34bec6213c3c3f3ae82272c91738d0cdbfc219d452,5e18e982c252e4ed0ac202ce63c4c736af925289edde1677301f4d2d63e08308,f389f189df0c5d794a033882d89f67182ddfbc277121deacf7e6a313459369be,adfc6b36cf286a4bf999d048d1bad26d46174747187c6950761b86c766684cd9
"0","2016/09/01 15:00:00","20000","530100","0","0","10","2","2023/02/16 4:59:59","スタートダッシュログインキャンペーン","0"
"0","2023/02/16 5:00:00","20001","530100","0","0","10","2","2099/01/01 23:59:00","スタートダッシュログインキャンペーン","0"
"0","2016/04/01 15:00:00","30000","0","0","0","15","3","2099/01/01 23:59:00","ログインボーナス","0"
"0","2016/09/01 15:00:00","40000","0","0","0","1","4","2017/01/01 23:59:00","CM放映記念ログインボーナス第1弾","0"
"0","2018/08/15 5:00:00","40001","500160","1","0","10","4","2018/09/01 4:59:59","Half Anniversary ログインキャンペーン","0"
"0","2018/12/09 5:00:00","40003","40003","2","0","10","4","2018/12/22 4:59:59","グラブルコラボログインボーナス","0"
"0","2019/01/20 5:00:00","40004","40004","3","0","10","4","2019/01/31 4:59:59","マナリアフレンズ放送応援ログインキャンペーン","0"
"0","2019/03/28 5:00:00","40005","40005","2","0","10","4","2019/04/25 4:59:59","Shadowverseコラボログインボーナス","0"
"0","2020/04/06 5:00:00","40006","40006","3","0","10","4","2020/04/16 4:59:59","アニメ放送記念 スタンプログインキャンペーン","0"
"0","2020/11/10 5:00:00","40007","40007","2","0","10","4","2020/11/22 4:59:59","復刻Re:ゼロコラボ開催記念 スタンプログインキャンペーン","0"
"0","2020/12/01 5:00:00","40008","40008","3","0","10","4","2020/12/14 4:59:59","ドラガリアロスト 応援ログインキャンペーン","0"
"0","2021/03/08 5:00:00","40009","40009","2","0","10","4","2021/03/25 4:59:59","復刻デレステコラボ開催記念 スタンプログインキャンペーン","0"
"0","2022/01/11 5:00:00","40010","40010","3","0","10","4","2022/04/07 4:59:59","アニメ放送記念 スタンプログインキャンペーン","0"
"0","2023/02/13 5:00:00","40011","531200","3","0","6","4","2023/02/19 4:59:59","メインストーリー第3部開始記念ログインキャンペーン","0"
"0","2023/09/27 5:00:00","40012","40012","3","0","8","4","2023/10/30 4:59:59","TANITAコラボログインキャンペーン","0"
"0","2024/02/14 5:00:00","40013","40013","3","0","1","4","2024/03/01 4:59:59","2024年バレンタイン記念プレゼント","0"
"0","2024/08/14 5:00:00","40014","40014","2","0","2","4","2024/09/11 4:59:59","銀だこハイボール酒場コラボログインキャンペーン","0"
"0","2024/08/10 5:00:00","40015","40015","3","0","5","4","2099/01/01 23:59:00","カムバックログインボーナス","0"
"1","2019/01/01 5:00:00","60000","500553","0","0","7","6","2019/01/11 4:59:59","謹賀新年 お正月ログインボーナス","0"
"1","2020/01/01 5:00:00","60001","500553","0","0","7","6","2020/01/11 4:59:59","謹賀新年 お正月ログインボーナス","0"
"1","2021/01/01 5:00:00","60002","500553","0","0","7","6","2021/01/11 4:59:59","謹賀新年 お正月ログインボーナス","0"
"1","2022/01/01 5:00:00","60003","500553","0","0","7","6","2022/01/11 4:59:59","謹賀新年 お正月ログインボーナス","0"
"1","2023/01/01 5:00:00","60004","500553","0","0","7","6","2023/01/11 4:59:59","謹賀新年 お正月ログインボーナス","0"
"1","2024/01/01 5:00:00","60005","500553","0","0","7","6","2024/01/11 4:59:59","謹賀新年 お正月ログインボーナス","0"
"1","2025/01/01 5:00:00","60006","500553","0","0","5","6","2025/01/11 4:59:59","謹賀新年 お正月ログインボーナス","0"
"0","2018/12/24 5:00:00","70000","500160","0","1","2","7","2018/12/26 4:59:59","クリスマスログインボーナス","0"
"0","2019/01/01 5:00:00","70001","500160","0","2","3","7","2019/01/04 4:59:59","あけおめログインボーナス","0"
"0","2019/12/24 5:00:00","70002","500160","0","1","2","7","2019/12/26 4:59:59","クリスマスログインボーナス","0"
"0","2020/01/01 5:00:00","70003","500160","0","2","3","7","2020/01/04 4:59:59","三が日特別ログインボーナス","0"
"0","2020/12/24 5:00:00","70004","500160","0","1","2","7","2020/12/26 4:59:59","クリスマスログインボーナス","0"
"0","2021/01/01 5:00:00","70005","500160","0","2","3","7","2021/01/04 4:59:59","三が日特別ログインボーナス","0"
"0","2021/12/24 5:00:00","70006","500160","0","1","2","7","2021/12/26 4:59:59","クリスマスログインボーナス","0"
"0","2022/01/01 5:00:00","70007","500160","0","2","3","7","2022/01/04 4:59:59","三が日特別ログインボーナス","0"
"0","2022/12/24 5:00:00","70008","500160","0","1","2","7","2022/12/26 4:59:59","クリスマスログインボーナス","0"
"0","2023/01/01 5:00:00","70009","500160","0","2","1","7","2023/01/04 4:59:59","元日特別ログインボーナス","0"
"0","2023/12/24 5:00:00","70010","500160","0","1","1","7","2023/12/25 4:59:59","クリスマスログインボーナス","0"
"0","2024/01/01 5:00:00","70011","500160","0","2","1","7","2024/01/04 4:59:59","元日特別ログインボーナス","0"
"0","2023/12/25 5:00:00","70012","500160","0","1","1","7","2023/12/26 4:59:59","クリスマスログインボーナス","0"
"0","2025/01/01 5:00:00","70013","500160","0","2","1","7","2025/01/04 4:59:59","元日特別ログインボーナス","0"
"0","2024/12/24 5:00:00","70014","500160","0","1","1","7","2024/12/25 4:59:59","クリスマスログインボーナス","0"
"0","2024/12/25 5:00:00","70015","500160","0","1","1","7","2024/12/26 4:59:59","クリスマスログインボーナス","0"
"0","2025/03/31 12:00:00","70016","500160","0","1","1","7","2025/04/23 4:59:59","『AIだ！勇気だ！ギガンティックローチェ』MV閲覧","0"
