ec711f62af5ef51799df5c08f197397a28fc4a92b4b640a40c512ef50f3325a6,2f7d2b42eb216ca3789ded4c04643af9d7ac2f936888235adfda64921c92e64f,3c20847f37b50261b501e1329883b7e3038b9674498c17647cdddeec92c61308,158fe0e909bc90da5e4fa331da17260f93aaacb78900971b2f919d1d90a9a7d1,ffdedc27ee8f56704b8fab9d3ab5b19939b32fef3723e51dcbe1c7880974f1b8,f1a617bef1d3ace5526f137a55d8ab9b66f24230e85dc561628927e04bee29f1,924036ee46b003746ca309eb91c159fd6176017a36e5b8ba81010645ba69c704,4977c3c9e6e32b92d74587836c3bee88a919fbd26c150aa4d70f3912a85d392f
"5","4","3","1","2","48","1","111"
"5","4","3","1","2","96","1","121"
"5","4","3","1","2","144","1","131"
"5","4","3","1","2","192","1","141"
"5","4","3","1","2","240","1","151"
"0","0","0","2","0","84","1","211"
"0","0","0","2","0","168","1","221"
"0","0","0","2","0","252","1","231"
"0","0","0","2","0","336","1","241"
"0","0","0","2","0","420","1","251"
"0","0","0","5","0","36","3","311"
"0","0","0","5","0","72","3","321"
"0","0","0","5","0","108","3","331"
"0","0","0","5","0","144","3","341"
"0","0","0","5","0","180","3","351"
"0","0","0","4","0","84","4","411"
"0","0","0","4","0","168","4","421"
"0","0","0","4","0","252","4","431"
"0","0","0","4","0","336","4","441"
"0","0","0","4","0","420","4","451"
"0","0","0","4","0","84","2","511"
"0","0","0","4","0","168","2","521"
"0","0","0","4","0","252","2","531"
"0","0","0","4","0","336","2","541"
"0","0","0","4","0","420","2","551"
"0","0","0","2","0","84","4","611"
"0","0","0","2","0","168","4","621"
"0","0","0","2","0","252","4","631"
"0","0","0","2","0","336","4","641"
"0","0","0","2","0","420","4","651"
"0","0","0","1","0","56","5","711"
"0","0","0","1","0","112","5","721"
"0","0","0","1","0","168","5","731"
"0","0","0","1","0","224","5","741"
"0","0","0","1","0","280","5","751"
"0","0","0","101","0","1","2","811"
"0","0","0","2","0","84","3","911"
"0","0","0","2","0","168","3","921"
"0","0","0","2","0","252","3","931"
"0","0","0","2","0","336","3","941"
"0","0","0","2","0","420","3","951"
"0","0","0","101","0","1","1","1011"
"0","0","0","5","0","36","2","1111"
"0","0","0","5","0","72","2","1121"
"0","0","0","5","0","108","2","1131"
"0","0","0","5","0","144","2","1141"
"0","0","0","5","0","180","2","1151"
"0","0","0","4","0","84","5","1211"
"0","0","0","4","0","168","5","1221"
"0","0","0","4","0","252","5","1231"
"0","0","0","4","0","336","5","1241"
"0","0","0","4","0","420","5","1251"
"0","0","0","2","0","86","1","1311"
"0","0","0","2","0","172","1","1321"
"0","0","0","2","0","258","1","1331"
"0","0","0","2","0","344","1","1341"
"0","0","0","2","0","430","1","1351"
"0","0","0","1","0","44","3","1411"
"0","0","0","1","0","88","3","1421"
"0","0","0","1","0","132","3","1431"
"0","0","0","1","0","176","3","1441"
"0","0","0","1","0","220","3","1451"
"0","0","0","5","0","36","4","1511"
"0","0","0","5","0","72","4","1521"
"0","0","0","5","0","108","4","1531"
"0","0","0","5","0","144","4","1541"
"0","0","0","5","0","180","4","1551"
"0","0","0","101","0","1","5","1611"
"0","0","0","100","0","1","2","1711"
"0","0","0","4","0","84","3","1811"
"0","0","0","4","0","168","3","1821"
"0","0","0","4","0","252","3","1831"
"0","0","0","4","0","336","3","1841"
"0","0","0","4","0","420","3","1851"
"0","0","0","3","0","36","4","1911"
"0","0","0","3","0","72","4","1921"
"0","0","0","3","0","108","4","1931"
"0","0","0","3","0","144","4","1941"
"0","0","0","3","0","180","4","1951"
"0","0","0","4","0","84","1","2011"
"0","0","0","4","0","168","1","2021"
"0","0","0","4","0","252","1","2031"
"0","0","0","4","0","336","1","2041"
"0","0","0","4","0","420","1","2051"
"0","0","0","100","0","1","3","2111"
"0","0","0","2","0","84","5","2211"
"0","0","0","2","0","168","5","2221"
"0","0","0","2","0","252","5","2231"
"0","0","0","2","0","336","5","2241"
"0","0","0","2","0","420","5","2251"
"0","0","0","1","0","44","1","2311"
"0","0","0","1","0","88","1","2321"
"0","0","0","1","0","132","1","2331"
"0","0","0","1","0","176","1","2341"
