23e90e985f60adb0b0949cec5a957988a6ca3f3db0c01981de0c82bbd28ab662,1689849de82c09ebf1a4d235de09a480ea257c728f446af981a7809e1552e468,d33021a153bf5b2a26677a5e85484c291e1a5da545771ba7a5f29abb51e99d59,6e55f7f7b65bfcd74aa1e6fb907e4130a913ddb8e9f3a69818c2a4e52862393e,7c54fe9345d757e025209a7da3c13b6ed2b48de96c156c1b35983428e05f4427,a9c0bd3a2d4744f41922800d6731ed87d5d0ea6d30f550be5aa49d3ffd4a263d,42f076c524d4cb86af8dc4099c33867e475f7ac2a344bfad475f2ae42ef98075,d4ae392a1efc2bf73db88cbd8e20ac3964158331770e9b0c72e8913a2cae728e,873dc6ec2a0d8c88e923f3903843e130147bcb9d0810993c45d46610cbbbd3e9,31ea620dab4926fd21fc08a8732a33f3c6809a20e0b4b87c24f1751bb0caaf89,11a221b2e8269ab5731e58236cf723c7450a9a9b0e09f073d46e291171317f11,41823b3983ae592d50c87b14b8538ed8b780155a29be354bc0ab3715ec4b6450,36f5445671c4e062be69aceaae5661407a27eff8977a6b07015f4dafdf4db451,6c266af7be142f2b88e11462d1169dc6769ff5ffd91dfd5bb00064315fb7917b,10ccff5a56b79f75feccd990a7ba002072351ceb752890957934b5b5fdc3f5c5,8cc93a3288542da003658f5d3f05bed638985985220d859ab925fa7485142d0b,f83ac81babd72359a04a877d4e28ff7659171265d82f89819fa79b0c0cd04504,f89ec13e635e1b63e65c07983fa033a8f2040c4f2d30323b3be03f14c53cb552,8714cfa14c85bf5f3b319bb9411300b84595a080917bf86b58b62e4dc7568c70,d65885366731a50c75ac7c1689810e708e96c66fcd53b68d65ff69b8e2056675,3f46725720ab2abd4c0b95cd1145bca34189fe068c4ecdf3c838de08aee6a3a0,5cbfc6d30b0c3926861f270fbd3f4c8b402087c9c50ea018c9cda9be024d3a68,36bbe695d7867c4d2b271773cb984f0a973dff1f28b61af36a53d214e2ed48a1,4faad490639839a5478d49f1d0ec07c5980ea7b0115e021c23deb46570639968,55853c927b457ca2f43bc0130d878574fe2705d7b85deba871f1ef9d8205de47,d69d310b9fb51cd4a1ae637368d9edb2295e0132f32c3f42ce216b4a3a4d2261,2cbbd03bd3e1256cce98bc3570d66fe474820f9160e0a886b2858bf755d490c8,910028442a20468b2db749959bec36ec4f999703bf4c0ea7ec8a65eb5ed4c031,4b832287ce4fbbd7a6a1b2fec7dde5130a6c87537d8055e27178477ec6cd6915,5c6acc493072e2d0eaef3e2e8d581be54f7f29e03d97ad5c5b4320cac3f5da42,27c852d7af163078c78dfe31ea8bd97774a67175eb0898d62940cff627cc60e3,ebe526b400137dbe3843639b7e5e79112ec19cc4ce64e54e50fc11007ea30e54,c38e3d9349e816fdbf78bbafca3915df95dc83ccb02d6e5c1fa5439dd6adc30e,ee6add4e31575292af84f5d3e71c3bc5ca4b03da9aa51ea18dc7a6380d956ab4
"0","1059","1383","1272","特別な飲食店に入店するため、ペコリーヌが結成したギルド。主な目的は食べ歩き。","1075","1078","1211","1058","0","1058","1805","0","1060","1391","1120","1253","美食殿","0","1119","1118","0","1376","1155","0","1804","1210","1","0","1279","0","1076","1806","0"
"0","1002","1364","1288","ヒヨリがギルドマスターとなり、人助けを中心に活動しているギルド。本当の目的は、同じ夢を見てきた３人がともに願う「ソルの塔の頂上への到達」。","1087","1089","1287","1001","0","1001","1156","0","1003","0","1803","1289","トゥインクルウィッシュ","0","1802","1801","0","0","1226","0","1140","1225","2","0","1357","0","1088","1224","0"
"0","1049","0","0","謎の人物・ラビリスタが結成した、世界の謎を探究するギルド。クレープ屋を経営し、表向きは平凡なギルドを装う。いわば秘密結社。","1091","1171","0","1068","0","1068","1337","0","1011","0","1200","0","ラビリンス","0","1212","1193","0","0","1379","0","1811","0","3","0","0","0","1129","1365","0"
"0","1042","0","0","ソロアイドルだったノゾミが結成した、歌って踊って（日々の悲しい気持ちと）戦うアイドルギルド。ライブなどの興行が主な活動内容。","1116","1139","0","1029","0","1029","1322","0","1054","0","1174","0","カルミナ","0","1173","1172","0","0","1348","0","1248","0","4","0","0","0","1084","1344","0"
"0","1004","0","0","仲良し３人組による、実は非公認のギルド。ギルドごっこをしながらただ遊ぶことが目的。","1113","1111","0","1020","0","1020","1307","0","1036","0","1228","0","リトルリリカル","0","1229","1808","0","0","0","0","1227","0","5","0","0","0","1112","1390","0"
"0","1012","0","0","エルフ族の森を管理、守護する歴史の長いギルド。エルフの森でしか採れない薬草などの管理や、森のガイドをしている。","1107","1134","0","1015","0","1015","1284","0","1040","0","1807","0","フォレスティエ","0","1221","1167","0","0","0","0","1246","0","6","0","0","0","1135","1346","0"
"0","1022","0","1271","イリヤが魔族の少女たちと結成したギルド。その名はかつてイリヤが率い、神々を相手に闘争を繰り広げた、魔族の最強軍と同じである。","1031","1081","1220","1044","0","1044","1199","0","1006","0","1241","1262","悪魔偽王国軍（ディアボロス）","0","1117","1082","0","0","1138","0","1240","1209","7","0","0","0","1007","1137","0"
"0","1071","0","0","ランドソルの国軍であり、活動目的は「王宮」や王族の護衛、および勅命を受けての任務達成。街の治安を守る警察組織としての側面も強い。","1005","1115","0","1047","0","1047","1238","0","1037","0","1141","0","王宮騎士団（NIGHTMARE）","0","1236","1136","0","0","1339","0","1143","0","8","0","0","0","1242","1239","0"
"0","1025","0","0","孤児院であるが、手広く商売なども行っている。王宮の警護という毎日に価値を見いだせずにいたサレンが、人の役に立つことをしたいと思い結成した。","1021","1077","1275","1028","0","1028","1121","0","1023","0","1086","1308","サレンディア救護院","0","1085","1145","0","0","1809","0","1335","1232","9","0","0","0","1103","1213","0"
"0","1043","0","1374","魔物たちの脅威から、同じ【動物苑】の仲間を守る武闘派ギルド。「シャドウ」などの、異変の調査や解決もする。【王宮騎士団】とは犬猿の仲。","1017","1104","1298","1010","0","1010","1159","0","1014","0","1122","1310","自警団（カォン）","0","1105","1157","0","0","1231","0","1160","1285","10","0","0","0","1106","1177","0"
