024f1b6aac83fb46b8926982d8ca9e5eeca1f6f7bbb1070ddb0a2915812980ce,3fd0c2d540c638392a2393e2cd2734caa39a34a7ad5fed0214e9d37382f42dce,3b16b6025766161f0df600b756d2073cf1ae54325229eb4ea87c855978adf926,61609aa7e022e5ab0cbb84a3733b9e24a247b3ba7314d3fa6eed607f8abc0abc
"18","1","4301511","1"
"18","2","4301512","1"
"18","3","4301513","1"
"18","4","4301514","1"
"18","5","4301515","1"
"2","6","26202","1"
"18","1","4302511","2"
"18","2","4302512","2"
"18","3","4302513","2"
"18","4","4302514","2"
"18","5","4302515","2"
"2","6","26202","2"
"18","1","4303511","3"
"18","2","4303512","3"
"18","3","4303513","3"
"18","4","4303514","3"
"18","5","4303515","3"
"2","6","26202","3"
"18","1","4304511","4"
"18","2","4304512","4"
"18","3","4304513","4"
"18","4","4304514","4"
"18","5","4304515","4"
"2","6","26202","4"
"18","1","4305511","5"
"18","2","4305512","5"
"18","3","4305513","5"
"18","4","4305514","5"
"18","5","4305515","5"
"2","6","26202","5"
"18","1","4301516","6"
"18","2","4301517","6"
"18","3","4301518","6"
"18","4","4301519","6"
"18","5","4301520","6"
"2","6","26202","6"
"18","1","4302516","7"
"18","2","4302517","7"
"18","3","4302518","7"
"18","4","4302519","7"
"18","5","4302520","7"
"2","6","26202","7"
"18","1","4303516","8"
"18","2","4303517","8"
"18","3","4303518","8"
"18","4","4303519","8"
"18","5","4303520","8"
"2","6","26202","8"
"18","1","4304516","9"
"18","2","4304517","9"
"18","3","4304518","9"
"18","4","4304519","9"
"18","5","4304520","9"
"2","6","26202","9"
"18","1","4305516","10"
"18","2","4305517","10"
"18","3","4305518","10"
"18","4","4305519","10"
"18","5","4305520","10"
"2","6","26202","10"
