4a447b5aa9486db26bdce2e2ff6f82991c41703ab0105957cb77e5c0d9f14303,6af4c79a88cdef72cde6a32c6e10800c5cc53feaaa41afaff7a30cac7877134b,7cdadd2f540528fbab6960dc2478798a7f4f7924d85dfbcb115421eab84689c1,1fbec5a3c34f438d13b5cd66e897c50f0edff328689a2b109e449481b5ea9326,0c1abd30bc31df2d09f3a3e4ac54f98fc23f1a0bcc99224eb9d961fe67a3728d,588b343c381b25ce4ca8986680df1c46779864aafc988c290bc9cd9850117578,f41f2a856ea93708e13bce20e39a34f963cdd0b2579235d570390a7ed9466691,d1ae1d26289fde8c2ba278902eb655473fdcd246bfb232ee485078e8f080e467,3c7e9ebd20846e94a1638c54669eb324495b309f103acb234e52363314630a04,c3d3053cec5675bb7d0d07e42b92278bcf4553ef0372e6c2382a24832997ff74,27f428af34390b27756c65a0322956beb5515748203486b715f8a4272d29dffc,3d498e128bb1b878d00fa84e73eae6543bf7c7093b3046649c81bb658e54b4c5,5396005bb8fd95e6ffdc708f5e88d74223e535ea0f54325aa694af17f6f4b11d,f04753fb90b28a149361c3be6f6d773b68cebd974ed2028e398dba2c8af85de5,42c9eebcbc9f0b4af0baa2244e24a401aed2a9b333186578eabd813532d9c20c,28239c34ae85cb4b0d7d6c71c5367844d787362ef45d746f067a70044870180f,2a428b50f57248af8f1060fb7c16941901c97f8d8303bff49eed4aebaa61b346,a7dd79e3a76d9b6002ef437e6711d5189544bf424d636aa75326517ae3806bdc,99bfada80cf98f95f09dc88287fcaa4dbef3c08741ff98e0e69ab5fdd3b2da48,a374deb302cf682e039bd566ce1160aaf758a4784b8476306dd7ad6d5e3936b3,94bc482513fadffc2938208bdd5b52a6b484b30494f0c7ddae5a34bb94852f85
"NONE","2500","NONE","600","0","1000","0","AccelBoardA","1000","SummerEnemyC","0","NONE","SpeedTerritoryA","BeachJumpOverTrap","0","SummerEnemyA","NONE","1800","0","NONE","3100"
"NONE","2000","NONE","500","0","800","0","AccelBoardA","1001","SpeedTerritoryA","0","NONE","WaterMelon","AccelBoardA","0","SummerEnemyB","NONE","1300","0","NONE","3000"
"NONE","1600","NONE","400","0","1000","0","SummerEnemyA_NoColl","1002","SpeedTerritoryA_NoColl","0","NONE","EnemyB_NoColl","BeachTrap_NoCall","0","Balloon","NONE","1300","0","NONE","2000"
"NONE","3000","NONE","700","0","1500","0","AccelBoardA","1003","EnemyB","0","NONE","BeachJumpOverTrap","AccelBoardA","0","BeachJumpOverTrap","NONE","2300","0","NONE","3300"
"NONE","2700","NONE","800","0","1300","0","SummerEnemyA","1004","BeachJumpOverTrap","0","NONE","SpeedTerritoryA","NONE","0","BeachJumpOverTrap","NONE","1900","0","NONE","0"
"NONE","2600","NONE","300","0","1500","0","SummerJumpOverEnemyC","1005","SpeedTerritoryA","0","NONE","AccelBoardA","SummerEnemyB","0","BeachJumpBoard","NONE","2000","0","NONE","3300"
"NONE","2500","NONE","700","0","1300","0","BeachTrap","1006","BeachTrap","0","BeachTrap","BeachJumpOverTrap","AccelBoardA","3700","SummerEnemyA","NONE","1800","0","NONE","3000"
"NONE","2400","NONE","500","0","1300","0","SummerEnemyB","1007","BeachJumpOverTrap","0","NONE","SummerEnemyB","BeachJumpOverTrap","0","AccelBoardA","NONE","1800","0","NONE","3100"
"NONE","2700","NONE","500","0","1100","0","BeachJumpBoard","1008","SummerEnemyB","0","SummerEnemyB","AccelBoardA","BeachJumpOverTrap","3700","AccelBoardA","NONE","2300","0","NONE","3400"
"NONE","2900","NONE","400","0","1000","0","BeachTrap_NoCall","1009","SummerEnemyA_NoColl","0","SpeedTerritoryA","BeachJumpOverTrap","BeachJumpOverTrap","3700","Balloon","NONE","2000","0","NONE","3300"
"NONE","3000","NONE","400","0","1400","0","SpeedTerritoryA","1010","BeachJumpOverTrap","0","NONE","EnemyB","BeachJumpOverTrap","0","BeachJumpOverTrap","NONE","2200","0","NONE","3500"
"NONE","2400","NONE","400","0","900","0","SpeedTerritoryA","1011","BeachJumpBoard","0","AccelBoardA","BeachJumpOverTrap","SummerEnemyA","3300","SummerEnemyD","NONE","1500","0","NONE","2800"
"NONE","2850","NONE","300","0","1200","0","SpeedTerritoryA_NoColl","1012","SpeedTerritoryA_NoColl","0","NONE","BeachJumpBoard","EnemyB","0","Balloon","NONE","2200","0","NONE","3750"
