b769a37d43d51aaf9c07de9985808ae68400afa23ff105373bb5a6792126afc0,2d93176a29139608895cad6af3865de37d0a1338b2ca5ddb69630f6c3fcdca10,4f270ae39a4246f671accf6c0567905bbc186f8b71326ce804d3ceec4fe780d7,fadb473091d60bb0d2f73bfc63c9d98c5dfe8a5e4bd0644f980c24cc4c9eb0ac,4ed150c91a81258aacf5fe51ac7b56d7be266ec4eeac9e64eb004f65c66e48a5,82211606f094a156e0364537769d765674f14c8ded68cdf6cb7fecb02b7fe0e8
"","おまかせ","2020-02-15 15:00:00","1","1","1"
"","デフォルト","2020-02-15 15:00:00","2","2","2"
"","アニバーサリー","2020-02-15 15:00:00","3","3","3"
"","ピンク","2020-02-15 15:00:00","4","4","1"
"","レッド","2020-02-15 15:00:00","5","5","1"
"","イエロー","2020-02-15 15:00:00","6","6","1"
"","グリーン","2020-02-15 15:00:00","7","7","1"
"","ライトブルー","2020-02-15 15:00:00","8","8","1"
"","ブルー","2020-02-15 15:00:00","9","9","1"
"","パープル","2020-02-15 15:00:00","10","10","1"
"","グレー","2020-02-15 15:00:00","11","11","1"
