cf6543676b782b0b1a4d8464fde191db7ed3fac661b50d84eb5a7f14ffcd30e5,51639e1e1feea95d400c2dceb4ea2fe01ff17e55bfe47ccb6bb2544b525e1ecb,8ac76560966eb667ccf0d16a13be35909a6aac1b87a03f5ef90b0afa16ba68af,61c25a920b4d6b5d4880d87c0e51bf8a7400c87cc23218bf3d8bc438b50563d7,08600cc79476fd4259d6cd1dd612bbd0cf929afb46e5a152858785bb3163e6c6,008dbb96bf400a38128c7fbf7fc92cecdc7ecd0114c114a93f65feac198afdbb,be5cbd1bbe79fd4640d7c85c84588eb3bbfe0d85dd131cc55ba32f78b5631684,38bc966321509379f46e2aebf901947ee0bfffe912c12bade9a2e37c2a7df26e,0130293579b8ded3fdace6139c7614aa3ae4f938206f2ad2ac0b726b68c30f68,1700f2d0f319bbf2f1f956ab15f6e9a070a5861b2e599306d2fd93ea3dc00e9d,b0dd512f9567a54532b5998c4e3271b14d08e8ec3979aff1e100a7a2dbeff922,be27f309d5ba9354725feb54a4f5ff68ebfa6843c94fdcfb5fd109552d2d5061
"新年を迎え、新たに始まる一日を\nおみくじで占ってみませんか？\n良い運勢であるほど、\n沢山のプレゼントが貰えますよ♪","0","","1","190804","0","0","1","1","カリン","60000","1"
"今日の運勢は姫吉！　あらゆる運気が最大を示しています！　　　今なら「伝説の吸血鬼」をも従え、世界征服も夢じゃありません！","0","","0","0","0","1","1","2","","60000","2"
"今日の運勢は姫吉！　やること全てが最高潮！　やばいですね☆　ラッキーアイテムはおにぎり！　お腹一杯で幸せが続くでしょう！","0","","0","0","0","1","1","2","","60000","3"
"今日の運勢は姫吉！　その高い運気はまさにショーグンの如く！　その溢れる威光は人々を惹きつけ、皆の人気者間違いなしです！","0","","0","0","0","1","2","2","","60000","4"
"今日の運勢は大吉！　運気がどんどん高まっています！　　　　　何をやっても、最大効率で素晴らしい結果になりますよ♪","0","","0","0","0","2","1","2","","60000","5"
"今日の運勢は大吉！　なにをやっても上手くいって大活躍！　　　そんな素敵なあなたを見て、後ろから誰かが……クスクス♪","0","","0","0","0","2","1","2","","60000","6"
"今日の運勢は大吉！　運気が高く、何かに挑戦すると良い結果に！隠れた才能が引き出されそう！　目指せヒデサ……ではなく秀才！","0","","0","0","0","2","2","2","","60000","7"
"今日の運勢は中吉！　商売運が上がってきています！　　　　　　ラッキーアイテムはたいやき！　和菓子パワーで売上アップです！","0","","0","0","0","3","1","2","","60000","8"
"今日の運勢は中吉！　旅行運がぐんぐんと上昇中♪　　　　　　　もしかしたら、あの「マホマホ王国」にだって行けるかも♪","0","","0","0","0","3","1","2","","60000","9"
"今日の運勢は中吉！　仕事運が急上昇中です！　　　　　　　　　きっと「煉獄に舞う一陣の疾風」の如き活躍ができますよ！","0","","0","0","0","3","1","2","","60000","10"
"今日の運勢は中吉！　チャンスを待つと良い結果に！　　　　　　ラッキーアイテムのプリンを食べて、運を呼び込みましょう！","0","","0","0","0","3","1","2","","60000","11"
"今日の運勢は中吉！　運気が着々と上昇中！　　　　　　　　　　精霊の加護を受けたかの如く、色々な事がうまくいきますよ♪","0","","0","0","0","3","2","2","","60000","12"
"今日の運勢は小吉！　早朝に幸運の兆しあり！　　　　　　　　　もしかしたら、優しいお姉ちゃんが起こしにきてくれますよ♪","0","","0","0","0","4","1","2","","60000","13"
"今日の運勢は小吉！　運気上昇中ですが、上がるまでが要注意！　ラッキーアニマルは熊！　本当の家族のように守ってくれるかも♪","0","","0","0","0","4","1","2","","60000","14"
"今日の運勢は小吉！　外に出てゆっくり過ごすと運気が上昇！　　ラッキースポットは牧場。面白い出会いがありそうです♪","0","","0","0","0","4","1","2","","60000","15"
"今日の運勢は小吉！　運気は高いけども、ハプニングには注意！　出かけた先で、「ふしんしゃ」扱いされてしまうかも……","0","","0","0","0","4","1","2","","60000","16"
"今日の運勢は小吉！　根を詰めずにリラックスすると運気向上！　ラッキーパーソンはアイドル。歌があなたを幸せにしてくれます♪","0","","0","0","0","4","2","2","","60000","17"
"おみくじの結果はどうでしたか？\n新たに始まる一日が、あなたに\nとって良い日になりますように\nまた明日も遊びに来て下さいね♪","0","","2","190804","0","0","0","3","カリン","60000","18"
"おみくじは楽しんで頂けましたか？\nあなたの新たなる年が\n素晴らしいものになるよう、\n心からお祈りいたします","7","","3","190804","0","0","0","3","カリン","60000","19"
"キミと出会ってもう\n1年もたつんだね！\nう～ん、いつも\n寝てばっかりだから、","1","","1","101201","0","0","0","0","ハツネ","80001","20"
"少しでも\n寝る時間を減らして\nキミと一緒にいる\n時間増やしたいなぁ♪","1","","2","101201","0","0","0","0","ハツネ","80001","21"
"あなたと知り合ってから\nもう1年…\n時がたつのは\n早いですね","1","","1","103801","0","0","0","1","シオリ","80001","22"
"来年も、\n一緒にいられたら…\nうれしいな","1","","2","103801","0","0","0","1","シオリ","80001","23"
"あなたと一緒にいるようになって、\nもう1年ですか…","2","","1","103601","0","0","0","0","キョウカ","80001","24"
"最初の頃よりも、頼もしく\nなりましたね。私はどうですか？\n成長していますか？","2","","2","103601","0","0","0","0","キョウカ","80001","25"
"おにいちゃんとあってから、\n1年たったよ～！","2","","1","102001","0","0","0","1","ミミ","80001","26"
"ミミね、おにいちゃんと\nいっぱい遊べてたのしかったな～♪\nこれからもずっと\nいっしょにいてね～！","2","","2","102001","0","0","0","1","ミミ","80001","27"
"にいちゃんがミソギのイタズラに\n引っかかり続けてもう1年かぁ","2","","1","100401","0","0","0","2","ミソギ","80001","28"
"…これからもいっぱいミソギと\n遊んでね、にいちゃん！","2","","2","100401","0","0","0","2","ミソギ","80001","29"
"もう王子はんと会うてから\n1年ぐらいたつそうどすえ\n早いもんやなあ","3","","1","101001","0","0","0","0","マホ","80001","30"
"このままやと、\nうちもあっという間に\n干からびてしまいそうどすえ\nなーんてな。うふふ","3","","2","101001","0","0","0","0","マホ","80001","31"
"お主と会って早1年じゃな\nこれからも存分に尽くすがよい","3","","1","104401","0","0","0","1","イリヤ","80001","32"
"わらわもたまには、お主の献身に\n報いてやらぬでもない♪","3","","2","104401","0","0","0","1","イリヤ","80001","33"
"もう、キミと出会って結構な時間が\nたつさ～。でも、私たちの旅は\nまだまだ始まったばかりさ～！","3","","1","101701","0","0","0","2","カオリ","80001","34"
"これからも、どうぞよろしく\nお願いするさ～！","3","","2","101701","0","0","0","2","カオリ","80001","35"
"あんたと出会ってからもうそんなに\nたつのね～","4","","1","102801","0","0","0","0","サレン","80001","36"
"あっという間だったって感じるほど\n楽しかったわ！\nこれからも一緒に頑張りましょ！","4","","2","102801","0","0","0","0","サレン","80001","37"
"出会ってから1年間、ずっと\nご迷惑をかけっぱなしで、\nすみません…","4","","1","102501","0","0","0","1","スズメ","80001","38"
"これからはもっと頑張りますから\n見ていてくださいね\nできれば…\n今までよりも、私の近くで♪","4","","2","102501","0","0","0","1","スズメ","80001","39"
"振り返れば、今までいろんなことが\nあったにゃあ…","5","","1","104601","0","0","0","0","タマキ","80001","40"
"これからも、二人でたくさんの\n思い出をがっぽり作っていく\nにゃー！","5","","2","104601","0","0","0","0","タマキ","80001","41"
