989bf1919d4148efbcdd039ef494b9707b05cb9afba721a57c337539889e5010,bddf345508eb7f03ba19cdda0dc654875aba300d93baa7aa3b8e774a2a368e48,1061a7f35292fb279c7c7faac6deee61015b633fe48fce41f43355fa79317521,8c451d18f51ed52e6ad038d5219887a669c841214c7dffcc606974a09baabfec,fc0d429abebb2eaf48ee25d55cd6943705bcbd00d2ef1d4287fa5fc8cb4136e7,08fc71e44a6115f7c736fd7ea4bd52ff2583344f6567ff4be704a8d1bfa37e53,52cb54b80b87d5a203a5d825f4b894e14feaa20b65bc14bd5bf9edb183003afa,f56463ec1f9d16bccf59b7d7572d23dca52cb7ccb88daada38e005fc8d7ddd54,e95ca60b6681d24930ac20b9757821106d151471ad6eda7914eb7caf12f34d47,95b9703b3886078f685c7183b1f8815e02d142d4718e963733c80d8c86cf829a,b2ee23b807f3a6b142498af64fbe2833c2e66a598923f241c5602d69887b7005
"1001","0","0","0","0","0","100701","0","0","0","0"
"1010","0","0","0","0","0","100301","0","0","0","0"
"1011","0","0","0","0","0","101001","0","0","0","0"
"1012","0","0","0","0","0","101201","0","0","0","0"
"1013","0","0","0","0","0","101301","0","0","0","0"
"1014","0","0","0","0","0","101401","0","0","0","0"
"1015","0","0","0","0","0","101801","0","0","0","0"
"1016","0","0","0","0","0","102001","0","0","0","0"
"1017","0","0","0","0","0","102201","0","0","0","0"
"1018","0","0","0","0","0","102801","0","0","0","0"
"1019","0","0","0","0","0","103301","0","0","0","0"
"1020","0","0","0","0","0","103601","0","0","0","0"
"1021","0","0","0","0","0","104801","0","0","0","0"
"1022","0","0","0","0","0","106101","0","0","0","0"
"1023","0","0","0","0","0","107101","0","0","0","0"
"1099","0","0","0","0","0","101201","0","0","0","0"
"1100","0","0","0","0","0","106501","0","0","0","0"
"1101","0","0","0","0","0","102301","0","0","0","101501"
"1102","0","0","0","0","0","106501","0","0","0","101501"
"1164","100301","0","0","100201","100101","105801","0","105901","0","106001"
"1174","0","0","0","0","0","111401","0","0","0","0"
"1192","0","0","0","0","0","106401","0","0","0","0"
"1225","0","0","0","0","0","105701","0","0","0","0"
"1240","0","0","0","0","0","106701","0","0","0","0"
"1255","0","0","0","0","0","105801","0","0","0","0"
"1261","0","0","0","0","0","102001","0","0","0","0"
"1262","0","0","0","0","0","104301","0","0","0","0"
"1263","0","0","0","0","0","103101","0","0","0","0"
"1264","0","0","0","0","0","102701","0","0","0","0"
"1265","0","0","0","0","0","101701","0","0","0","0"
"1266","0","0","0","0","0","111401","0","0","0","0"
"2128","0","0","0","0","0","101201","0","0","0","103801"
"2129","0","0","0","0","0","105801","0","105901","0","106001"
"2130","0","0","0","100501","0","104701","0","103701","0","107101"
"2135","0","0","0","0","0","101401","0","0","0","104301"
"2137","105301","0","0","105501","0","103001","0","104501","0","100801"
"2139","0","0","0","0","0","101601","0","105001","0","101801"
"2143","0","0","0","0","0","104401","0","107101","0","102901"
"2148","0","0","0","106701","0","101101","0","100101","0","106601"
"2149","0","0","0","0","0","102201","0","0","0","100601"
"2151","0","0","0","101401","0","105301","0","103801","0","103701"
"2154","0","0","0","0","0","102801","0","0","0","103201"
"2157","0","0","0","0","0","105201","0","0","0","0"
"2162","0","0","0","0","0","104901","0","0","0","102701"
"2163","0","0","0","0","0","102901","0","105401","0","104201"
"2164","0","0","0","0","0","100801","0","0","0","105101"
"2167","0","0","0","0","0","101701","0","101601","0","103001"
"2211","0","0","0","0","0","100601","0","0","0","102201"
"2229","0","0","0","0","0","106001","0","0","0","0"
"2230","0","0","0","0","0","106001","0","0","0","0"
"2231","0","0","0","0","0","105801","0","0","0","0"
"2238","0","0","0","0","0","103001","0","0","0","105601"
"2268","0","0","0","0","0","101701","0","0","0","0"
"2279","0","0","0","0","0","105101","0","0","0","100801"
"2280","0","0","0","101401","0","105301","0","103801","0","103701"
"2281","0","0","0","0","0","104901","0","104501","0","101801"
"2282","0","0","0","0","0","106701","0","106501","0","106601"
"2283","0","0","0","0","0","101801","0","101601","0","105001"
"2284","0","0","0","0","0","102301","0","104201","0","102101"
"2286","0","0","0","0","0","111401","0","0","0","0"
"2287","0","0","0","0","0","104001","0","0","0","0"
"2288","0","0","0","0","0","103601","0","0","0","0"
"2289","0","0","0","0","0","102101","0","0","0","0"
"3002","0","0","0","0","0","100901","0","0","0","0"
"3016","0","0","0","0","0","103601","0","0","0","0"
"3086","0","0","0","0","0","102701","0","101101","0","104901"
"3087","0","0","0","0","0","104501","0","0","0","0"
"3088","0","0","0","0","0","101701","0","0","0","0"
"3089","0","0","0","0","0","106501","0","0","0","106601"
"3090","0","0","0","0","0","102601","0","0","0","0"
"3091","0","0","0","0","0","101501","0","0","0","0"
"3093","0","0","0","0","0","100701","0","0","0","0"
"3124","0","0","0","0","0","102901","0","0","0","0"
"3134","0","0","0","0","0","100601","0","0","0","0"
"3143","0","0","0","106401","0","105801","0","105901","0","106001"
"3144","0","0","0","106401","0","105801","0","105901","0","106001"
"3145","0","0","0","0","0","106001","0","0","0","0"
"3146","0","0","0","0","0","102801","0","0","0","102501"
"3147","0","0","0","0","0","101101","0","0","0","104901"
"3148","0","0","0","0","0","101401","0","0","0","104301"
"3149","105301","0","0","105501","0","103001","0","104501","0","100801"
"3150","0","0","0","0","0","101601","0","105001","0","101801"
"3151","0","0","0","0","0","110901","0","110801","0","111001"
"3152","0","0","0","106401","0","105801","0","105901","0","106001"
"3153","0","0","0","0","0","103301","0","0","0","102601"
"3154","0","0","0","0","0","101701","0","101601","0","103001"
"3155","0","0","0","0","0","102901","0","105401","0","104201"
"3156","0","0","0","0","0","100801","0","0","0","0"
"3157","0","0","0","0","0","100201","0","100101","0","100301"
"3167","0","0","0","0","0","104501","0","0","0","0"
"3244","0","0","0","0","0","102901","0","105401","0","104201"
"3245","0","0","0","0","0","102901","0","105401","0","104201"
"3246","0","0","0","0","0","102901","0","105401","0","104201"
"3287","0","0","0","0","0","101601","0","0","0","0"
"4017","0","0","0","102601","0","103301","0","103801","0","105201"
"4049","103201","103401","0","104801","104601","110901","0","110801","0","111001"
"4050","0","0","0","0","0","104001","0","104801","0","104601"
"4052","0","0","0","0","0","105601","0","101301","0","100901"
"4053","0","0","0","0","0","106501","0","0","0","106601"
"4054","0","0","0","0","0","105801","0","106001","0","105901"
"4087","0","0","0","0","0","110901","0","0","0","0"
"4088","0","0","0","0","0","111001","0","0","0","0"
"4127","0","0","0","0","0","106601","0","0","0","106501"
"4147","0","0","0","0","0","105201","0","0","0","107001"
"4200","0","0","0","0","0","105901","0","0","0","0"
"4204","0","0","0","0","0","101201","0","0","0","0"
"5003","0","0","0","0","0","104001","0","0","0","0"
"5020","0","0","0","0","0","103201","0","0","0","102801"
"5035","0","0","0","0","0","101101","0","0","0","0"
"5036","0","0","0","0","0","104601","0","0","0","0"
"5037","0","0","0","0","0","100101","0","100301","0","100201"
"5038","105101","0","0","105601","0","102701","0","101301","0","100901"
"5039","103101","0","0","104401","0","100701","0","100601","0","102201"
"5040","105301","0","0","105501","0","103001","0","104501","0","100801"
"5041","0","0","0","103801","0","102601","0","105201","0","103301"
"5042","0","0","0","0","0","106801","0","101101","0","104901"
"5043","0","0","0","100501","0","104701","0","103701","0","107101"
"5044","0","0","0","103401","0","104801","0","104601","0","103201"
"5045","0","0","0","0","0","105001","0","101601","0","101801"
"5088","103101","0","0","104401","0","100701","0","100601","0","102201"
"5101","0","0","0","0","0","101701","0","0","0","0"
"5102","0","0","0","0","0","102801","0","0","0","0"
"5103","0","0","0","0","0","101001","0","0","0","0"
"5104","105601","0","0","106401","104401","105801","0","105901","0","106001"
"5107","0","0","0","106401","0","105801","0","105901","0","106001"
"5108","0","0","0","0","0","103101","0","0","0","0"
