5da59963c79f7cb313c68a6e02710a4d390cf9b7bded78e3e640520972bec12a,c8249b16e27af1f1e3acf719adfae0d692f3da2337716a48729d431cae29fd31,2ad4f20cbe7d00009777c767c1419a2e838f6538adc93c050df2fb6d290ad962,8bb01470095292c95d340f2a9a0f332b7fa006f2cbe971c96e423fcf1d690ea6,1b125439b9e75dd04b052491af14a17c5d23e6aec1e792a975668250b94b33cc,f35eddb96dffab461e4da76d562ec5a7a89fc267952572dd11fae98790aca89c,2c6e66709149cb2a150c2b61916da614686dbfd43f831bf7180b12ad00c6189a,8cf16a3c655a630bcdec144011ff38f1dab6098303edfda481db990e86ef1bff,9f8b14b284cc359962c1107d5288912e368de2d110eda59f869b32ba00081cfa,fe0955749326b34db16290ed2e054e8279fe608fd2a9ce6ecd57021729331a24,9a3c61acc0d2e2e5a25ff406b5596c9ca51bc08934a79dcccf92e65b3a7430d7
"1","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","ストーリーへ","5046601","1004601","5046601","イベントスペシャルエピソード","イベント「ミサトサマーエール！　夢追う真夏のナイン」の\nスペシャルエピソードが解放されました。","2020/08/31 11:59:59","2020/07/31 12:00:00","10046"
"2","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","ストーリーへ","0","1004801","5048","イベントスペシャルエピソード","イベント「ハッピー・チェンジ・エンジェルズ」の\nエンディングを読むと、特別なエピソードが解放されます。","2020/09/30 11:59:59","2020/09/14 21:00:00","10048"
"3","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","ストーリーへ","0","1004802","5048","イベントスペシャルエピソード","イベント「ハッピー・チェンジ・エンジェルズ」で\nラフィからお手紙が届きました！","2020/09/30 11:59:59","2020/09/14 21:00:00","10048"
"4","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","ストーリーへ","5056601","1005601","5056","イベントスペシャルエピソード","イベント「新春グルメプリンセス！　一投にかけた乙女たち」\nのスペシャルエピソードが解放されました。","2021/01/31 11:59:59","2021/01/14 21:00:00","10056"
"3","エクストラストーリーから\n特別なストーリーをご覧いただけます。","ストーリーへ","5061601","1006101","5061","イベントスペシャルエピソード","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","2021/03/18 14:59:59","2021/02/28 12:00:00","10061"
"5","","ストーリーへ","5061602","1006102","10061","イベントスペシャルエピソード","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","2021/03/18 14:59:59","2021/03/14 21:00:00","10061"
"3","エクストラストーリーから\n特別なストーリーをご覧いただけます。","ストーリーへ","5061601","1006103","5061","イベントスペシャルエピソード","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","2021/03/31 11:59:59","2021/03/18 15:00:00","10061"
"6","閲覧には「みんなのゲームテーブル」で\n「大激戦！しりとりドラゴンズ」を購入し\nEXTRAをプレイする必要があります","ストーリーへ","5027704","1006601","1004","ミニゲーム ストーリー解放","ミニゲーム「大激戦！しりとりドラゴンズ」\nで新しいストーリーが解放されました","2021/05/31 11:59:59","2021/04/30 12:00:00","10066"
"5","「夏休みの絵日記」表紙からの切り替えで\n添削コメントをご覧いただけます。","イベントへ","5070601","1007001","10070","イオからのコメント追加","「夏休みの絵日記」に\nイオ先生からの添削コメントが追加されました。","2021/07/18 14:59:59","2021/07/14 21:00:00","10070"
"1","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","ストーリーへ","5046601","1007301","5046601","イベントスペシャルエピソード","イベント「ミサトサマーエール！　夢追う真夏のナイン」の\nスペシャルエピソードが解放されました。","2021/08/31 11:59:59","2021/08/18 12:00:00","10073"
