2f55a63384d0cf70ed445db986ca36ebe31cf4d9dbc7107fa377699c316bfe7b,0f1470ff4544b52239b4ee2a0a982eb421ce68bd78a47902b3e33c5d2ddf39ba,eedb8f1933fc3676f6f4e3c277b734eb97ce29d16dd099c0da364cf6bbee6de4,b7c79f84ac9ea5744c7a3095d2b278b5efd7dc455b10aad819b852bf9c3b734c,bff434a6131e9405668ca3ac3bff33fa2003708d07fea6e332840d9c26d07ec0,0bb419ad2ac7eab6a86bb2394a96bb7aafe4b2ff7d25bb87185e42bc32e9d5c6,4fa282a1addcb1fcde0ba6d05125b8932ad7e8257a93f3c682eb2af9f34e6fab,771d05abb3a10175e72ec675dac23a7c54ad4cf49cb631f0a25fe1296589427e,33bb3b845aee907804e8a165c8e02b5564f3131c33e185bbee5d067f1349f101,a2900b6f11f2d12aa516f4467543dfe1f8fa6195421a309e64ce8b52988f0f52
"パーツを20個獲得しよう","10000","3","1","0","100","1","1","20","1"
"パーツを25個獲得しよう","10001","3","2","0","100","1","1","25","2"
"パーツを30個獲得しよう","10002","3","2","0","100","1","1","30","3"
"パーツを35個獲得しよう","10003","3","3","0","100","1","1","35","4"
"パーツを40個獲得しよう","10004","3","3","0","100","1","1","40","5"
"パーツを45個獲得しよう","10005","3","4","0","100","1","1","45","6"
"パーツを50個獲得しよう","10006","3","4","0","100","1","1","50","7"
"総戦力を1500以上にしよう","20000","2","3","0","101","2","1","1500","101"
"総戦力を2000以上にしよう","20001","2","3","0","101","2","1","2000","102"
"総戦力を2500以上にしよう","20002","2","3","0","101","2","1","2500","103"
"総戦力を3000以上にしよう","20003","2","3","0","101","2","1","3000","104"
"総戦力を3500以上にしよう","20004","2","3","0","101","2","1","3500","105"
"総戦力を4000以上にしよう","20005","2","4","0","101","2","1","4000","106"
"総戦力を4500以上にしよう","20006","2","4","0","101","2","1","4500","107"
"総戦力を5000以上にしよう","20007","2","4","0","101","2","1","5000","108"
"総戦力を6000以上にしよう","20008","2","4","0","101","2","1","6000","109"
"総戦力を7000以上にしよう","20009","2","4","0","101","2","1","7000","110"
"総戦力を8000以上にしよう","20010","2","5","0","101","2","1","8000","111"
"総戦力を9000以上にしよう","20011","2","5","0","101","2","1","9000","112"
"総戦力を10000以上にしよう","20012","2","5","0","101","2","1","10000","600"
"バトルポイントを累計100pt獲得しよう","30000","4","2","0","200","3","2","100","201"
"バトルポイントを累計200pt獲得しよう","30001","4","2","0","200","3","2","200","202"
"バトルポイントを累計300pt獲得しよう","30002","4","2","0","200","3","2","300","203"
"バトルポイントを累計400pt獲得しよう","30003","4","2","0","200","3","2","400","204"
"バトルポイントを累計500pt獲得しよう","30004","4","2","0","200","3","2","500","205"
"バトルポイントを累計600pt獲得しよう","30005","4","3","0","200","3","2","600","206"
"バトルポイントを累計700pt獲得しよう","30006","4","3","0","200","3","2","700","207"
"バトルポイントを累計800pt獲得しよう","30007","4","3","0","200","3","2","800","208"
"バトルポイントを累計900pt獲得しよう","30008","4","3","0","200","3","2","900","209"
"バトルポイントを累計1000pt獲得しよう","30009","4","3","0","200","3","2","1000","210"
"フブキから5個パーツを獲得しよう","50000","1","7","0","400","5","4","5","401"
"フブキから10個パーツを獲得しよう","50001","1","7","0","400","5","4","10","402"
"フブキから15個パーツを獲得しよう","50002","1","7","0","400","5","4","15","403"
"フブキから20個パーツを獲得しよう","50003","1","7","0","400","5","4","20","404"
"フブキから25個パーツを獲得しよう","50004","1","7","0","400","5","4","25","405"
"フブキから30個パーツを獲得しよう","50005","1","7","0","400","5","4","30","406"
"フブキから35個パーツを獲得しよう","50006","1","7","0","400","5","4","35","407"
"フブキから40個パーツを獲得しよう","50007","1","7","0","400","5","4","40","408"
"フブキから45個パーツを獲得しよう","50008","1","7","0","400","5","4","45","409"
"フブキから50個パーツを獲得しよう","50009","1","6","0","400","5","4","50","700"
"バトルポイントを800pt獲得しよう（何度でも）","60000","4","7","30009","209","6","2","800","999"
"ステージ14をクリアしよう","70000","3","6","0","300","7","3","14","799"
"ステージ50をクリアしよう","70001","3","8","0","301","7","3","50","800"
