126217f188daf2f2daffda0e32fb7f9a17c426684bf2a47140a073b0350e390c,f7c80a55fca52053f066bdf61073ca9bc44a1d990a00624f9cd4a42b54d72f81,36c627808541514759e8da80c7757a331cf3d87d7a7ece6d3e31e52bb025dbc2
"114601","1","1"
"114701","2","2"
"115601","3","3"
"115801","4","5"
"116801","5","6"
"117401","6","7"
"117801","7","8"
"119201","8","9"
"120801","9","10"
"121201","10","12"
"122101","11","13"
"122401","12","14"
"122801","13","15"
"123501","14","16"
"124101","15","17"
"124701","16","20"
"124901","17","21"
"125701","18","22"
"126701","19","24"
"127001","20","25"
"128301","21","27"
"128801","22","28"
"105801","23","29"
"105901","24","30"
"106001","25","31"
"106401","26","32"
