84f281a9b38d654e4641955959af574be888efa9fa8b863f5e8e10f72e6f7c9c,57632c4e2cab90ea25f25830d0bd1c1a9abe3298a6c170e8f26826ccd8f03e77,e00b0d9bd1929908a570048e9e4b98c92814049a44481bf5ac70883bbb2cd7ee,d415d6492c7c32e1aead3c2c125d106bdbd5e72932c7aa66332dbbaabf3413ba,9c6369d9f37d165fd3a93b8f1ddeae904c3e2f526d0780a913431cc11a0f1771,b95d8267e2e0aa5e3ad8c20fc457bd587647cb061b6ffad8f7bdba9d89bfd408,6812eae5b9d790ccc562bf66742cd9e7cb1307093ea4aaf1060bee8ec00d0b79,7bf70228ec4f80c20f1adc3491885cbc67ac9ac6daf9866a81780ffae33bd0a0,959b1119ba3ccb25933eac777a3fda00e8fff723721542b5a629021932a23e04,1a8c4a377759e0c8abc9137c40e487a45c622b267afe39f719890cb044cefef2
"102231","bgm_M301","0","bgm_M301","1","記憶領域1層","102231","-100","75000001","0"
"81002102","bgm_M248","0","bgm_M248_02","1","記憶領域2層","81002102","0","75000002","0"
"102241","bgm_M301","0","bgm_M301","1","記憶領域3層","102241","-100","75000003","0"
"81002502","bgm_M268","0","bgm_M268","1","記憶領域4層","81002502","0","75000004","0"
"102881","bgm_M502","0","bgm_M502","1","記憶領域5層","102881","-100","75000005","0"
"81004602","bgm_M397","0","bgm_M397","1","記憶領域6層","81004602","0","75000006","0"
"102871","bgm_M503","0","bgm_M503","1","記憶領域7層","102871","-100","75000007","0"
"81009002","bgm_M577","0","bgm_M577","1","記憶領域8層","81009002","0","75000008","0"
"102251","bgm_M301","0","bgm_M301","1","記憶領域9層","102251","-100","75000009","0"
"102861","bgm_M505","0","bgm_M505","1","記憶領域10層","102861","-100","75000010","0"
"81010002","bgm_M621","0","bgm_M621","1","記憶領域11層","81010002","0","75000011","0"
"81000605","bgm_M504","0","bgm_M504","1","記憶領域12層","81000605","-100","75000012","0"
