1e587ea97a8b8daac0a08f5c551c4ecb1fe32ed3d07937823ed5c8a2f1d349cd,ea48d837664234bbebcf5ef432be7d0a232dbcd15150ba1b60c3bed72fc66bec,170ec3bd079d3923bdeb3151f8167d279aaa71571b23f37e9cf779c0562b43d9,0cdbef270a7e9a5ff7fbdb11cfae6ce88e14e79e2dcc03cfc6988c5383eda784,85147048095b63360e2ccfcca4c0cd3fd211d0ec44dc86f9b0a69c5aa6229037,51f4c669fae40e3d731f05b743fc4d36855263917d060275fdf88cd8cdb9cd29,494ea3f7eb36b69777af8a2c5e1697759ed949c29e548b017daa4e246a13642e,79c4b0b08a6245e7e9c461fe0611645d4ab37e6f8f87b60dd0633a12dd66a0a3,66c3cf2ca7bccf2b05b57434c8a3a104f15b091585c79c77e147d369f0958cf6,998abd93c6789a1682f6230f9c6e1cd32e31e53d17efbdf34090baf6a71fcdf4,70fdecfe52ee34954a0cdb5cff4f074d2f1b1adbd846b81175d793dba014d869,57ece54911df47112d56edc98bf43038ec6cb0351ffe3b667740d52215e2b48c
"107511","0","0","0","10140","10","2","103","浮き輪泳ぎ（黄）","1","0","10140101"
"107611","0","0","0","10140","15","2","102","浮き輪泳ぎ（青）","1","0","10140102"
"107711","0","0","0","10140","10","1","103","浮き輪泳ぎ（黄）","1","0","10140103"
"108011","0","0","0","10140","10","2","102","浮き輪泳ぎ（青）","1","0","10140106"
"110011","0","0","0","10140","10","2","101","浮き輪泳ぎ（ピンク）","1","0","10140107"
"110111","0","0","0","10140","10","1","101","浮き輪泳ぎ（ピンク）","1","0","10140108"
"110311","0","0","0","10140","3","1","103","浮き輪泳ぎ（黄）","1","0","10140109"
"110411","0","0","0","10140","10","2","102","浮き輪泳ぎ（青）","1","0","10140110"
"110511","0","0","0","10140","10","2","102","浮き輪泳ぎ（青）","1","0","10140111"
"110611","0","0","0","10140","50","2","101","浮き輪泳ぎ（ピンク）","1","0","10140112"
"113111","0","0","0","10140","5","1","102","浮き輪泳ぎ（青）","1","0","10140113"
"113211","0","0","0","10140","5","1","102","浮き輪泳ぎ（青）","1","0","10140114"
"113311","0","0","0","10140","5","1","102","浮き輪泳ぎ（青）","1","0","10140115"
"113411","0","0","0","10140","10","2","102","浮き輪泳ぎ（青）","1","0","10140116"
"113511","0","0","0","10140","10","2","102","浮き輪泳ぎ（青）","1","0","10140117"
"113611","0","0","0","10140","10","2","102","浮き輪泳ぎ（青）","1","0","10140118"
"115711","0","0","0","10140","5","1","102","浮き輪泳ぎ（青）","1","0","10140119"
"117011","0","0","0","10140","10","2","101","浮き輪泳ぎ（ピンク）","1","0","10140120"
"117111","0","0","0","10140","10","2","102","浮き輪泳ぎ（青）","1","0","10140121"
"117211","0","0","0","10140","10","2","102","浮き輪泳ぎ（青）","1","0","10140122"
"117311","0","0","0","10140","10","2","102","浮き輪泳ぎ（青）","1","0","10140123"
"117411","0","0","0","10140","10","2","101","浮き輪泳ぎ（ピンク）","1","0","10140124"
"122411","0","0","0","10140","10","2","103","浮き輪泳ぎ（黄）","1","0","10140125"
"122511","0","0","0","10140","5","1","102","浮き輪泳ぎ（青）","1","0","10140126"
"122611","0","0","0","10140","10","2","101","浮き輪泳ぎ（ピンク）","1","0","10140127"
"122711","0","0","0","10140","10","1","102","浮き輪泳ぎ（青）","1","0","10140128"
"122811","0","0","0","10140","10","1","103","浮き輪泳ぎ（黄）","1","0","10140129"
"122911","0","0","0","10140","10","1","101","浮き輪泳ぎ（ピンク）","1","0","10140130"
"126711","0","0","0","10140","5","1","101","浮き輪泳ぎ（ピンク）","1","0","10140132"
"126811","0","0","0","10140","10","2","103","浮き輪泳ぎ（黄）","1","0","10140133"
"126911","0","0","0","10140","30","2","102","浮き輪泳ぎ（青）","1","0","10140134"
"127011","0","0","0","10140","5","1","101","浮き輪泳ぎ（ピンク）","1","0","10140135"
"127111","0","0","0","10140","10","2","102","浮き輪泳ぎ（青）","1","0","10140136"
"129411","0","0","0","10140","10","2","103","浮き輪泳ぎ（黄）","1","0","10140138"
"129511","0","0","0","10140","10","2","101","浮き輪泳ぎ（ピンク）","1","0","10140139"
"107511","0","0","0","10140","10","2","151","バタ足","1","0","10140151"
"107611","0","0","0","10140","10","2","151","バタ足","1","0","10140152"
"107711","0","0","0","10140","10","1","151","バタ足","1","0","10140153"
"108011","0","0","0","10140","10","2","151","バタ足","1","0","10140156"
"110011","0","0","0","10140","10","2","151","バタ足","1","0","10140157"
"110311","0","0","0","10140","3","1","151","バタ足","1","0","10140159"
"110411","0","0","0","10140","10","2","151","バタ足","1","0","10140160"
