aab96b288183baaf6158632057536064c014e38af747df53d5ab1b146bc0a6a5,7a3a3494fcc4d8b76dcee8079567fd75b063f9f41132855f04353af30779b1ea,7af72db212ecc7eb0223a72c854cf9578e47a1937a4ceae4f2c83233a7d91601
"1","サイドストーリーでは、特別なストーリーを楽しめます。\nイベントストーリーはイベントクエストを進めると解放されていきます。","101"
"2","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","201"
"3","ボスに挑戦すると、信頼度エピソードが発生する\nことがございます。会話の結果によって信頼度がアップし、\n特定の信頼度に到達するとプレゼントがもらえます。","301"
"4","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20005"
"5","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20007"
"6","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20009"
"7","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20010"
"8","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20011"
"9","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20013"
"10","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20015"
"11","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20016"
"12","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20018"
"13","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20020"
"14","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20021"
"15","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20022"
"16","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20025"
"17","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20026"
"18","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20027"
"19","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20029"
"20","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20031"
"21","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20032"
"22","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20033"
"23","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20035"
"24","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20038"
"25","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20040"
"26","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20042"
"27","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20044"
"28","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20045"
"29","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20047"
"30","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20051"
"31","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20052"
"32","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20053"
"33","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20055"
"34","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20057"
"35","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20058"
"36","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20059"
"37","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20063"
"38","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20065"
"39","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20066"
"40","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20067"
"41","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20068"
"2003201","VERY HARDでカズマサさまが援護してくれるようです。\n強力なスタン効果のユニオンバーストで、サポートしてくださいますよ。\nボスが身動きを取れなくなっている間に、一気に倒しましょう。","2003201"
"2003901","主さまが宿題に励んでおられるようです。\n宿題が終わるまでモンスターの攻撃を耐え抜けば勝利となりますよ。\n宿題がどこまで進んでいるかは画面のゲージを確認しましょう。	","2003901"
