88665340448e193749d3bcc8d409672f2c2ca777d7ef007e58a1821e9d567544,7bad9a431848ce1ce17761cf72d8280e9061733e154751de86b1ba7c4eac5993,92930d2c2a23701f9943ae2b71ba477a0b5f7a14b08f0fc47bb9f3060d09602c
"美食殿","1","1"
"トゥインクルウィッシュ","2","1"
"ラビリンス","3","1"
"カルミナ","4","1"
"リトルリリカル","5","1"
"フォレスティエ","6","1"
"悪魔偽王国軍（ディアボロス）","7","1"
"王宮騎士団（NIGHTMARE）","8","1"
"サレンディア救護院","9","1"
"自警団（カォン）","10","1"
"牧場（エリザベスパーク）","11","1"
"メルクリウス財団","12","1"
"トワイライトキャラバン","13","1"
"ルーセント学院","14","1"
"ヴァイスフリューゲル ランドソル支部","15","1"
"聖テレサ女学院（なかよし部）","16","1"
"ドラゴンズネスト","17","1"
"レイジ・レギオン","18","1"
"リッチモンド商工会","19","1"
"アルターメイデン","20","1"
"ジオ・テオゴニア","21","1"
"ジオ・ゲヘナ","22","1"
"ジオ・ニヴルヘル","23","1"
"バンディ・シスターズ","24","1"
"アルケス錬金堂","25","1"
"？？？","26","1"
