83f73e722e407043cb09598efe98ae14e313889e6650bbb50a8a7a67285a10b4,bd04e7521fdb41af563696750497eddb3e7742960a980bfac7cd3639e58be6cd,cbad5570defd623f786c637fb3f636ae96c8ccd356fe0281aa8d94b0f264e3e6
"1","1","32025"
"2","1","32046"
"3","1","32048"
"4","1","32016"
"5","1","32060"
"5","2","32078"
"6","1","32031"
"7","1","32007"
"8","1","32050"
"9","1","32033"
"10","1","32058"
"10","2","32075"
"11","1","32042"
"12","1","32021"
"13","1","32023"
"14","1","32027"
"15","1","32049"
"16","1","32011"
"17","1","32045"
"18","1","32030"
