001bce7028237f8acc35a69632f40d9703b5fc7d643814b5cfad9888fb686a69,d8e5d5180b075093447e8cf4f2b08c50d7fafbbbe14dcd22d30ac40a1bab67cd,64e5ca389c1d4a6b202f5c9e65047191f84172bca55d09e7ae8c1e92871ffc6b,54f1b0ace813dc635b57e565d8b095e38178e235b9519d75950a13ca21f6fee6,d7f4d901bf674f4aec2a5db5ae721b98cbf6886ea604f0f828a864eb42bb1926,23ad3ecd76868bb939c5ebd58a11a74edaf4ab1536646cc7caf5d80c9472a967,d60ba0abc840c1a6e72a5be93e4a9bb96edc2072c73e52dd9ae37867fd2dede3,1bba1083d5aab0db938caa6e7713d96b492be1ac2350ae569556dc4b0ef4e851,5bfe809af3483cc4e90fda2446634bf4550d066db0246a96f72308dabb21cd37,aafbf28c79e00e1bbfab5381bd399188efb77fcc53b27a09d9e7d9dacab93c49,4488d12adc70a5205b57dd42e466782cb29737f0b5615cccef8e4a3cb73f0069
"0","0","0","2","25","5128071","10157107","91002","8","二人だけの時間","10128"
"5128071","0","0","2","25","5128072","0","91002","8","新居の必須条件","10128"
"5128072","0","0","2","25","5128073","0","91002","8","本当は誰よりも","10128"
"5128073","0","0","2","25","5128074","0","91002","8","家族で大切に\nしたいこと","10128"
"5128074","0","0","2","50","5128075","0","91002","8","誓いの言葉","10128"
"0","0","0","3","25","5128081","10157107","91002","8","血の婚約報告","10128"
"5128081","0","0","3","25","5128082","0","91002","8","風来人の家探し","10128"
"5128082","0","0","3","25","5128083","0","91002","8","愛おしい時間","10128"
"5128083","0","0","3","25","5128084","0","91002","8","トーゴクの\n家族文化","10128"
"5128084","0","0","3","50","5128085","0","91002","8","飾らない愛を","10128"
"5128075","5128085","0","4","0","5128091","0","0","0","口約束は災いのもと","10128"
"5128091","0","11001271","4","0","5128092","0","0","0","譲れない家庭の味","10128"
"0","0","0","1","0","5128161","10157107","0","0","夢の語り部に誘われて","10128"
