30a16f3388bcd96b57771921a4db0ccb5daa3f538909d4cdbaddae1c026237bf,64bfba42c82db8974d1301abb02807996fc8fdf549c8ddb2953ce3333f0393fd,9ec4ee75f20d1a68f47e6eaefa2c27a9c2e3115f911ecc2ec8e86d56f71b2f14,c15af19f65c3cb3475580ccc23a3083a2329e94c96bd6f966e05e9d67301fab8,3539568efeffdf496476d023abfb93fb4c0bb0f12313abfecdec04357080fcfa,d823694790388f05d63ea2386d9707d3daf99ec1fdd0e6c29dd076905a021d86,1eacba52578799e8b9e4f4d6c35846706b66d4c656a0a9f7c567678c000f40f6,f7c122331db2585655409566230b5bf5f0b90ee511c8f232479e706508064543,0dd060c47c926e550fde10306e2710ff4f9717dcbb40fd67409967314d925dda,19b4056fab71aa4bd8ebfa718f589ad8c5cac851256b473fe14864fd5997827b,28342355a805e6cfe214074727c39b6aecb57d4caa9ea2f64cc357cb6c5ad112,18dbe9faec48f4d5525f18b9582de85f19475d94a3d6cc59a2df3176aef770f1,63a972018d7e32eadf834347b3c4e3272e20bdb0d02527bf1fd65c27aaeb9776,6522298c9aa3a5cfb6093f18899e4ec7573cd418c6c31bb3e3882650bf316c80,5322ff468ef46dd9d0b481240cf6aa8d917c817195968bf676135d7c91f56915,9993c1cd58de815d525a2ec07ed791dd44d994e3a522130f8e5bd81ea26878dd,7f2807c1d3ced447d3eaaa7ddcd002ae1761449e94781920b1e2d27b6d570e53
"10001","0","2018/03/26 15:00:00","60","2018/03/31 15:00:00","0","2018/03/31 15:00:00","1060","0","bgm_M32","1768","2018/04/19 14:59:59","50","500213","2018/04/24 14:59:59","0","bgm_M32"
"10002","0","2018/04/26 15:00:00","60","2018/03/31 15:00:00","103601","2018/04/30 12:00:00","1060","0","bgm_M98","1768","2018/05/21 14:59:59","50","500193","2018/05/25 14:59:59","0","bgm_M98"
"10003","0","2018/05/25 16:00:00","60","2018/06/16 15:00:00","104401","2018/05/31 12:00:00","1060","0","bgm_M106","1768","2018/06/19 14:59:59","50","500263","2018/06/25 14:59:59","0","bgm_M106"
"10004","0","2018/06/26 15:00:00","60","2018/07/16 15:00:00","107601","2018/06/30 12:00:00","1060","0","bgm_M112","1768","2018/07/19 14:59:59","50","500164","2018/07/25 14:59:59","0","bgm_M112"
"10005","0","2018/07/26 15:00:00","60","2018/08/16 15:00:00","907901","2018/07/31 12:00:00","1060","0","bgm_M121","1768","2018/08/19 14:59:59","50","500284","2018/08/24 14:59:59","0","bgm_M121"
"10006","0","2018/08/27 15:00:00","60","2018/09/15 15:00:00","104701","2018/08/31 12:00:00","1060","0","bgm_M128","1768","2018/09/18 14:59:59","50","500096","2018/09/25 14:59:59","0","bgm_M128"
"10007","0","2018/09/26 15:00:00","60","2018/10/15 15:00:00","108201","2018/09/30 12:00:00","1060","0","bgm_M135","1768","2018/10/18 14:59:59","50","500264","2018/10/22 14:59:59","0","bgm_M135"
"10008","0","2018/10/26 15:00:00","60","2018/11/11 15:00:00","100901","2018/10/31 12:00:00","1060","0","bgm_M162","1768","2018/11/14 14:59:59","50","500143","2018/11/18 14:59:59","0","bgm_M162"
"10009","0","2018/11/26 15:00:00","60","2018/12/11 15:00:00","108501","2018/11/30 12:00:00","1060","0","bgm_M171","1768","2018/12/14 14:59:59","50","500114","2018/12/18 14:59:59","0","bgm_M171"
"10010","0","2018/12/26 15:00:00","60","2019/01/11 15:00:00","108901","2018/12/31 12:00:00","1060","0","bgm_M182","1768","2019/01/14 14:59:59","50","500553","2019/01/18 14:59:59","0","bgm_M182"
