83aaea29af1b1a670639dc7b749337332c00a287d23e67730e2ad2ff9b8316de,a6a4810df5a746d6c7a25e414391add2954156c6619fd5371e5e91f2b0c93ba9,ee3d69dbd54bc3c60432a8e1cfe647dd22fe556256d5f5828e8fa0d1841919b2,bc5defc47519fe3f6ee223fa17608a0b5d913cf5819d7e5e87eaa4e55f083727,6e4d0748d601726959c7e8652ee921c4d096eeef5d28a8a2f31c470d2a0a8f54,3c236d072b31d83b86a30a16ebf5f4ad0868e01218271b8b578b95da463ddc0f
"212","803100263","2146041","1","3001","211"
"212","803100263","2146042","1","3002","211"
"212","803100263","2146043","1","3003","211"
"212","803100263","2146044","1","3004","211"
"212","803100272","2147041","1","3006","213"
"212","803100272","2147042","1","3007","213"
"313","803100253","2145039","1","30011","202"
"302","803100253","2145040","0","30012","105"
"311","803100256","2145069","1","30021","204"
"312","803100256","2145070","1","30022","205"
"310","803100259","2145099","1","30031","212"
"301","803100259","2145100","0","30032","107"
"307","803100262","2146039","0","30041","110"
"302","803100262","2146040","0","30042","105"
"314","803100267","2146081","1","30051","203"
"312","803100269","2147019","1","30061","205"
"303","803100269","2147020","0","30062","106"
"313","803100271","2147039","1","30071","202"
"310","803100271","2147040","1","30072","212"
"100","803100251","2145011","0","300101","104"
"100","803100251","2145012","0","300102","104"
"102","803100251","2145013","0","300103","105"
"100","803100251","2145014","0","300104","104"
"102","803100251","2145015","0","300105","105"
"103","803100251","2145016","0","300106","106"
"102","803100251","2145017","0","300107","105"
"103","803100251","2145018","0","300108","106"
"111","803100251","2145019","1","300109","204"
"100","803100251","2145020","0","300110","104"
"100","803100252","2145021","0","300111","104"
"102","803100252","2145022","0","300112","105"
"100","803100252","2145023","0","300113","104"
"102","803100252","2145024","0","300114","105"
"103","803100252","2145025","0","300115","106"
"102","803100252","2145026","0","300116","105"
"103","803100252","2145027","0","300117","106"
"111","803100252","2145028","1","300118","204"
"100","803100252","2145029","0","300119","104"
"100","803100252","2145030","0","300120","104"
"102","803100253","2145031","0","300121","105"
"100","803100253","2145032","0","300122","104"
"102","803100253","2145033","0","300123","105"
"112","803100253","2145034","1","300124","208"
"110","803100253","2145035","1","300125","212"
"100","803100253","2145036","0","300126","104"
"102","803100253","2145037","0","300127","105"
"103","803100253","2145038","0","300128","106"
"101","803100254","2145041","0","300201","107"
"101","803100254","2145042","0","300202","107"
"102","803100254","2145043","0","300203","105"
"103","803100254","2145044","0","300204","106"
"113","803100254","2145045","1","300205","202"
"114","803100254","2145046","1","300206","203"
"101","803100254","2145047","0","300207","107"
"113","803100254","2145048","1","300208","202"
"114","803100254","2145049","1","300209","203"
"101","803100254","2145050","0","300210","107"
"101","803100255","2145051","0","300211","107"
"102","803100255","2145052","0","300212","105"
"103","803100255","2145053","0","300213","106"
"113","803100255","2145054","1","300214","202"
"114","803100255","2145055","1","300215","203"
"101","803100255","2145056","0","300216","107"
"113","803100255","2145057","1","300217","202"
"114","803100255","2145058","1","300218","203"
"101","803100255","2145059","0","300219","107"
"101","803100255","2145060","0","300220","107"
"102","803100256","2145061","0","300221","105"
"103","803100256","2145062","0","300222","106"
"101","803100256","2145063","0","300223","107"
"112","803100256","2145064","1","300224","208"
"110","803100256","2145065","1","300225","212"
"102","803100256","2145066","0","300226","105"
"103","803100256","2145067","0","300227","106"
"101","803100256","2145068","0","300228","107"
"100","803100257","2145071","0","300301","104"
"101","803100257","2145072","0","300302","107"
"101","803100257","2145073","0","300303","107"
"113","803100257","2145074","1","300304","202"
"114","803100257","2145075","1","300305","203"
"100","803100257","2145076","0","300306","104"
"101","803100257","2145077","0","300307","107"
"111","803100257","2145078","1","300308","204"
"112","803100257","2145079","1","300309","205"
"100","803100257","2145080","0","300310","104"
"101","803100258","2145081","0","300311","107"
"101","803100258","2145082","0","300312","107"
"113","803100258","2145083","1","300313","202"
"114","803100258","2145084","1","300314","203"
"100","803100258","2145085","0","300315","104"
"101","803100258","2145086","0","300316","107"
"111","803100258","2145087","1","300317","204"
"112","803100258","2145088","1","300318","205"
"100","803100258","2145089","0","300319","104"
"101","803100258","2145090","0","300320","107"
"100","803100259","2145091","0","300321","104"
"101","803100259","2145092","0","300322","107"
"113","803100259","2145093","1","300323","202"
"112","803100259","2145094","1","300324","208"
"100","803100259","2145095","0","300325","104"
"101","803100259","2145096","0","300326","107"
"111","803100259","2145097","1","300327","204"
"112","803100259","2145098","1","300328","205"
"102","803100260","2146011","0","300401","105"
"102","803100260","2146012","0","300402","105"
"113","803100260","2146013","1","300403","202"
"114","803100260","2146014","1","300404","203"
"102","803100260","2146015","0","300405","105"
"113","803100260","2146016","1","300406","202"
"114","803100260","2146017","1","300407","203"
"102","803100260","2146018","0","300408","105"
"102","803100260","2146019","0","300409","105"
"102","803100260","2146020","0","300410","105"
"102","803100261","2146021","0","300411","105"
"113","803100261","2146022","1","300412","202"
"114","803100261","2146023","1","300413","203"
"102","803100261","2146024","0","300414","105"
"113","803100261","2146025","1","300415","202"
"114","803100261","2146026","1","300416","203"
"102","803100261","2146027","0","300417","105"
