19025057d28d9d9b77f547136e6f67eeacfec75d06f6b5bbc0762da3d6442fa2,24ed7184e81a800da90ad99f12acc90544dbf397a1b78b2f40d3aebd7c6a74c5
"130032","32"
"130112","16"
"130132","19"
"130162","4"
"130252","1"
"130332","9"
"130492","15"
"130582","10"
"130592","29"
"130602","5"
"130752","10"
"130772","1"
"130792","2"
"130802","3"
"130812","6"
"130822","7"
"130832","8"
"130842","11"
"130852","12"
"130862","13"
"130902","14"
"130912","15"
"130952","17"
"130962","18"
"131002","4"
"131012","21"
"131032","22"
"131042","23"
"131052","24"
"131062","25"
"131072","20"
"131112","26"
"131122","27"
"131132","28"
"131152","33"
"131162","34"
"131172","35"
"131182","10"
"131192","29"
"131202","5"
"131212","1"
"131222","30"
"131232","31"
"131242","42"
"131252","43"
"131262","44"
"131312","36"
"131332","19"
"131342","37"
"131362","38"
"131372","40"
"131382","41"
"131392","39"
"131442","45"
"131452","22"
"131672","20"
"131692","3"
"131702","14"
"131712","15"
