ccc16029e0eeae8eafa4447cf24bb768f940119cdcece9ad1577a6288918e644,81aa33dd6552afc5727c9f0eb48def7fa20a6f61c312ec6a50d0fd8b12d631d9,0fcd06eda033a581d95fc7550dc6521eee2e86a310c5347e7a5844a8f6d4f229,74fc2708d3a722b6a681cda648acbdd966dc47410b9ae60e1db12ed92fc761aa,0cc5ebea5666299e423d8401f7ccc636636e12263b5b26dae7511f90788a23d4,028fae5b7abf033dac5dedc31e9ca44e87e9df85cc77be904e01d5250d8eed66,a61d0029c3cd8bea9452237fc854b1fba989fea6bb839a47e45984fa7c82b227,822f18838a3ea5c8b99c7b0e44908e6b831c9ea937833de30afb298e98fd5b6e,0e96210eca852a5748a9af99190da8ee6f4f0ba9fb934df41115629673bc1017,f8ff3927989ef7926930fc729f27432e9988227fd4ba15223fa7d11a2fb64cc8,f2d22b922d0173a6c6d703475d14f9fe7967e92e64fa02efec8e51c0088dbed3,478c62bfa6188e9e52984aee8bf8e25c8445b62d878986c1e391f922f395d713
"0.025","1","35","0.05","27","31","0","0","0","0","0","324"
"0.025","2","34","0.05","26","30","0","0","0","0","0","315"
"0.025","3","33","0.05","25","29","0","0","0","0","0","306"
"0.025","4","32","0.05","24","28","0","0","0","0","0","297"
"0.025","5","31","0.05","23","27","0","0","0","0","0","288"
"0.025","6","30","0.05","22","26","0","0","0","0","0","279"
"0.025","7","29","0.05","21","25","0","0","0","0","0","270"
"0.025","8","28","0.05","20","24","0","0","0","0","0","261"
"0.025","9","27","0.05","19","23","0","0","0","0","0","252"
"0.025","10","26","0.05","18","22","0","0","0","0","0","243"
"0.025","11","25","0.05","17","21","0","0","0","0","0","234"
"0.025","12","24","0.05","16","20","0","0","0","0","0","225"
"0.025","13","23","0.05","15","19","0","0","0","0","0","216"
"0.025","14","22","0.05","14","18","0","0","0","0","0","207"
"0.025","15","21","0.05","13","17","0","0","0","0","0","198"
"0.025","16","20","0.05","12","16","0","0","0","0","0","189"
"0.025","17","19","0.05","11","15","0","0","0","0","0","180"
"0.025","18","18","0.05","10","14","0","0","0","0","0","171"
"0.025","19","17","0.05","9","13","0","0","0","0","0","161"
"0.025","20","16","0.05","8","12","0","0","0","0","0","152"
"0.025","21","15","0.05","7","11","0","0","0","0","0","143"
"0.025","22","14","0.05","6","10","0","0","0","0","0","134"
"0.025","23","13","0.05","5","9","0","0","0","0","0","125"
"0.025","24","12","0.05","4","8","0","0","0","0","0","116"
"0.025","25","11","0.05","3","7","0","0","0","0","0","107"
"0.025","26","10","0.05","2","6","0","0","0","0","0","101"
"0","27","0","0","0","0","0","0","0","0","0","1"
