5cd900907e471d4e455071f69329ffd13a54bb4c5a3230b30b9fe384316613a5,8bcbcf13bbb359bff1cf6419d63b05acef4d0f1ef3e554b8e9af206392b430be,4d0b36144bbca4238187d9d21d943a5a549f2a3807e329480b972035cbaf05d5,3e0eb79664f96d50c5cb8295182c00df939b2245dda545b40f49824027ac85d9,fd50632dc410ef3be743328b54a9eae8a698a024d697b08182e24fa2c21d24fc,b7f983bccbc3912f13032dc90c98fbace3ace4a4f735b84901a7f3dee1cf7870,2990c2d7dad6feeb47b5fcff44dbadadc642fcf612e23bf7879096e15d298c41,f74218ca7a4711858388ca4d941024d1bb80707ea02659e087bab5b45bef62ea,0b7d76cf9f9ec4d310ac8dbc11e9b232e91b8912c67f094f876742f853d403f0,872887a792e977a3b3e8197fa4c401cb0ce7d02a7452dd24c7d5cafb88826315,81a5383eecceadd02306c28937ffe7ebb80afccee146ed01bfe57655991487e8,08cb0747ebc1b63686fe3697116b1d0705861c3e95d226b8e4373d76cab0b420
"1011611501","0","0","1","10116115","0.8","4","0","0","0","0","1"
"1011611502","vo_won","0","0","10116115","0","2","0","0","vo_won_10116115_01","0","2"
"1011611503","0","1","0","10116115","0","1","0","395","0","2.68","3"
"1011611504","0","0","1","10116115","3.17","4","0","0","0","0","4"
"1011611505","0","2","0","10116115","0","1","0","430","0","3.51","5"
"1011611506","0","0","1","10116115","4.03","4","0","0","0","0","6"
"1011611507","0","3","0","10116115","0","1","0","280","0","1.92","7"
"1011611508","0","0","1","10116115","2.42","4","0","0","0","0","8"
"1011611509","0","3","0","10116115","0","1","280","430","0","1.09","9"
"1011611510","0","0","1","10116115","1.09","4","0","0","0","0","10"
"1011611511","0","4","0","10116115","0","1","0","210","0","1.88","11"
"1011611512","0","0","1","10116115","2.47","4","0","0","0","0","12"
"1011611513","0","4","0","10116115","0","1","210","440","0","1.88","13"
"1011611514","0","0","1","10116115","1.88","4","0","0","0","0","14"
"1011611515","0","5","0","10116115","0","1","0","70","0","0.588999999999999","15"
"1011611516","0","0","1","10116115","0.965999999999999","4","0","0","0","0","16"
"1011611517","0","5","0","10116115","0","1","70","270","0","1.423","17"
"1011611518","0","0","1","10116115","2.673","4","0","0","0","0","18"
"1011611519","vo_won","0","0","10116115","0","2","0","0","vo_won_10116115_02","0","19"
"1011611520","0","6","0","10116115","0","1","0","213","0","1.699","20"
"1011611521","0","0","1","10116115","2.495","4","0","0","0","0","21"
"1011611522","0","6","0","10116115","0","1","213","450","0","1.636","22"
"1011611523","0","0","1","10116115","2.4","4","0","0","0","0","23"
"1011611524","0","7","0","10116115","0","1","0","430","0","2.853","24"
"1011611525","0","0","1","10116115","4.428","4","0","0","0","0","25"
"1011611526","vo_won","0","0","10116115","0","2","0","0","vo_won_10116115_03","0","26"
"1011611527","0","8","0","10116115","0","1","0","195","0","1.261","27"
"1011611528","0","0","1","10116115","1.715","4","0","0","0","0","28"
"1011611529","0","8","0","10116115","0","1","195","450","0","2.245","29"
"1011611530","0","0","1","10116115","2.759","4","0","0","0","0","30"
"1011611531","0","9","0","10116115","0","1","0","450","0","3.212","31"
"1011611532","0","0","1","10116115","3.212","4","0","0","0","0","32"
"1011611533","0","10","0","10116115","0","1","0","90","0","0.499","33"
"1011611534","0","0","1","10116115","2.042","4","0","0","0","0","34"
"1011611535","vo_won","0","0","10116115","0","2","0","0","vo_won_10116115_04","0","35"
"1011611536","0","11","0","10116115","0","1","0","75","0","0.717","36"
"1011611537","0","0","1","10116115","1.491","4","0","0","0","0","37"
"1011611538","0","11","0","10116115","0","1","75","450","0","2.868","38"
"1011611539","0","0","1","10116115","3.897","4","0","0","0","0","39"
"1011611540","vo_won","0","0","10116115","0","2","0","0","vo_won_10116115_05","0","40"
"1011611541","0","12","0","10116115","0","1","0","133","0","1.079","41"
"1011611542","0","0","1","10116115","1.453","4","0","0","0","0","42"
"1011611543","0","12","0","10116115","0","1","133","450","0","2.432","43"
"1011611544","0","0","1","10116115","2.432","4","0","0","0","0","44"
"1011611545","0","13","0","10116115","0","1","0","141","0","1.321","45"
"1011611546","0","0","1","10116115","2.245","4","0","0","0","0","46"
"1011611547","vo_won","0","0","10116115","0","2","0","0","vo_won_10116115_06","0","47"
"1011611548","0","13","0","10116115","0","1","141","450","0","2.161","48"
"1011611549","0","0","1","10116115","3.392","4","0","0","0","0","49"
"1011611550","vo_won","0","0","10116115","0","2","0","0","vo_won_10116115_07","0","50"
"1011611551","0","14","0","10116115","0","1","0","142","0","0.982","51"
"1011611552","0","0","1","10116115","1.563","4","0","0","0","0","52"
"1011611553","0","14","0","10116115","0","1","142","450","0","1.916","53"
"1011612501","0","0","1","10116125","0.8","4","0","0","0","0","1"
"1011612502","vo_won","0","0","10116125","0","2","0","0","vo_won_10116125_01","0","2"
"1011612503","0","1","0","10116125","0","1","0","285","0","2.458","3"
"1011612504","0","0","1","10116125","3.21","4","0","0","0","0","4"
"1011612505","0","1","0","10116125","0","1","285","450","0","1.255","5"
"1011612506","0","0","1","10116125","1.255","4","0","0","0","0","6"
"1011612507","0","2","0","10116125","0","1","0","213","0","1.63","7"
"1011612508","0","0","1","10116125","2.759","4","0","0","0","0","8"
"1011612509","vo_won","0","0","10116125","0","2","0","0","vo_won_10116125_02","0","9"
"1011612510","0","2","0","10116125","0","1","213","255","0","0.753","10"
"1011612511","0","0","1","10116125","1.229","4","0","0","0","0","11"
"1011612512","0","2","0","10116125","0","1","255","450","0","1.255","12"
"1011612513","0","0","1","10116125","1.255","4","0","0","0","0","13"
"1011612514","0","3","0","10116125","0","1","0","331","0","2.138","14"
"1011612515","0","0","1","10116125","2.985","4","0","0","0","0","15"
"1011612516","0","3","0","10116125","0","1","331","430","0","0.501","16"
"1011612517","0","0","1","10116125","0.501","4","0","0","0","0","17"
"1011612518","0","4","0","10116125","0","1","0","292","0","1.807","18"
"1011612519","0","0","1","10116125","2.584","4","0","0","0","0","19"
"1011612520","0","4","0","10116125","0","1","292","361","0","0.703","20"
"1011612521","0","0","1","10116125","1.405","4","0","0","0","0","21"
"1011612522","0","4","0","10116125","0","1","361","440","0","0.553","22"
"1011612523","0","0","1","10116125","0.553","4","0","0","0","0","23"
"1011612524","0","5","0","10116125","0","1","0","88","0","0.878","24"
"1011612525","0","0","1","10116125","1.279","4","0","0","0","0","25"
"1011612526","0","5","0","10116125","0","1","88","450","0","2.233","26"
"1011612527","0","0","1","10116125","3.38","4","0","0","0","0","27"
"1011612528","vo_won","0","0","10116125","0","2","0","0","vo_won_10116125_03","0","28"
"1011612529","0","6","0","10116125","0","1","0","280","0","2.307","29"
"1011612530","0","0","1","10116125","2.859","4","0","0","0","0","30"
"1011612531","0","6","0","10116125","0","1","280","450","0","1.405","31"
"1011612532","0","0","1","10116125","1.832","4","0","0","0","0","32"
"1011612533","0","7","0","10116125","0","1","0","400","0","3.426","33"
"1011612534","0","0","1","10116125","3.912","4","0","0","0","0","34"
"1011612535","vo_won","0","0","10116125","0","2","0","0","vo_won_10116125_04","0","35"
"1011612536","0","8","0","10116125","0","1","0","325","0","2.534","36"
"1011612537","0","0","1","10116125","3.311","4","0","0","0","0","37"
"1011612538","0","8","0","10116125","0","1","325","450","0","0.979","38"
"1011612539","0","0","1","10116125","1.394","4","0","0","0","0","39"
"1011612540","0","9","0","10116125","0","1","0","450","0","3.346","40"
"1011612541","0","0","1","10116125","3.346","4","0","0","0","0","41"
"1011612542","0","10","0","10116125","0","1","0","130","0","0.828","42"
"1011612543","0","0","1","10116125","2.361","4","0","0","0","0","43"
"1011612544","vo_won","0","0","10116125","0","2","0","0","vo_won_10116125_05","0","44"
"1011612545","0","11","0","10116125","0","1","0","410","0","3.221","45"
"1011612546","0","0","1","10116125","3.999","4","0","0","0","0","46"
"1011612547","0","12","0","10116125","0","1","0","95","0","0.727","47"
"1011612548","0","0","1","10116125","1.405","4","0","0","0","0","48"
"1011612549","0","12","0","10116125","0","1","95","430","0","2.085","49"
"1011612550","0","0","1","10116125","3.523","4","0","0","0","0","50"
"1011612551","vo_won","0","0","10116125","0","2","0","0","vo_won_10116125_06","0","51"
"1011612552","0","13","0","10116125","0","1","0","67","0","0.62","52"
"1011612553","0","0","1","10116125","1.355","4","0","0","0","0","53"
"1011612554","0","13","0","10116125","0","1","67","440","0","2.483","54"
