d3f4ec15f24cf8a72b23e3de7313804bd473c00371b23742e15f9409543b270b,c0ff582646ef57c0cbb46f43594d3fb9335d28434d7ea7f67c9b461c8cb5bc61,aee04b73c405f623f6ffa89351d2ddac275b2525c49e4b1f911098670a851a03,1a7f23e8c8264e556dace7651679878dff279366e0237b4e1996503b0657f840,32c5bf02d5945bff63809825cd6aea7278c315719dff26c749ce4d4b67996db5,0c5b390a098cd1776c00ef1eca49ae0344605af73a04ed59c9ad5f385115d4eb,6b9c4031df6e39fb8233ff75a028eb6db785661789923a543a2a3485a9765969,94ad4a08d1fe1774ff98d97a1b93b6bfbb7d5c0e72c5cb49f30f93e2272fb3f4,9ebec54d326d3663565c2a185265aeb3d09ba485b054797e5fd35da0e8182c83,c4fcdd3dd189e8d4c0bb77fa5d0a21d23abc38de27f423b7f5890577117d34c2,b8a79faddcada59ca7dbe60483afc2a3c4b70608c9354af6cdcee74eaeadf5c0,5f115372acd258242fd2db0c3db68bf36de485c9338ff28538afc242f54e3c04,e3e7077f0e2db422fa69936c43622f695995192f24d6d9350aca391eb29db4a0,6654eb42e240a308f84291747b521c4c1315654f8fbdc17520507b7b7b78486c,777a78474b52b0bc54510c94f852687826aa34dbcef3e020cb5432a1feec89eb
"111","0","0","2022/02/15 5:00:00","0","0","100","113","112","1","540","1","2816","11","0"
"211","0","0","2022/02/16 5:00:00","0","0","100","213","212","2","493","1","2816","21","0"
"311","0","0","2022/02/17 5:00:00","0","0","100","313","312","3","458","1","2816","31","0"
"411","0","0","2022/02/18 5:00:00","0","0","100","413","412","4","420","1","2816","41","0"
"511","0","0","2022/02/19 5:00:00","0","0","100","513","512","5","380","1","2816","51","0"
"611","0","0","2022/02/20 5:00:00","0","0","100","613","612","6","340","1","2816","61","0"
"711","0","0","2022/02/21 5:00:00","1","0","100","713","712","7","430","1","2816","71","0"
"811","0","0","2022/02/22 5:00:00","1","0","100","813","812","8","402","1","2816","81","0"
"911","0","0","2022/02/23 5:00:00","1","0","100","913","912","9","302","1","2816","91","0"
"1011","0","0","2022/02/24 5:00:00","1","0","100","1013","1012","10","264","1","2816","101","0"
"1111","0","0","2022/02/25 5:00:00","1","0","100","1113","1112","11","225","1","2816","111","0"
"1211","0","0","2022/02/26 5:00:00","1","0","100","1213","1212","12","328","1","2816","121","0"
"1311","0","0","2022/02/27 5:00:00","1","0","100","1313","1312","13","280","1","2816","131","0"
"1411","0","0","2022/02/28 5:00:00","1","0","100","1413","1412","14","269","1","2816","141","0"
"1511","0","0","2022/03/01 5:00:00","1","0","100","1513","1512","15","180","1","2816","151","0"
"1611","0","0","2022/03/02 5:00:00","1","0","100","1613","1612","16","138","1","2816","161","0"
"1711","0","0","2022/03/03 5:00:00","1","0","100","1713","1712","17","97","1","2816","171","0"
"1811","0","0","2022/03/04 5:00:00","1","0","100","1813","1812","18","56","1","2816","181","0"
"1911","0","0","2022/03/05 5:00:00","1","0","100","1913","1912","19","150","1","2816","191","0"
"2011","0","0","2022/03/06 5:00:00","1","0","100","2013","2012","20","100","1","2816","201","0"
"2111","0","0","2022/03/07 5:00:00","1","0","100","2113","2112","21","15","1","2816","211","0"
"2211","0","0","2022/03/08 5:00:00","1","0","100","2213","2212","22","-25","1","2816","221","0"
"2311","0","0","2022/03/09 5:00:00","1","0","100","2313","2312","23","-66","1","2816","231","0"
"2411","0","0","2022/03/10 5:00:00","1","0","100","2413","2412","24","-107","1","2816","241","0"
"2511","0","0","2022/03/11 5:00:00","1","0","100","2513","2512","25","-149","1","2816","251","0"
"2611","0","0","2022/03/12 5:00:00","1","0","100","2613","2612","26","-188","1","2816","261","0"
"2711","0","0","2022/03/13 5:00:00","1","0","100","2713","2712","27","-96","1","2816","271","0"
"2811","0","0","2022/03/14 5:00:00","1","0","100","2813","2812","28","-133","1","2816","281","0"
"2911","0","0","2022/03/15 5:00:00","1","0","100","2913","2912","29","-174","1","2816","291","0"
"3011","0","0","2022/03/16 5:00:00","1","0","100","3013","3012","30","-230","1","2816","301","0"
"3111","0","0","2022/03/17 5:00:00","1","0","100","3113","3112","31","-272","1","2816","311","0"
"3211","0","0","2022/03/18 5:00:00","1","0","100","3213","3212","32","-313","1","2816","321","0"
"3311","0","0","2022/03/19 5:00:00","1","0","100","3313","3312","33","-240","1","2816","331","0"
"3411","0","0","2022/03/20 5:00:00","1","0","100","3413","3412","34","-260","1","2816","341","0"
"3511","0","0","2022/03/21 5:00:00","1","0","100","3513","3512","35","-280","1","2816","351","0"
"3611","0","0","2022/03/22 5:00:00","1","0","100","3613","3612","36","-354","1","2816","361","0"
"3711","0","0","2022/03/23 5:00:00","1","0","100","3713","3712","37","-395","1","2816","371","0"
"3811","0","0","2022/03/24 5:00:00","1","0","100","3813","3812","38","-436","1","2816","381","0"
"3911","0","0","2022/03/25 5:00:00","1","0","100","3913","3912","39","-477","1","2816","391","0"
"4011","0","0","2022/03/26 5:00:00","1","0","100","4013","4012","40","-400","1","2816","401","0"
"4111","0","0","2022/03/27 5:00:00","1","0","100","4113","4112","41","-438","1","2816","411","0"
"4211","0","0","2022/03/28 5:00:00","1","0","100","4213","4212","42","0","1","2816","421","0"
"4311","0","0","2022/03/29 5:00:00","2","0","200","4313","4312","43","371","2","2816","431","0"
