be8a1caa8a05a08bada893d6554569e42c565e91d47d5bfcf6087b7be3ded735,1d461971ecd7b769014d7384a79c5f7a85778262aec264ce617362645214ae42,5d4961927a8e3fd079a94749f1897f3f9581d15174a2b3e8a97e3c377967ac72,a0616a175b2342db91181d98c87afab3be538f72ade93777704bc479ab4a3e7a,7d2ef0dc9c3a7323efdd23243ba1173032985d37a4e39477f5cc860f34aeae0a,34280d437184982812dd799a5cf4a12531fab6567d6e72269ff30ef50e99e015,9dba6c6e1e4201c874ccd7a543f8d1be76e63160bf6867c3b1eb76db33008f1e,ba6fac2dbc84cdde7fbffa71b5d24521f891ae1c63cf7c35d4d0fd5d0338924f,122aa7504e7e17d0cf0d9fc70d41a0247493df5fdbe1b31a1549daa445842646,ce8f53eacaead88ac1faafbbdcd3343b5c515e26685fc36a1fece3f93337c395,649bee93644e8135cd3bf9dbe31003b57f04a3478ac3a35aee3884bafd0b1404,915502474cc19e7c6ba4b6d7c58ce36f82e3c6a0582def0f29b642b0008ed030
"1","vo_10020900_0001","0","0","0","vo_10020900","2","0","0","1010001","1","0"
"2","0","0","0.818181818181818","0","0","1","0","180","1010002","1","1"
"3","0","1","0","0.818181818181818","0","4","0","0","1010003","1","1"
"4","0","0","0.634285714285714","0","0","1","0","148","1010004","1","2"
"5","0","1","0","1.03428571428571","0","4","0","0","1010005","1","2"
"6","0","0","1.33714285714286","0","0","1","148","460","1010006","1","2"
"7","0","1","0","2.13714285714286","0","4","0","0","1010007","1","2"
"8","vo_10020900_0002","0","0","0","vo_10020900","2","0","0","1010008","1","0"
"9","0","0","1.12948051948052","0","0","1","0","223","1010009","1","3"
"10","0","1","0","2.12948051948052","0","4","0","0","1010010","1","3"
"11","vo_10020900_0003","0","0","0","vo_10020900","2","0","0","1010011","1","0"
"12","0","0","0.545454545454545","0","0","1","223","343","1010012","1","3"
"13","0","1","0","1.04545454545455","0","4","0","0","1010013","1","3"
"14","0","0","1.71545454545455","0","0","1","343","700","1010014","1","3"
"15","0","1","0","2.71545454545455","0","4","0","0","1010015","1","3"
"16","vo_10020900_0004","0","0","0","vo_10020900","2","0","0","1010016","1","0"
"17","0","0","1.67857142857143","0","0","1","0","275","1010017","1","4"
"18","0","1","0","2.17857142857143","0","4","0","0","1010018","1","4"
"19","vo_10020900_0005","0","0","0","vo_10020900","2","0","0","1010019","1","0"
"20","0","0","1.28311688311688","0","0","1","275","465","1010020","1","4"
"21","0","1","0","1.98311688311688","0","4","0","0","1010021","1","4"
"22","0","0","1.2987012987013","0","0","1","465","715","1010022","1","4"
"23","0","1","0","1.9987012987013","0","4","0","0","1010023","1","4"
"24","0","0","2.07792207792208","0","0","1","0","400","1010024","1","5"
"25","0","1","0","3.07792207792208","0","4","0","0","1010025","1","5"
"26","vo_10020900_0006","0","0","0","vo_10020900","2","0","0","1010026","1","0"
"27","0","0","1.06363636363636","0","0","1","0","182","1010027","1","6"
"28","0","1","0","1.56363636363636","0","4","0","0","1010028","1","6"
"29","0","0","2.96","0","0","1","182","700","1010029","1","6"
"30","0","1","0","3.96","0","4","0","0","1010030","1","6"
"31","vo_10020900_0007","0","0","0","vo_10020900","2","0","0","1010031","1","0"
"32","0","0","0.386363636363636","0","0","1","0","85","1010032","1","7"
"33","0","1","0","0.886363636363636","0","4","0","0","1010033","1","7"
"34","0","0","3.54090909090909","0","0","1","85","750","1010034","1","7"
"35","0","1","0","4.54090909090909","0","4","0","0","1010035","1","7"
"36","vo_10020900_0008","0","0","0","vo_10020900","2","0","0","1010036","1","0"
"37","0","0","0.431818181818182","0","0","1","0","95","1010037","1","8"
"38","0","1","0","1.03181818181818","0","4","0","0","1010038","1","8"
"39","vo_10020900_0009","0","0","0","vo_10020900","2","0","0","1010039","1","0"
"40","0","0","0.709090909090909","0","0","1","95","235","1010040","1","8"
"41","0","1","0","1.30909090909091","0","4","0","0","1010041","1","8"
"42","vo_10020900_0010","0","0","0","vo_10020900","2","0","0","1010042","1","0"
"43","0","0","3.07662337662338","0","0","1","235","750","1010043","1","8"
"44","0","1","0","4.07662337662338","0","4","0","0","1010044","1","8"
"45","vo_10020900_0011","0","0","0","vo_10020900","2","0","0","1010045","1","0"
"46","0","0","1.43506493506493","0","0","1","0","170","1010046","1","9"
"47","0","1","0","2.43506493506493","0","4","0","0","1010047","1","9"
"48","vo_10020900_0012","0","0","0","vo_10020900","2","0","0","1010048","1","0"
"49","0","0","2.75","0","0","1","170","720","1010049","1","9"
"50","0","1","0","3.95","0","4","0","0","1010050","1","9"
"51","vo_10020900_0013","0","0","0","vo_10020900","2","0","0","1010051","1","0"
"52","0","0","1.67792207792208","0","0","1","170","585","1010052","1","10"
"53","0","1","0","2.27792207792208","0","4","0","0","1010053","1","10"
"54","0","0","0.9","0","0","1","585","750","1010054","1","10"
