a72120bc70963373e16e764d924b537d3c405393c5628315b8bcbe96c5e4de53,e4ef945a0b3cdedef014bd0ec8751b51dca53d10f28b9dc9c842426776d4d32f,f63f9d871595759ac3153dd01094adf8480e096dba8ac4fdc97b2dfd045d0f5a,9b44e166020e433de011411a65bc54dfff102a90ca15dc6f7911834950aefd2b,5a61677bb5d1412e1759bdae355454b8e8c2bf1532618c832c3ea486a9c1e8b1,ee0b57e526c733e4c0bd60f25ad3e8936017cd872110356901410308ca5634c5,e08e00ffa13ddae8688c7516d278c73e7cae6e811a9b5171f0233207701a0e73,82a300fcd2322fb9f495ffa212d97318520cc617c1cc764d013a00cea26cb54f,d34f1e7748df0fc946a0c969bdb6c51bc1e1b995528985313fa49150d0b5878e,76895859c65aa2a5e42973d1e911366ccaa2511aa17aa9b1d69f4c9bf8e4388c,6915e34f2359289a839f23027b8202e3aedbeeca625004a81dd4976845187c6a,db78feaf37e75b76905d92df40b3f1ce5c2940ac7903f6a64fff3bb9181dbd0a,98e1a688c9ba28b56232787cdbd24166711a09369e419f847dd910eb0c99f991,ac63f6ecfbb85a25b24fc5939ddb7343324bc9356613ef0461da88d1f69e6413
"105801","0","0","2030/08/01 14:59:59","31058","100","2","0","0","0","1","2020/08/04 12:00:00","0","28001"
"107501","0","0","2030/08/01 14:59:59","31075","100","2","0","0","0","2","2020/08/04 12:00:00","0","28001"
"180401","0","0","2030/08/01 14:59:59","31804","100","2","0","0","0","3","2020/08/04 12:00:00","0","28001"
"105901","0","0","2030/08/01 14:59:59","31059","100","2","0","0","0","1","2020/08/04 12:00:00","0","28002"
"107601","0","0","2030/08/01 14:59:59","31076","100","2","0","0","0","2","2020/08/04 12:00:00","0","28002"
"111901","0","0","2030/08/01 14:59:59","31119","100","2","0","0","0","3","2020/08/04 12:00:00","0","28002"
"180501","0","0","2030/08/01 14:59:59","31805","100","2","0","0","0","4","2020/08/04 12:00:00","0","28002"
"106001","0","0","2030/08/01 14:59:59","31060","100","2","0","0","0","1","2020/08/04 12:00:00","0","28003"
"107801","0","0","2030/08/01 14:59:59","31078","100","2","0","0","0","2","2020/08/04 12:00:00","0","28003"
"112001","0","0","2030/08/01 14:59:59","31120","100","2","0","0","0","3","2020/08/04 12:00:00","0","28003"
"101201","0","0","2030/08/01 14:59:59","31012","100","2","0","0","0","1","2020/09/03 19:00:00","0","28004"
"113401","0","0","2030/08/01 14:59:59","31134","100","2","0","0","0","2","2020/09/03 19:00:00","0","28004"
"103801","0","0","2030/08/01 14:59:59","31038","100","2","0","0","0","1","2020/09/03 19:00:00","0","28005"
"112301","0","0","2030/08/01 14:59:59","31123","100","2","0","0","0","2","2020/09/03 19:00:00","0","28005"
"107101","0","0","2030/08/01 14:59:59","31071","100","2","0","0","0","1","2020/09/03 19:00:00","0","28006"
