5d7af0bf95880a62b5aa405485727e04406ed5634c9487f9b7032613b35364c6,8a96048df421bf69daf3cbc8a195533e30e37c12b95514e6e2ca67caaa27647d,1176ee6121c2a0c1a791618edc292d71848b80aff386ee49384a38e0273e1e11,9f27776b231a1671257e82b93459ee99677b53b957fae622d8db17ca3106b1ff,c02a05d7d02b87a807b6db9efb472ea56ebb84d2f81c3cec3eab485ba58e5149,1112fb6007aed7836a4bb4dee94d441de6c31e322bb66511f4d78f8db60d9f49,52deddcd34d5a9931f1c351d1fb14fc8d153e07ddcb8978488db43a87f12b14a,6b292e8bb45872117f929ff963cde2a74f942cae8ac04022beb5cc04e94c5dc7,a6453592d89cda5175756c80888447b7917fab3c557d16a4970b8ee1591b2017,02e37a2eedb8594bac5b85d71317a547e2df7654b1b2375ceaffd3edb912052a,36e38d5b238650160f096a4ee15dcd23130477ca015fad267e20bac93dedc2f7,1469f6fa376f0cc69740a2dd8df1dcac397de5c593069e7b7d6d4575af549f3b,283a8f7345773ad4610e37acd5b749fc266dac94360d7bab1923698343a9d1fe,3c0cbe59ce011462d0d86d88f34676ab10d4fee3decd0b0ea144d25168af1866
"0","10038","190801","カリン","1","2","2020/03/31 12:00:00","-416.5","53","3.414","1","2020/04/18 14:59:59","ミッションをクリアすると、\n報酬がもらえますよ！\n頑張ってください","10038001"
"0","10038","190801","カリン","2","2","2020/03/31 12:00:00","-416.5","53","3.099","1","2020/04/18 14:59:59","ミッションをクリアして、\n報酬をゲットしましょう！","10038002"
"0","10038","190801","カリン","3","2","2020/03/31 12:00:00","-416.5","54","2.801","1","2020/04/18 14:59:59","受け取ることができる\n報酬があるようです\n確認してみてください","10038003"
"0","10038","190801","カリン","4","2","2020/03/31 12:00:00","-416.5","54","0","2","2020/04/18 14:59:59","報酬がもらえますよ！\nチェックしてみてください","10038004"
"0","10038","190801","カリン","5","1","2020/03/31 12:00:00","-416.5","57","0","1","2020/04/18 14:59:59","イベントお疲れ様です！\n皆さんのご活躍ぶりには\nいつも感謝しています","10038005"
"0","10038","190801","カリン","1","2","2020/03/31 12:00:00","-363","55","5.506","1","2020/04/18 14:59:59","ギルド管理協会です！\n討伐証をお持ちでしたら、\n報酬交換できますよ","10038006"
"0","10038","190801","カリン","2","1","2020/03/31 12:00:00","-363","55","1.216","2","2020/04/18 14:59:59","お疲れ様です！\nここでは、討伐証と報酬を\n交換することができます！","10038007"
"0","10038","190801","カリン","3","1","2020/03/31 12:00:00","-363","56","1.539","2","2020/04/18 14:59:59","お疲れ様でした\n討伐証の交換、\nお忘れないように！","10038008"
"0","10038","190801","カリン","4","1","2020/03/31 12:00:00","-363","56","1.875","2","2020/04/18 14:59:59","終わっちゃいましたねー\n討伐証は努力の証！\n報酬と交換しましょう！","10038009"
"8","10038","110901","チエル","101","7","2020/03/31 12:00:00","-285","51","9.376","1","2020/04/18 14:59:59","","10038101"
