2fbd2250e1d6ef5c95e3a3c7efb769cec3e986aba125cc8be7deb2268126a00d,4b0529458e6c3909a38a17047442af6b849e95c28d65dd696cd649daab868abd,4c3489db6180feb9335b12367ada9025f312aa45e5ff38e8d3fb764a12b08fe2,df86350beeebd40857ba795a37d4fd18153892a38e5ddfeafe4c36021f1ebc05,0cf659e68f33816e7f76b65891ada68ee526c7268cc86cf480e2e7c69f5991e1,0831d55f25aa5d44fdd4b737a9ab4641388f57eac351bfb38a2847ec780d3d43,e48969afcd25859f7db725ea5dd0fdba5f70298831e3aa48b744cf7f57d653a1,c5f416fa1d89188b8f445593a4c54a39b721f2c91b817a95422c55158900cadd,b209f2a9418a45e717f05841775ca1e47aec46707497bbbe6e116e462095557c,72dc2fa47250e036c5bcf4810fa1c2a8752c5fd0a1dc466189527d8d469f6248,d98457a2209331f95e59a207d9785f1e003c22957152561a73c3d0193d2a7a60,19c18d8224411f0a90d4864dc59097e953d8b17be25535704d139233a635941a,980f1c63a304959774b1397aec55026733aedb196714e42267ae6f1cc14bdc81,f500ac54c630ebf59046781f1c4889a63a2e7518fe7149a4e00f097746f218e5
"1","-1","6","7","1","1","1","1","1","1","30","4","30","1001"
"1","-1","6","11","1","1","1","1","1","1","60","31","60","1002"
"1","-1","6","15","1","1","1","1","1","1","90","61","90","1003"
"1","-1","6","19","1","1","1","1","1","1","120","91","120","1004"
"1","-1","6","23","1","1","1","1","1","1","150","121","150","1005"
"1","-1","6","27","1","1","1","1","1","1","180","151","180","1006"
"1","-1","6","29","1","1","1","1","1","1","210","181","210","1007"
"1","-1","6","31","1","1","1","1","1","1","240","211","240","1008"
"1","-1","6","31","1","1","1","1","1","1","270","241","270","1009"
"1","-1","6","31","1","1","1","1","1","1","300","271","300","1010"
"1","-1","6","31","1","1","1","1","1","1","-1","301","310","1011"
"1","-1","5","7","2","1","1","1","1","1","30","4","30","1101"
"1","-1","5","11","2","1","1","1","1","1","60","31","60","1102"
"1","-1","5","15","2","1","1","1","1","1","90","61","90","1103"
"1","-1","5","19","2","1","1","1","1","1","120","91","120","1104"
"1","-1","5","23","2","1","1","1","1","1","150","121","150","1105"
"1","-1","5","27","2","1","1","1","1","1","180","151","180","1106"
"1","-1","5","29","2","1","1","1","1","1","210","181","210","1107"
"1","-1","5","31","2","1","1","1","1","1","240","211","240","1108"
"1","-1","5","31","2","1","1","1","1","1","270","241","270","1109"
"1","-1","5","31","2","1","1","1","1","1","300","271","300","1110"
"1","-1","5","31","2","1","1","1","1","1","-1","301","310","1111"
"1","-1","5","7","3","1","1","1","1","1","30","4","-1","1201"
"1","-1","5","11","3","1","1","1","1","1","60","31","-1","1202"
"1","-1","5","15","3","1","1","1","1","1","90","61","-1","1203"
"1","-1","5","19","3","1","1","1","1","1","120","91","-1","1204"
"1","-1","5","23","3","1","1","1","1","1","150","121","-1","1205"
"1","-1","5","27","3","1","1","1","1","1","180","151","-1","1206"
"1","-1","5","29","3","1","1","1","1","1","210","181","-1","1207"
"1","-1","5","31","3","1","1","1","1","1","240","211","-1","1208"
"1","-1","5","31","3","1","1","1","1","1","270","241","-1","1209"
"1","-1","5","31","3","1","1","1","1","1","300","271","-1","1210"
"1","-1","5","31","3","1","1","1","1","1","-1","301","-1","1211"
"1","-1","5","7","4","1","1","1","1","1","30","4","30","1301"
"1","-1","5","10","4","1","1","1","1","1","60","31","60","1302"
"1","-1","5","13","4","1","1","1","1","1","90","61","90","1303"
"1","-1","5","16","4","1","1","1","1","1","120","91","120","1304"
"1","-1","5","19","4","1","1","1","1","1","150","121","150","1305"
"1","-1","5","22","4","1","1","1","1","1","180","151","180","1306"
"1","-1","5","25","4","1","1","1","1","1","210","181","210","1307"
"1","-1","5","28","4","1","1","1","1","1","240","211","240","1308"
"1","-1","5","28","4","1","1","1","1","1","270","241","270","1309"
"1","-1","5","28","4","1","1","1","1","1","300","271","300","1310"
"1","-1","5","28","4","1","1","1","1","1","-1","301","310","1311"
"1","-1","5","7","5","1","1","1","1","1","30","4","-1","1401"
"1","-1","5","10","5","1","1","1","1","1","60","31","-1","1402"
"1","-1","5","13","5","1","1","1","1","1","90","61","-1","1403"
"1","-1","5","16","5","1","1","1","1","1","120","91","-1","1404"
"1","-1","5","19","5","1","1","1","1","1","150","121","-1","1405"
"1","-1","5","22","5","1","1","1","1","1","180","151","-1","1406"
"1","-1","5","25","5","1","1","1","1","1","210","181","-1","1407"
"1","-1","5","28","5","1","1","1","1","1","240","211","-1","1408"
"1","-1","5","28","5","1","1","1","1","1","270","241","-1","1409"
"1","-1","5","28","5","1","1","1","1","1","300","271","-1","1410"
"1","-1","5","28","5","1","1","1","1","1","-1","301","-1","1411"
"1","-1","3","7","6","1","1","1","1","1","30","4","-1","1501"
"1","-1","3","10","6","1","1","1","1","1","60","31","-1","1502"
"1","-1","3","13","6","1","1","1","1","1","90","61","-1","1503"
"1","-1","3","16","6","1","1","1","1","1","120","91","-1","1504"
"1","-1","3","19","6","1","1","1","1","1","150","121","-1","1505"
"1","-1","3","22","6","1","1","1","1","1","180","151","-1","1506"
"1","-1","3","22","6","1","1","1","1","1","210","181","-1","1507"
"1","-1","3","22","6","1","1","1","1","1","240","211","-1","1508"
"1","-1","3","22","6","1","1","1","1","1","270","241","-1","1509"
"1","-1","3","22","6","1","1","1","1","1","-1","271","-1","1510"
"1","5","6","7","7","1","1","1","1","1","30","4","30","1601"
"1","5","6","11","7","1","1","1","1","1","60","31","60","1602"
"1","5","6","15","7","1","1","1","1","1","90","61","90","1603"
"1","5","6","19","7","1","1","1","1","1","120","91","120","1604"
"1","5","6","23","7","1","1","1","1","1","150","121","150","1605"
"1","5","6","27","7","1","1","1","1","1","180","151","180","1606"
"1","5","6","29","7","1","1","1","1","1","210","181","210","1607"
"1","5","6","31","7","1","1","1","1","1","240","211","240","1608"
"1","5","6","31","7","1","1","1","1","1","270","241","270","1609"
"1","5","6","31","7","1","1","1","1","1","300","271","300","1610"
"1","5","6","31","7","1","1","1","1","1","-1","301","310","1611"
"1","5","5","7","8","1","1","1","1","1","30","4","30","1701"
"1","5","5","11","8","1","1","1","1","1","60","31","60","1702"
"1","5","5","15","8","1","1","1","1","1","90","61","90","1703"
"1","5","5","19","8","1","1","1","1","1","120","91","120","1704"
"1","5","5","23","8","1","1","1","1","1","150","121","150","1705"
"1","5","5","27","8","1","1","1","1","1","180","151","180","1706"
"1","5","5","29","8","1","1","1","1","1","210","181","210","1707"
"1","5","5","31","8","1","1","1","1","1","240","211","240","1708"
"1","5","5","31","8","1","1","1","1","1","270","241","270","1709"
"1","5","5","31","8","1","1","1","1","1","300","271","300","1710"
"1","5","5","31","8","1","1","1","1","1","-1","301","310","1711"
