0702b48fe245c3ba67b800e10acac603a290a4486272b69d55c904f3e318ff88,a453e1535b4519557ece95bcb7f626d84ed05dbf13a30a0227bc5976eeb0c416,f047204c03eab3c1b1c94bc03912abe1654cf961a61c71f0af93f39c3cc824ef,8b3ecbd81a30176905983370aab042729bb2cc276229a4f60b5d628e1b349069,544707d1fddd1779e950a2e8ac8c095a3e86b6bdf39727850cd8cea30a307cb5,a763c6a97fd376399e8c0d21bce34934260c0eed8d6e4f344bf946991cce9f4c,7d1fd35bd42bf15ab375b10c714f7ca6c30bd3f8b87d1141ed52d5c12f299215,d31b6d631ea04b96dfd14f947b9be90827c8e26fc7cd74ae1fb8ebaee94bd112,ece70ebf70b008ec62aef9de69781196d87a66a4e769eb194631a2cdc652594e,4d380083d51c7204991f4f9fbd0aa0f00438990783fea95be67c028c7ca7680c,e866f0b2869e6c0473195aefcde1513aca5fa0700dd867e8456d1d42c63538b9,5c4b9b2d1801d9e33cbc4211b036d3e1548359342c44f160c43738212aa79d91,6c71f13db569cf03a140b9ee6e1f5d25dbea77aaa4c033fa60badab76aee4ec8,7f264febd71c2f953a7750116d6596c3bbe500c13196cc815f2a0fc66fac62fe,0ccb51cb392a11626d9bc465ca50b4e18a068502dae7222c6980d855c708439a,aa5324346cee84f3f1d45c7ba3f5515b105351a420ffaa0ab92496d70ddce2db,c285b0f3821a60f8fd831387a49d44d939e9f758ad6587aae5aee2cea23062c0,66b759238b6133fb6f73ae348fa10f8306ca65e0353aed89b61338a9e3e7dba5,89255af8f823427f485575b97c7477b51564f42395a5a2ae8296a4d89244a26e,14c35c761fd8fd29d2f485ca9538e2107e9a8f98124f918ac5f63a6ef87cc206,de4e023bb57aeaecbe684e65e4d2fa7ae07874844cf76d427942fbf58ddeb5c2,16f744d892a9e2bfc69f388d11250706852ee10309ceab7c520798dbeb6e48bd,e34484c78e5f924f2759c8691a1033640c6fcb7e027c9027d71e818fbfb728e3,9ee1bd246e60a4b2b5d9035ee82cb74df3ebfac5c6054dfe04b3d31ca605c411,31b3af6e9d2180c7a5921fe7fcbb8401bcf91ef5660920a0132824827c59bb99,0e3a9b5e5987286e9d5b2099d18095b117b3c0e39246615bde1d1ed86ead6311,eee09654708e0a23b587203ebe139e63fd333f271e2e9ed9f4aed782e7673296,e9b7a1e654a67a18bf73f743523e1e4c1c0779fdca905b27cb4ec6c0b0c6b67e,58810338d370f561ce54bb175ba6c5a667587d15218b3f8feb09539d223a9198,81e5c9aff704f1abdb936d28327d7a1397062cf59914114356ccbbc36a3babad,6c4e1e74c35789cd12e6434e256273b703f4307e05ca77cef8d2e274ad8a7654,37960317ca5fb101cc8d28c3dbd06cf9c139478bddf0fb3ed35f183e0a72024c,b9b1aa008c785e6737680355bfc3b7779acd02bc309eaa46efbe60d0b9c6b9e6,c78a83b4f09d4a3725028eedc1f411722e3e2c9d6d42cacb8b817d2d8566593a
"1804","0","0","0","1058","1076","1059","1","美食殿","0","1211","0","1060","1155","0","0","1118","0","0","1075","1806","1253","1210","0","0","1805","1279","1119","1078","1120","1058","1272","特別な飲食店に入店するため、ペコリーヌが結成したギルド。主な目的は食べ歩き。","0"
"1140","0","0","0","1001","1088","1002","2","トゥインクルウィッシュ","0","1287","0","1003","1226","0","0","1801","0","0","1087","1224","1289","1225","0","0","1156","0","1802","1089","1803","1001","1288","ヒヨリがギルドマスターとなり、人助けを中心に活動しているギルド。本当の目的は、同じ夢を見てきた３人がともに願う「ソルの塔の頂上への到達」。","0"
"1811","0","0","0","1068","1129","1049","3","ラビリンス","0","0","0","1011","0","0","0","1193","0","0","1091","0","0","0","0","0","1337","0","1212","1171","1200","1068","0","謎の人物・ラビリスタが結成した、世界の謎を探究するギルド。クレープ屋を経営し、表向きは平凡なギルドを装う。いわば秘密結社。","0"
"1248","0","0","0","1029","1084","1042","4","カルミナ","0","0","0","1054","1348","0","0","1172","0","0","1116","1344","0","0","0","0","1322","0","1173","1139","1174","1029","0","ソロアイドルだったノゾミが結成した、歌って踊って（日々の悲しい気持ちと）戦うアイドルギルド。ライブなどの興行が主な活動内容。","0"
"1227","0","0","0","1020","1112","1004","5","リトルリリカル","0","0","0","1036","0","0","0","1808","0","0","1113","0","0","0","0","0","1307","0","1229","1111","1228","1020","0","仲良し３人組による、実は非公認のギルド。ギルドごっこをしながらただ遊ぶことが目的。","0"
"1246","0","0","0","1015","1135","1012","6","フォレスティエ","0","0","0","1040","0","0","0","1167","0","0","1107","1346","0","0","0","0","1284","0","1221","1134","1807","1015","0","エルフ族の森を管理、守護する歴史の長いギルド。エルフの森でしか採れない薬草などの管理や、森のガイドをしている。","0"
"1240","0","0","0","1044","1007","1022","7","悪魔偽王国軍（ディアボロス）","0","1220","0","1006","1138","0","0","1082","0","0","1031","1137","1262","1209","0","0","1199","0","1117","1081","1241","1044","1271","イリヤが魔族の少女たちと結成したギルド。その名はかつてイリヤが率い、神々を相手に闘争を繰り広げた、魔族の最強軍と同じである。","0"
"1143","0","0","0","1047","1242","1071","8","王宮騎士団（NIGHTMARE）","0","0","0","1037","1339","0","0","1136","0","0","1005","1239","0","0","0","0","1238","0","1236","1115","1141","1047","0","ランドソルの国軍であり、活動目的は「王宮」や王族の護衛、および勅命を受けての任務達成。街の治安を守る警察組織としての側面も強い。","0"
"1335","0","0","0","1028","1103","1025","9","サレンディア救護院","0","1275","0","1023","1809","0","0","1145","0","0","1021","1213","1308","1232","0","0","1121","0","1085","1077","1086","1028","0","孤児院であるが、手広く商売なども行っている。王宮の警護という毎日に価値を見いだせずにいたサレンが、人の役に立つことをしたいと思い結成した。","0"
"1160","0","0","0","1010","1106","1043","10","自警団（カォン）","0","1298","0","1014","1231","0","0","1157","0","0","1017","1177","1310","1285","0","0","1159","0","1105","1104","1122","1010","0","魔物たちの脅威から、同じ【動物苑】の仲間を守る武闘派ギルド。「シャドウ」などの、異変の調査や解決もする。【王宮騎士団】とは犬猿の仲。","0"
