b18da38e93d281f21a3fa73854aa2ed6e920a84ae655d42d8cbce82fbc9a60aa,2c01fb120fb9cc6fb8a07623d178653c07810a921ea8ccbcbc187f31c9c9c5af,4466e6eb2feb30a9f88e7999100fe1950fc9f0cd9bd5d10fc25a6b354004fd72,bbb2387e8d1c56186e9cee4ab9aeb2b46f6bb35d1ab33bcf638fe0d4cac8ba76,e8f8a98e8934a188e955439dd8b1a477a88442125ed52701258337a8c371ab60,5afffc24d4748dad1fbb7175313bf045dbdc34f37ee6256d2fe307b6d13a7420,132fd768f90fcda31e24adc7fe4c27515630a0cce204670a93326b29d16528ad
"1","1","0","306700","0","81001105","1001101"
"1","1","0","306700","0","81001106","1001102"
"1","1","0","306800","0","81001205","1001201"
"1","1","0","306800","0","81001206","1001202"
"1","1","0","307000","0","81001305","1001301"
"1","1","0","307000","0","81001306","1001302"
"1","1","0","307500","0","81001405","1001401"
"1","1","0","307500","0","81001406","1001402"
"1","1","0","307300","0","81001505","1001501"
"1","1","0","307300","0","81001506","1001502"
"1","1","0","307700","0","81001605","1001601"
"1","1","0","307700","0","81001606","1001602"
"1","1","0","307400","0","81001705","1001701"
"1","1","0","307400","0","81001706","1001702"
"1","1","0","307900","0","81001805","1001801"
"1","1","0","307900","0","81001806","1001802"
"1","1","0","307800","0","81001905","1001901"
"1","1","0","307800","0","81001906","1001902"
"1","1","0","308100","0","81002005","1002001"
"1","1","0","308100","0","81002006","1002002"
"1","1","0","308000","0","81002101","1002101"
"1","1","0","308000","0","81002102","1002102"
"1","1","0","308300","0","81002205","1002201"
"1","1","0","308300","0","81002206","1002202"
"1","1","0","308200","0","81002301","1002301"
"1","1","0","308200","0","81002302","1002302"
"1","1","0","304705","0","81002405","1002401"
"1","1","0","304705","0","81002406","1002402"
"1","1","0","308400","0","81002501","1002501"
"1","1","0","308400","0","81002502","1002502"
"1","1","0","305004","0","81002605","1002601"
"1","1","0","305004","0","81002606","1002602"
"1","1","0","308600","0","81002701","1002701"
"1","1","0","308600","0","81002702","1002702"
"1","1","0","305205","0","81002805","1002801"
"1","1","0","305205","0","81002806","1002802"
"1","1","0","309300","0","81002901","1002901"
"1","1","0","309300","0","81002902","1002902"
"1","1","0","305500","0","81003005","1003001"
"1","1","0","305500","0","81003006","1003002"
"1","1","0","310000","0","81003101","1003101"
"1","1","0","310000","0","81003102","1003102"
"1","1","0","306000","0","81003205","1003201"
"1","1","0","306000","0","81003206","1003202"
"1","1","0","310300","0","81000605","1003301"
"1","1","0","310300","0","81003301","1003302"
"1","1","0","306700","0","81001105","1003401"
"1","1","0","306700","0","81001106","1003402"
"2.5","2.5","0","310500","0","100021","1003501"
"2.5","2.5","0","310500","0","100531","1003502"
"0.4","0.4","0","310600","0","81003601","1003601"
"0.4","0.4","0","310600","0","81003602","1003602"
"1","1","0","306800","0","81001205","1003701"
"1","1","0","306800","0","81001206","1003702"
"1.2","1.2","0","310700","0","81003801","1003801"
"1.2","1.2","0","310700","0","81003802","1003802"
"1","1","0","307000","0","81001305","1003901"
"1","1","0","307000","0","81001306","1003902"
"1","1","0","310800","0","81004001","1004001"
"1","1","0","310800","0","81004002","1004002"
"1","1","0","307300","0","81001505","1004101"
"1","1","0","307300","0","81001506","1004102"
"1","1","0","311100","0","81004201","1004201"
"1","1","0","311100","0","81004202","1004202"
"1","1","0","307800","0","81001905","1004301"
"1","1","0","307800","0","81001906","1004302"
"1","1","0","311300","0","81004401","1004401"
"1","1","0","311300","0","81004402","1004402"
"1","1","0","308000","0","81002101","1004501"
"1","1","0","308000","0","81002102","1004502"
"1","1","0","311400","0","81004601","1004601"
"1","1","0","311400","0","81004602","1004602"
"1","1","0","308200","0","81002301","1004701"
"1","1","0","308200","0","81002302","1004702"
"1","1","0","311500","0","81002405","1004801"
"1","1","0","311500","0","81002406","1004802"
"1","1","0","308400","0","81002501","1004901"
"1","1","0","308400","0","81002502","1004902"
"1.4","1.4","-28","311600","0","81005001","1005001"
"1.4","1.4","-28","311600","0","81005002","1005002"
"1","1","0","308600","0","81002701","1005101"
"1","1","0","308600","0","81002702","1005102"
"1","1","0","312100","0","81000605","1005201"
"1","1","0","312100","0","81003301","1005202"
"1","1","0","307400","0","81001705","1005301"
"1","1","0","307400","0","81001706","1005302"
"1","1","0","312200","0","81003005","1005401"
"1","1","0","312200","0","81003006","1005402"
"1","1","0","309300","0","81002901","1005501"
"1","1","0","309300","0","81002902","1005502"
