713df01d219197eaf0b5ed6eaa3479247628232d5cd9dc682622714abc616262,514e69c1660aa99d16e480918c09e1a455f63d94750ef614dcd04ef353243962,7efc024cf7098250aa86ee76cf02b716b5cacd84877f42217a69ed328d49f8e1,9d9e2301f831aef8a44be3c769dedfb17412c33bafb86a07e4ea3581aad9d08f,e868866c3b805bfa3e11817a5cd06db52f09da6a0e4b32dfb003c199f3dd255a,94a7386c5cf7515fcb2e1ceb9c4a029922569756e4c95502f6720ea9dbce3b7f,17efd74c181f072dd2fd5b9f7451a844cc03b8a37e3c93cd4d8dae08544c7b78,74c88efaaa35424adf7516f6ff4d882686185f95ebabbff367bf8a4bb303a09b
"182","71","170","-401","-90","1","1","1"
"182","81","170","-401","-90","1","2","2"
"182","121","255","-255","90","1","3","3"
"182","131","255","-255","90","1","4","4"
"182","141","255","-255","90","1","5","5"
"176","191","229","-107","-80","1","6","6"
"176","201","229","-107","-80","1","7","7"
"151","271","218","136","-85","1","8","8"
"151","281","218","136","-85","1","9","9"
"151","291","218","136","-85","1","10","10"
"219","331","156","280","80","1","11","11"
"219","341","156","280","80","1","12","12"
"219","351","156","280","80","1","13","13"
"183","401","213","417","-97","1","14","14"
"183","411","213","417","-97","1","15","15"
"229","451","242","-259","-73","2","2","1"
"179","481","226","-222","124","2","4","2"
"192","501","219","-101","-67","2","6","3"
"190","521","168","-26","-27","2","8","4"
"260","551","192","117","-50","2","11","5"
"138","601","159","241","120","2","14","6"
"138","611","159","241","120","2","14","7"
"229","621","224","243","-71","2","14","8"
"43","781","71","-353","32","3","1","1"
"268","801","235","-228","-30","3","2","2"
"45","831","80","-243","144","3","3","3"
"225","851","221","20","-76","3","4","4"
"222","861","211","230","-74","3","5","5"
"136","891","115","-100","44","3","6","6"
"136","901","115","-100","44","3","7","7"
"250","991","306","116","76","3","8","8"
"250","1001","306","116","76","3","9","9"
"250","1011","306","116","76","3","10","10"
"188","1041","96","322","40","3","11","11"
"188","1051","96","322","40","3","12","12"
"272","1091","294","-211","-6","4","1","1"
"115","1101","92","-288","129","4","2","2"
"115","1111","92","-288","129","4","3","3"
"174","1121","135","-58","128","4","4","4"
"184","1151","222","143","133","4","5","5"
"98","1161","134","-277","-129","4","6","6"
"98","1171","134","-277","-129","4","7","7"
"70","1211","67","-60","-12","4","8","8"
"70","1221","67","-60","-12","4","9","9"
"185","1231","132","116","-55","4","10","10"
"89","1261","93","-17","-103","4","11","11"
"89","1271","93","-17","-103","4","12","12"
"239","1311","150","232","23","4","13","13"
"72","1391","114","-289","-161","5","1","1"
"72","1401","114","-289","-161","5","2","2"
"248","1411","228","-261","80","5","3","3"
"211","1431","223","-103","-91","5","4","4"
"181","1471","186","-87","95","5","5","5"
"176","1551","132","69","-122","5","6","6"
"176","1561","132","69","-122","5","7","7"
"184","1611","143","54","91","5","8","8"
"247","1641","211","204","45","5","9","9"
