0e87b8ae15205ae37e04f9da8107d0de1ea18bce54821972bf68f1f99644a62e,b180c50cd23616e3b69086d7c6e6e209b2e5571f2a30665ba4e3a1d3e4a43115,8cc9f9aa1ef0896df93ff602a9d416b055adea493dd5b9c7c53843567f0b9d6f,15e594818914bad719ea9828adf22a492800730438f865cefd8a591fe0e65fe0,4b59d83026504d3893c8a6515aa42a5664127e0b9b30f04f0b10553070a94099
"1001","1","0","1","0"
"1002","1","0","2","0"
"1003","1","0","3","0"
"1004","1","0","4","0"
"2001","2","0","1","0"
"2002","2","0","2","0"
"2003","2","0","3","0"
"2004","2","0","4","0"
"2101","2","0","1","1"
"2102","2","0","2","1"
"2103","2","0","3","1"
"2104","2","0","4","1"
"2111","2","10001","11","2"
"2112","2","10001","12","2"
"2113","2","10001","13","2"
"3001","3","0","1","0"
"3002","3","0","2","0"
"3003","3","0","3","0"
"3004","3","0","4","0"
"4001","4","0","1","0"
"4002","4","0","2","0"
"4003","4","0","3","0"
"4004","4","0","4","0"
"4005","4","0","100","0"
"5010","5","0","10101","1"
"5020","5","1","10201","2"
"5021","5","2","10202","2"
"5030","5","0","10301","3"
"5031","5","1","10301","3"
"5040","5","0","10302","4"
"5050","5","0","10303","5"
"5060","5","0","10304","6"
"6001","6","0","90001","1"
"6002","6","0","90001","2"
"6003","6","1","90001","2"
"6006","6","0","90001","3"
"6007","6","1","91101","3"
"6008","6","2","91201","3"
"6009","6","3","91301","3"
"6010","6","0","90001","4"
"6011","6","1","91101","4"
"6012","6","2","91201","4"
"6013","6","3","91301","4"
"6014","6","0","90001","5"
"6015","6","1","91101","5"
"6016","6","2","91201","5"
"6017","6","3","91301","5"
"6018","6","0","90001","6"
"6019","6","1","91101","6"
"6020","6","2","91201","6"
"6021","6","3","91301","6"
"6022","6","0","92001","7"
"6023","6","1","92101","7"
"6024","6","2","92201","7"
"6025","6","3","92301","7"
"6026","6","4","92401","7"
"6027","6","0","92001","8"
"6028","6","1","92101","8"
"6029","6","2","92201","8"
"6030","6","3","92301","8"
"6031","6","4","92401","8"
"6032","6","0","92001","9"
"6033","6","1","92101","9"
"6034","6","2","92201","9"
"6035","6","3","92301","9"
"6036","6","4","92401","9"
"6037","6","0","90001","10"
"6038","6","1","90101","10"
"6039","6","2","90201","10"
"6040","6","3","90301","10"
"6041","6","4","90401","10"
"6042","6","0","90001","11"
"6043","6","1","90101","11"
"6044","6","2","90201","11"
"6045","6","3","90301","11"
"6046","6","4","90401","11"
"7000","7","0","90002","0"
"7001","7","1","90002","0"
"7002","7","2","90003","0"
"7003","7","1","90002","2"
"7004","7","2","90003","2"
"7005","7","1","91102","3"
"7006","7","2","91103","3"
"7007","7","1","91102","4"
"7008","7","2","91103","4"
"7009","7","1","91102","5"
"7010","7","2","91103","5"
"7011","7","1","91102","6"
"7012","7","2","91103","6"
"7013","7","1","92102","7"
"7014","7","2","92103","7"
"7015","7","1","92102","8"
"7016","7","2","92103","8"
"7017","7","1","92102","9"
"7018","7","2","92103","9"
"7019","7","1","90102","10"
"7020","7","2","90103","10"
"7021","7","1","90102","11"
"7022","7","2","90103","11"
"9001","9","0","20101","0"
"10001","10","0","20201","0"
"10002","10","0","20202","1"
"10180","101","0","10501","8"
"100001","100","0","1","1"
"100002","100","0","1","2"
"100003","100","0","2","3"
"100004","100","0","2","4"
"100005","100","0","2","5"
"100006","100","0","2","6"
"100007","100","0","3","7"
"100008","100","0","3","8"
"100009","100","0","3","9"
"100010","100","0","1","10"
"100011","100","0","1","11"
"980001","101","0","10301","98001"
"980002","101","2","10402","98001"
"980011","101","1","10401","98011"
"980012","101","2","10402","98012"
