3af0e30cd0032d88a1d7826bbdf5eaf29d2db947aa79aa7cbb629320f88a6dbd,5612737fff68c3050834e5785ec87187b247a77db8e88c0b7ec9aed8fd233e5e,bbad94063436bc7562da9cb4b5625eaa77570b1653398279bbfbe076a666e500,6873cebfc9dc61228e826b4cdc4a1cf20556f1a2ec89ce6e88401b1c92d11add,0e5947e9b391ae8af40b28fdff1c792dcf10a596c1246219cd21f7f9c1cfecfe,4a01a80f5dbb81deedf70bebbc29ec46c9a3e5132296bbf33ce7c020b2ac8c37,7cf7c362c5aa06a1ee1f5beec27f3a25aa1ca05f3502c30c631831c2031fed6d,438f783c6253cbab5cd6615bfb4c975e3a09ff0da2d2daf0119046e4c9855e86,1f7988b18f531fd8c106b6390bb3458d95c168f5f5bacc11485d09ebb969a333
"0","21","0","0","1101002","600","0","0","1101001"
"600","22","0","0","1101003","2400","0","0","1101002"
"-1500","20","50","0","1","1","0","0","1101003"
"0","21","0","0","1101012","900","0","0","1101011"
"700","22","0","0","1101013","2100","0","0","1101012"
"-1500","20","200","0","1","1","0","0","1101013"
"0","21","0","0","1101022","400","0","0","1101021"
"500","22","0","0","1101023","2000","0","0","1101022"
"-1500","20","350","0","1","1","0","0","1101023"
"0","21","0","0","1101032","1000","0","0","1101031"
"900","22","0","0","1101033","1800","0","0","1101032"
"-1500","20","500","0","1","1","0","0","1101033"
"0","21","0","0","1101042","500","0","0","1101041"
"800","22","0","0","1101043","1600","0","0","1101042"
"-1500","20","750","0","1","1","0","0","1101043"
"2","1","2","2","25","1","0","0","1101101"
"-2000","20","-100","0","1","1","0","0","1102001"
"2","1","10","2","20","1","0","0","1102101"
"0","10","0","2","200000","2","0","0","1102102"
"0","21","0","0","1103002","500","0","0","1103001"
"0","3","0","2","1000","0","0","0","1103002"
"3000","2","0","2","-15","3","0","0","1202001"
"30000","2","0","1","15","3","0","0","1204001"
"30000","2","0","1","10","3","0","0","1205001"
"30000","2","0","1","10","3","0","0","1206001"
"30000","2","0","1","10","3","0","0","1207001"
"3000","2","0","1","15","2","0","0","1208001"
"3000","2","0","1","25","1","0","0","1209001"
"3000","2","0","1","10","2","0","0","1210001"
"0","21","0","0","1210003","3000","0","0","1210002"
"30000","2","0","1","15","1","0","0","1210003"
"3000","2","0","1","-10","2","0","0","1211001"
"0","21","0","0","1211003","3000","0","0","1211002"
"30000","2","0","2","-15","1","0","0","1211003"
"30000","2","0","2","-10","1","0","0","1213001"
"30000","2","0","2","-10","2","0","0","1213002"
"1500","2","0","2","-25","3","0","0","1214001"
"3000","2","0","2","-20","3","0","0","1216001"
"30000","2","0","1","20","3","0","0","1218001"
"30000","2","0","1","15","3","0","0","1219001"
"30000","2","0","1","15","3","0","0","1220001"
"30000","2","0","1","15","3","0","0","1221001"
"3000","2","0","1","20","2","0","0","1222001"
"3000","2","0","1","30","1","0","0","1223001"
"3000","2","0","1","15","2","0","0","1224001"
"0","21","0","0","1224003","3000","0","0","1224002"
"30000","2","0","1","20","1","0","0","1224003"
"3000","2","0","1","-10","2","0","0","1225001"
"0","21","0","0","1225003","3000","0","0","1225002"
"30000","2","0","2","-20","1","0","0","1225003"
"30000","2","0","2","-15","1","0","0","1227001"
"30000","2","0","2","-15","2","0","0","1227002"
"1500","2","0","2","-35","3","0","0","1228001"
"30000","2","0","1","20","3","0","0","1229001"
"3000","2","0","1","20","2","0","0","1230001"
"0","21","0","0","1230003","3000","0","0","1230002"
"30000","2","0","1","50","1","0","0","1230003"
"3000","2","0","2","-25","3","0","0","1232001"
"30000","2","0","1","25","3","0","0","1234001"
"30000","2","0","1","20","3","0","0","1235001"
"30000","2","0","1","20","3","0","0","1236001"
"30000","2","0","1","20","3","0","0","1237001"
"3000","2","0","1","25","2","0","0","1238001"
"3000","2","0","1","35","1","0","0","1239001"
"3000","2","0","1","20","2","0","0","1240001"
"0","21","0","0","1240003","3000","0","0","1240002"
"30000","2","0","1","25","1","0","0","1240003"
"3000","2","0","1","-10","2","0","0","1241001"
"0","21","0","0","1241003","3000","0","0","1241002"
"30000","2","0","2","-25","1","0","0","1241003"
"30000","2","0","2","-20","1","0","0","1242001"
"30000","2","0","2","-20","2","0","0","1242002"
"1500","2","0","2","-75","3","0","0","1244001"
"30000","2","0","1","20","3","0","0","1246001"
"30000","2","0","1","30","3","0","0","1247001"
"0","21","0","0","1247003","3000","0","0","1247002"
"3000","2","0","1","25","1","0","0","1247003"
"3000","2","0","1","75","1","0","0","1248001"
"1500","2","0","2","-90","3","0","0","1249001"
"30000","2","0","1","10","2","0","0","2101001"
"30000","2","0","1","10","2","0","0","2102001"
"3000","2","0","2","-15","2","0","0","2103001"
"3000","2","0","2","-15","3","0","0","2103002"
"3000","2","0","2","-25","3","0","0","2105001"
"30000","2","0","1","25","3","0","0","2107001"
"30000","2","0","1","10","3","0","0","2108001"
"30000","2","0","1","10","3","0","0","2109001"
"30000","2","0","1","10","3","0","0","2110001"
"3000","2","0","1","15","2","0","0","2111001"
"3000","2","0","1","25","1","0","0","2112001"
"3000","2","0","1","10","2","0","0","2113001"
"0","21","0","0","2113003","3000","0","0","2113002"
"30000","2","0","1","25","1","0","0","2113003"
"3000","2","0","1","-10","2","0","0","2114001"
"0","21","0","1","2114003","3000","0","0","2114002"
"30000","2","0","2","-25","1","0","0","2114003"
"30000","2","0","2","-10","1","0","0","2116001"
"30000","2","0","2","-10","2","0","0","2116002"
"1500","2","0","2","-50","3","0","0","2117001"
"0","21","0","0","3301002","300","0","0","3301001"
"30","20","20","0","1","2","0","0","3301002"
"1","1","100","2","0","1","0","0","3301101"
"1","1","40","2","0","1","0","0","3302001"
"1","1","60","2","0","1","0","0","3302002"
"1","1","12","2","0","1","0","0","3303001"
"1","1","28","2","0","1","0","0","3303002"
"1","1","40","2","0","1","0","0","3304001"
"1","1","100","2","0","1","0","0","3304002"
