cee35264831b62cc47650d0b1e7a0074ad51b8d3476cd396c51648647df2e9e5,82aabb29c5a1578e51f706a3db99ee7df38a47428d39c501d45eaefdb37a7d73,7a30372c2e5da1981995a1c7a1ff37a13e25abaad75fdb92c56c953327a3ec52,1721fc5c58cb5f3646385482627a402321413e6dae4c631b4d01e61093260f29,74d3b7b61fc6783091de70b9de425f00244f0f12645cb13b72a0340431fc1408,ac1aa1766bb46719ca5a37119bf0403b68f9c2907e8893452a816556a4cfa4c9,7e1d33a2e09c4dc2cc7031ae5b98b174df5e8da5235d8f322164587e75d7702d,6a033422faa9d34cd8d1085d1cad2308ba7e03464097c164ca013849d35f51af,01d46a247af0acc84a9994b3fa14e9068aefe0384d8b0bf857cbd649e2fcc73e,d4692b7a49cc0b68d9e8abe6acf4761d321a6dc587f1d47d38136b0a9e5fbedf,14f7aa3eacfc32226ead27ebe6da714ab57b9fbe076e1bce327e1a2c7391159f,c107d8ce17556fbeacea9bf04b2a5893d84406b321459ce272d56a977c36493b,fa9e243a44e3b8a043c62075d3fd5ffd5da4898a31f09cfb77ba6a9e0b1e9305,6ab8fd38db09da79c2fdd417b884035d55e22ad7cf1d2e589ce81bf64ee74e0c
"31058","2020/08/04 12:00:00","0","0","100","2","0","0","105801","0","2030/08/01 14:59:59","0","28001","1"
"31075","2020/08/04 12:00:00","0","0","100","2","0","0","107501","0","2030/08/01 14:59:59","0","28001","2"
"31804","2020/08/04 12:00:00","0","0","100","2","0","0","180401","0","2030/08/01 14:59:59","0","28001","3"
"31059","2020/08/04 12:00:00","0","0","100","2","0","0","105901","0","2030/08/01 14:59:59","0","28002","1"
"31076","2020/08/04 12:00:00","0","0","100","2","0","0","107601","0","2030/08/01 14:59:59","0","28002","2"
"31119","2020/08/04 12:00:00","0","0","100","2","0","0","111901","0","2030/08/01 14:59:59","0","28002","3"
"31805","2020/08/04 12:00:00","0","0","100","2","0","0","180501","0","2030/08/01 14:59:59","0","28002","4"
"31060","2020/08/04 12:00:00","0","0","100","2","0","0","106001","0","2030/08/01 14:59:59","0","28003","1"
"31078","2020/08/04 12:00:00","0","0","100","2","0","0","107801","0","2030/08/01 14:59:59","0","28003","2"
"31120","2020/08/04 12:00:00","0","0","100","2","0","0","112001","0","2030/08/01 14:59:59","0","28003","3"
"31012","2020/09/03 19:00:00","0","0","100","2","0","0","101201","0","2030/08/01 14:59:59","0","28004","1"
"31134","2020/09/03 19:00:00","0","0","100","2","0","0","113401","0","2030/08/01 14:59:59","0","28004","2"
"31038","2020/09/03 19:00:00","0","0","100","2","0","0","103801","0","2030/08/01 14:59:59","0","28005","1"
"31123","2020/09/03 19:00:00","0","0","100","2","0","0","112301","0","2030/08/01 14:59:59","0","28005","2"
"31071","2020/09/03 19:00:00","0","0","100","2","0","0","107101","0","2030/08/01 14:59:59","0","28006","1"
"31115","2020/09/03 19:00:00","0","0","100","2","0","0","111501","0","2030/08/01 14:59:59","0","28006","2"
"31020","2020/10/01 17:00:00","0","0","100","2","0","0","102001","0","2030/08/01 14:59:59","0","28007","1"
"31113","2020/10/01 17:00:00","0","0","100","2","0","0","111301","0","2030/08/01 14:59:59","0","28007","2"
"31004","2020/10/01 17:00:00","0","0","100","2","0","0","100401","0","2030/08/01 14:59:59","0","28008","1"
"31112","2020/10/01 17:00:00","0","0","100","2","0","0","111201","0","2030/08/01 14:59:59","0","28008","2"
"31036","2020/10/01 17:00:00","0","0","100","2","0","0","103601","0","2030/08/01 14:59:59","0","28009","1"
"31111","2020/10/01 17:00:00","0","0","100","2","0","0","111101","0","2030/08/01 14:59:59","0","28009","2"
"31049","2020/11/05 12:00:00","0","0","100","2","0","0","104901","0","2030/08/01 14:59:59","0","28010","1"
